audit_name,artifact_name,audit_class,scope,discipline_audit_pass,primary_candidate_quality_pass,diagnostic_quality_pass,blocks_entire_run,blocks_primary_candidate,blocks_secondary_or_placebo_only,pass
explore10_scope_lock,explore10_scope_lock.csv,discipline,whole_run,False,False,False,True,True,False,False
explore10_label_dictionary,explore10_label_dictionary.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_atomic_feature_dictionary,explore10_atomic_feature_dictionary.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_feature_bank_preflight_audit,explore10_feature_bank_preflight_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_feature_asof_leakage_audit,explore10_feature_asof_leakage_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_observed_reference_overlap_audit,explore10_observed_reference_overlap_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_walk_forward_purge_audit,explore10_walk_forward_purge_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_fold_trainability_audit,explore10_fold_trainability_audit.csv,discipline,whole_run,False,False,False,True,True,False,False
explore10_lgbm_diagnostic_metrics,explore10_lgbm_diagnostic_metrics.csv,discipline,whole_run,False,False,False,True,True,False,False
explore10_lgbm_feature_importance,explore10_lgbm_feature_importance.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_lgbm_raw_path_dump,explore10_lgbm_raw_path_dump.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_path_threshold_quantile_audit,explore10_path_threshold_quantile_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_path_pattern_canonicalization,explore10_path_pattern_canonicalization.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_path_pattern_fold_presence,explore10_path_pattern_fold_presence.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_candidate_freeze_audit,explore10_candidate_freeze_audit.csv,candidate_quality,whole_run,True,True,True,False,True,False,True
explore10_atomic_primitive_candidate_table,explore10_atomic_primitive_candidate_table.csv,candidate_quality,whole_run,True,True,True,False,True,False,True
explore10_p0_9b_high_score_coverage_audit,explore10_p0_9b_high_score_coverage_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_primitive_token_coverage_audit,explore10_primitive_token_coverage_audit.csv,discipline,whole_run,False,False,False,True,True,False,False
explore10_primitive_real_metric_audit,explore10_primitive_real_metric_audit.csv,candidate_quality,whole_run,False,False,False,True,True,False,False
explore10_industry_task_fold_baseline,explore10_industry_task_fold_baseline.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_candidate_scope_weighted_baseline,explore10_candidate_scope_weighted_baseline.csv,candidate_quality,whole_run,True,True,True,False,True,False,True
explore10_baseline_sparsity_audit,explore10_baseline_sparsity_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_path_structure_null_audit,explore10_path_structure_null_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_label_permutation_null_audit,explore10_label_permutation_null_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_instrument_year_block_null_audit,explore10_instrument_year_block_null_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_placebo_stress_audit,explore10_placebo_stress_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_search_bias_summary,explore10_search_bias_summary.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_null_match_sparsity_audit,explore10_null_match_sparsity_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_candidate_level_null_aggregation,explore10_candidate_level_null_aggregation.csv,candidate_quality,whole_run,False,False,False,False,True,False,False
explore10_slice_stability_audit,explore10_slice_stability_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_concentration_audit,explore10_concentration_audit.csv,discipline,whole_run,False,False,False,True,True,False,False
explore10_failure_event_dedup_audit,explore10_failure_event_dedup_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_feature_family_dropout_audit,explore10_feature_family_dropout_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_manualizability_audit,explore10_manualizability_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_audit_pass_taxonomy,explore10_audit_pass_taxonomy.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_metric_nonselection_audit,explore10_metric_nonselection_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_threshold_nonselection_audit,explore10_threshold_nonselection_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_forbidden_recommendation_self_check,explore10_forbidden_recommendation_self_check.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_required_artifact_authority_audit,explore10_required_artifact_authority_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_threshold_config_consistency_audit,explore10_threshold_config_consistency_audit.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_atomic_primitive_rejection_summary,explore10_atomic_primitive_rejection_summary.csv,discipline,whole_run,False,False,False,True,True,False,False
explore10_secondary_failure_diagnostic_map,explore10_secondary_failure_diagnostic_map.csv,discipline,whole_run,True,True,True,True,True,False,True
explore10_next_requirement_candidate_map,explore10_next_requirement_candidate_map.csv,candidate_quality,whole_run,True,True,True,False,True,False,True
