primitive_id,industry,task,top1_instrument_contribution,top5_instrument_contribution,top_instrument_year_contribution,instrument_year_hhi,weight_share_top_instrument_year,regime_hhi,top1_regime_contribution,concentration_pass
E10P_41657599f0942ef0,电子,failure_reject,0.10618520121926217,0.49052370720843946,0.07718935810404254,0.042539272607793846,0.07718935810404254,0.3908719236289734,0.5277378276178296,True
E10P_f46eee6116c63ab8,电子,failure_reject,0.11000139865052182,0.49650645855401965,0.09911208644766399,0.07835398961671514,0.09911208644766399,0.3464760594889246,0.40517694609602745,True
E10P_e6f52d9324c6a727,电子,failure_reject,0.11539278953476403,0.5038772727943391,0.10440100339511649,0.0783346713189979,0.10440100339511649,0.347970390149621,0.4047962921936256,False
E10P_cf61e9054d156ad0,电子,failure_reject,0.11157681937511313,0.47303271125620155,0.05906381228879814,0.03725708747836369,0.05906381228879814,0.3516476293996224,0.44371035135039855,True
E10P_f8bf03977ccb0605,电子,failure_reject,0.13405983955862258,0.48851197928024737,0.06162593951330274,0.024698785178545565,0.06162593951330274,0.344227433025382,0.406290241903015,True
E10P_e29a233d92b7b379,电子,failure_reject,0.11111289037759627,0.4827223465465025,0.07754529251380388,0.0523812692733639,0.07754529251380388,0.3453449926310237,0.41291403009591093,True
E10P_bb42a0750e30134b,电子,failure_reject,0.09124168735543031,0.37849207466021545,0.03798763480359287,0.018837903521146355,0.03798763480359287,0.3414926416628354,0.3749863546085895,True
E10P_142a778df32a23ea,电子,failure_reject,0.12880670998336946,0.435961030378924,0.04686941458650548,0.02433938836852491,0.04686941458650548,0.3337973532341533,0.34224981183186287,True
E10P_9c79e23c5fca0637,电子,failure_reject,0.1106632999651426,0.48358839001018383,0.09970846450393707,0.07871334637757305,0.09970846450393707,0.3527080249042711,0.4242462023230419,True
E10P_ef521a3405e83c04,电子,failure_reject,0.1060930855626505,0.42187664838745725,0.04316989225862038,0.025839760713499246,0.04316989225862038,0.3512721164999244,0.42230813833805314,True
E10P_f3f8655223d7d8e7,电子,failure_reject,0.15322641346998067,0.4741519265579167,0.05575511011386805,0.028608089326605034,0.05575511011386805,0.3341273047230241,0.3516621082806245,True
E10P_64cb9f4db02128b1,电子,failure_reject,0.1474283147669175,0.47215121724719866,0.05999936602053608,0.028668652712332092,0.05999936602053608,0.3357788505786951,0.35364662764755256,True
E10P_9ff91ebee7502bb1,电子,failure_reject,0.10432551580780668,0.43074198062053853,0.0437617819592226,0.020897201621005262,0.0437617819592226,0.33858843553390056,0.3894895546869843,True
E10P_b29ffe810eea70b7,电子,failure_reject,0.11954225507904834,0.4938304255914809,0.03961895819136776,0.022945526154067135,0.03961895819136776,0.33675241058852956,0.3806411750906957,True
E10P_d7154207365dd303,电子,failure_reject,0.10835474698421194,0.43871028356892827,0.04781916527117977,0.02159778829240146,0.04781916527117977,0.34339700352763813,0.4038272657179392,True
E10P_305afe134571b6c1,电子,failure_reject,0.12412469902094077,0.4994912856986093,0.05007474725207416,0.024031048497126416,0.05007474725207416,0.33873715773244484,0.3752181256015637,True
E10P_09f2dcaff0129d10,电子,failure_reject,0.11960749991048551,0.5240398920735139,0.11050197214272182,0.08172703706219042,0.11050197214272182,0.3392870605817066,0.3806566021880092,False
E10P_8d5af32ad9c4e205,电子,failure_reject,0.14932172725909912,0.49526288045368894,0.05032292435750123,0.02825662340760712,0.05032292435750123,0.33456154049441356,0.35981561584542066,True
E10P_ad8e26ba785e4393,电子,failure_reject,0.09720179958355962,0.3954865227724989,0.03669792724985158,0.02070698205446232,0.03669792724985158,0.3409517747245153,0.37936888317846434,True
E10P_fe33c1590e70aaef,电子,failure_reject,0.09473838374958643,0.3706348656586354,0.03585516596179257,0.020205569402866524,0.03585516596179257,0.3359355358068391,0.35993459868496935,True
E10P_879debc6ecc62833,电子,failure_reject,0.14093497306329572,0.4748996689630969,0.05974337399333017,0.02475065500662725,0.05974337399333017,0.3382359182844499,0.39019404718976824,True
E10P_d152b83338d2d3f7,电子,failure_reject,0.10649605935664018,0.4681242923738982,0.04473676364776119,0.023811630082677546,0.04473676364776119,0.3343178950733043,0.3585852913901624,True
E10P_2a8dd91b01c9bc7b,电子,failure_reject,0.2014368910455754,0.5142360087397415,0.0746486536496726,0.033337622784303994,0.0746486536496726,0.3369098688706206,0.37740239641947654,False
E10P_17ebd2141911e2dd,电子,failure_reject,0.15315567213661746,0.6495436821306014,0.08107381013999006,0.05641670603832938,0.08107381013999006,0.340959660018584,0.40440980495241013,False
E10P_3532ed7757d7d96d,电子,failure_reject,0.09056809355557663,0.3774764288421198,0.04299966689081524,0.02578740350444847,0.04299966689081524,0.3454241571846386,0.42002226596106695,True
E10P_c13f22bd41698048,电子,failure_reject,0.10005853409368833,0.45459730350529565,0.03829086769663992,0.022832501413488197,0.03829086769663992,0.3624793735420861,0.42583196406864243,True
E10P_d6c82c36903f135a,电子,failure_reject,0.10591615430607566,0.4448921273406724,0.054158501694021956,0.024486434624896823,0.054158501694021956,0.33973434534569186,0.3754277760461709,True
E10P_b6abc3da5e1ed502,电子,failure_reject,0.09096527080587881,0.418210097758227,0.04357536195609322,0.024191674110000765,0.04357536195609322,0.3353749278430517,0.3573647745184415,True
