industry,task,fold_id,fold_role,model_role,contract_id,num_boost_round,tree_count,train_event_count_after_purge,train_positive_count_after_purge,train_weighted_event_count_after_purge,train_weighted_positive_count_after_purge,validation_event_count,validation_positive_count,validation_weighted_event_count,validation_weighted_positive_count,prediction_std,prediction_uniqueness,used_feature_count,model_fit_pass,trainability_guardrail_pass,auc,binary_logloss,brier_score
汽车,launch_winner,fold_2020,core_oof,locked_lgbm_probe,T1_fixed_rounds_no_inner_validation,64,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,False,False,,,
汽车,launch_winner,fold_2021,core_oof,locked_lgbm_probe,T1_fixed_rounds_no_inner_validation,64,0,601,95,488.0,44.013363547001916,206,44,195.24999999999994,43.38712797619047,0.0,0,160,False,False,,,
汽车,launch_winner,fold_2022,core_oof,locked_lgbm_probe,T1_fixed_rounds_no_inner_validation,64,0,819,196,699.0,125.30830072065899,213,40,213.0,53.915625,0.0,0,160,False,False,,,
汽车,launch_winner,fold_2023,core_oof,locked_lgbm_probe,T1_fixed_rounds_no_inner_validation,64,0,1018,236,907.0,148.12718277968713,256,30,255.6666666666667,26.000000000000014,0.0,0,160,False,False,,,
汽车,launch_winner,fold_2024,robustness_audit_only,locked_lgbm_probe,T1_fixed_rounds_no_inner_validation,64,0,1254,260,1109.0,175.61789079956637,1,0,6.520833333333333,0.0,0.0,0,160,False,False,,,
汽车,failure_reject,fold_2020,core_oof,secondary_diagnostic_only,T1_fixed_rounds_no_inner_validation,32,0,1320,547,878.0000000000001,394.67143324350434,605,161,605.0,257.71038662378527,0.0,0,163,False,False,,,
汽车,failure_reject,fold_2021,core_oof,secondary_diagnostic_only,T1_fixed_rounds_no_inner_validation,32,0,1993,745,1439.0,632.2660967429863,635,320,597.6666666666665,311.2349538578705,0.0,0,163,False,False,,,
汽车,failure_reject,fold_2022,core_oof,secondary_diagnostic_only,T1_fixed_rounds_no_inner_validation,32,0,2516,971,2067.0,916.7964278927273,642,231,642.0,212.93840486782392,0.0,0,163,False,False,,,
汽车,failure_reject,fold_2023,core_oof,secondary_diagnostic_only,T1_fixed_rounds_no_inner_validation,32,0,3114,1249,2692.0,1223.4419862405764,751,304,750.2833333333333,304.1487782234106,0.0,0,163,False,False,,,
汽车,failure_reject,fold_2024,robustness_audit_only,secondary_diagnostic_only,T1_fixed_rounds_no_inner_validation,32,0,3951,1543,3302.0000000000005,1411.8526063931874,6,6,3.3092020592020583,3.3092020592020583,0.0,0,163,False,False,,,
电子,launch_winner,fold_2020,core_oof,weak_signal_sanity_check,T1_fixed_rounds_no_inner_validation,64,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,False,False,,,
电子,launch_winner,fold_2021,core_oof,weak_signal_sanity_check,T1_fixed_rounds_no_inner_validation,64,64,643,277,487.00000000000006,213.12177537681742,412,53,415.3919270833333,34.02232900371688,0.265102866615677,205,160,True,True,0.6044042676196983,0.6249365376010407,0.21805925491727932
电子,launch_winner,fold_2022,core_oof,weak_signal_sanity_check,T1_fixed_rounds_no_inner_validation,64,64,1033,360,833.0,265.8047975860476,356,10,358.67026089371575,7.749659427333748,0.1821800237182385,180,160,True,True,0.5728323699421966,0.4950076996104042,0.16212493714221826
电子,launch_winner,fold_2023,core_oof,weak_signal_sanity_check,T1_fixed_rounds_no_inner_validation,64,64,1425,362,1187.0,293.3487880809375,372,31,355.88397541524284,41.7825259156102,0.1932815839966301,157,160,True,True,0.6769463626903793,0.4667212212287696,0.1515383651545308
电子,launch_winner,fold_2024,robustness_audit_only,weak_signal_sanity_check,T1_fixed_rounds_no_inner_validation,64,0,1811,389,1563.0000000000005,289.1626333398251,4,0,6.003472222222115,0.0,0.0,0,160,False,False,,,
电子,failure_reject,fold_2020,core_oof,negative_control_placebo,T1_fixed_rounds_no_inner_validation,32,32,1155,358,453.0,164.29008954008953,1027,366,1027.0,464.96977159950563,0.20394678644539313,425,163,True,True,0.3807073237270901,0.8741200222465163,0.3247711946324612
电子,failure_reject,fold_2021,core_oof,negative_control_placebo,T1_fixed_rounds_no_inner_validation,32,32,2175,644,1488.0,501.02733885151537,1200,633,1180.8199830910467,677.3360121452374,0.2091801727534106,516,163,True,True,0.5030188542563476,0.7821783080440435,0.2870286611631566
电子,failure_reject,fold_2022,core_oof,negative_control_placebo,T1_fixed_rounds_no_inner_validation,32,32,3349,1240,2492.0,921.043925079859,1039,606,984.4643589423865,691.432794550268,0.12158712982713299,473,163,True,True,0.5281214033643549,0.8041240283169876,0.2994674475754816
电子,failure_reject,fold_2023,core_oof,negative_control_placebo,T1_fixed_rounds_no_inner_validation,32,32,4459,1917,3535.0000000000005,1528.493464378841,1043,541,1024.980002972005,455.5531478977123,0.11253616400233948,362,163,True,True,0.5604016466481578,0.7084349714462488,0.2554272971253306
电子,failure_reject,fold_2024,robustness_audit_only,negative_control_placebo,T1_fixed_rounds_no_inner_validation,32,0,5592,2501,4642.0,2333.5372358901063,16,2,65.88323476124751,51.59219162161548,0.0,0,163,False,False,,,
