threshold_name,threshold_source,validation_metric_used_to_choose_threshold,fold_2024_used_to_choose_threshold,violation_count,pass
max_constant_feature_rate,predeclared_config,False,False,0,True
max_duplicate_feature_cluster_count,predeclared_config,False,False,0,True
max_feature_family_share,predeclared_config,False,False,0,True
max_feature_missing_row_rate,predeclared_config,False,False,0,True
max_feature_missing_weight_share,predeclared_config,False,False,0,True
max_instrument_year_weight_hhi,predeclared_config,False,False,0,True
max_top_instrument_year_weight_share,predeclared_config,False,False,0,True
max_unknown_loss_weight_share,predeclared_config,False,False,0,True
min_distinct_instruments_original,predeclared_config,False,False,0,True
min_feature_family_coverage_after_hygiene,predeclared_config,False,False,0,True
min_trainable_core_folds_for_explore10b,predeclared_config,False,False,0,True
