industry,task,fold_id,explore10_reference_role,explore10b_scope_role,role_relabel_reason,role_relabel_allowed,role_relabel_used_for_alpha_claim,pass
电子,launch_winner,fold_2020,weak_signal_sanity_check,primary_sample_width_probe,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,launch_winner,fold_2021,weak_signal_sanity_check,primary_sample_width_probe,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,launch_winner,fold_2022,weak_signal_sanity_check,primary_sample_width_probe,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,launch_winner,fold_2023,weak_signal_sanity_check,primary_sample_width_probe,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,launch_winner,fold_2024,weak_signal_sanity_check,primary_sample_width_probe,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,failure_reject,fold_2020,negative_control_placebo,secondary_width_diagnostic,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,failure_reject,fold_2021,negative_control_placebo,secondary_width_diagnostic,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,failure_reject,fold_2022,negative_control_placebo,secondary_width_diagnostic,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,failure_reject,fold_2023,negative_control_placebo,secondary_width_diagnostic,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
电子,failure_reject,fold_2024,negative_control_placebo,secondary_width_diagnostic,Explore10B_relabels_reference_scope_for_width_probe_only,True,False,True
