primitive_seed_id,target_industry,task,feature_bank_version,probe_contract_id,source_path_pattern_ids,primitive_family,primitive_text,formula_text_resolved,formula_token_list,asof_rule,threshold_bucket_rule,train_support_count,oof_support_count,train_weighted_support,oof_weighted_support,core_fold_presence_count,fold_2024_support_used,raw_numeric_threshold_in_formula,leaf_id_in_formula,score_bucket_in_formula,primitive_freeze_timestamp,eligible_for_quality_audit,manual_review_seed_allowed,pass
E10C_SEED_cbf63de235d8a660,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_1c0ba1e0bac7be86,electronics_failure_secondary_diagnostic_seed,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_max_high_20 <= train_q95_100,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_max_high_20 <= train_q95_100,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60_65"", ""quantile_level"": 0.65}, {""feature_name"": ""volume_price_divergence_10"", ""feature_family"": ""volume_money"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""close_over_max_high_20"", ""feature_family"": ""price_distance"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95_100"", ""quantile_level"": 1.0}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,1220,0,893.4110193468766,0.0,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_fd035923866fd1e4,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_8d0623dee8290b39,electronics_failure_secondary_diagnostic_seed,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_median_20 >= train_q00_05,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_median_20 >= train_q00_05,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60_65"", ""quantile_level"": 0.65}, {""feature_name"": ""volume_price_divergence_10"", ""feature_family"": ""volume_money"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""close_over_median_20"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q00_05"", ""quantile_level"": 0.05}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,1210,0,876.1305761538538,0.0,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_2576d8f88654df29,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_41182f441b2489e7,electronics_failure_secondary_diagnostic_seed,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_ma_20 >= train_q00_05,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_ma_20 >= train_q00_05,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60_65"", ""quantile_level"": 0.65}, {""feature_name"": ""volume_price_divergence_10"", ""feature_family"": ""volume_money"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""close_over_ma_20"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q00_05"", ""quantile_level"": 0.05}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,1209,0,875.3237877046982,0.0,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_10252ec52570449e,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_cc23054675421516,electronics_failure_secondary_diagnostic_seed,atr_like_10 <= train_q80_85 and atr_like_10 >= train_q00_05 and industry_relative_strength_vs_market_60d >= train_q30_35,atr_like_10 <= train_q80_85 and atr_like_10 >= train_q00_05 and industry_relative_strength_vs_market_60d >= train_q30_35,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q00_05"", ""quantile_level"": 0.05}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,1113,214,854.5685686511305,242.75570850487802,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_cb5fb1523206af15,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_cbbd9f626c8aaf3c,electronics_failure_secondary_diagnostic_seed,atr_like_10 <= train_q75_80 and atr_like_10 >= train_q00_05 and market_volatility_regime <= train_q60_65,atr_like_10 <= train_q75_80 and atr_like_10 >= train_q00_05 and market_volatility_regime <= train_q60_65,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q75_80"", ""quantile_level"": 0.7999999999999999}, {""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q00_05"", ""quantile_level"": 0.05}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60_65"", ""quantile_level"": 0.65}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,1066,0,821.7797476024513,0.0,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_348502511b66a9da,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_82f93e17dd08239a,electronics_failure_secondary_diagnostic_seed,industry_relative_strength_vs_market_60d >= train_q30_35 and market_volatility_regime <= train_q55_60 and close_over_min_low_5 >= train_q00_05,industry_relative_strength_vs_market_60d >= train_q30_35 and market_volatility_regime <= train_q55_60 and close_over_min_low_5 >= train_q00_05,"[{""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q55_60"", ""quantile_level"": 0.6}, {""feature_name"": ""close_over_min_low_5"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q00_05"", ""quantile_level"": 0.05}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,988,0,810.5972287404113,0.0,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_ae3b660a4862e871,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_e362c8d8fc3188a9,electronics_failure_secondary_diagnostic_seed,atr_like_10 <= train_q75_80 and atr_like_10 >= train_q00_05 and industry_relative_strength_vs_market_60d >= train_q30_35,atr_like_10 <= train_q75_80 and atr_like_10 >= train_q00_05 and industry_relative_strength_vs_market_60d >= train_q30_35,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q75_80"", ""quantile_level"": 0.7999999999999999}, {""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q00_05"", ""quantile_level"": 0.05}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,1039,207,805.4278176571136,236.5356762356618,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_dc129ba4bf693d78,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_f08c3631e599065c,electronics_failure_secondary_diagnostic_seed,market_volatility_regime <= train_q60_65 and industry_relative_strength_vs_market_60d >= train_q30_35 and volume_price_divergence_20 <= train_q90_95,market_volatility_regime <= train_q60_65 and industry_relative_strength_vs_market_60d >= train_q30_35 and volume_price_divergence_20 <= train_q90_95,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60_65"", ""quantile_level"": 0.65}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}, {""feature_name"": ""volume_price_divergence_20"", ""feature_family"": ""volume_money"", ""direction"": ""less_than"", ""quantile_bucket"": ""q90_95"", ""quantile_level"": 0.95}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,1005,0,800.3325040664732,0.0,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_27fd3e12ebde8180,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_b2601bbb04ae816e,electronics_failure_secondary_diagnostic_seed,atr_like_10 <= train_q75_80 and market_volatility_regime <= train_q60_65 and atr_like_10 <= train_q65_70,atr_like_10 <= train_q75_80 and market_volatility_regime <= train_q60_65 and atr_like_10 <= train_q65_70,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q75_80"", ""quantile_level"": 0.7999999999999999}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60_65"", ""quantile_level"": 0.65}, {""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q65_70"", ""quantile_level"": 0.7}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,1060,0,788.9838559038145,0.0,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
E10C_SEED_453d5ee94b815758,电子,failure_reject,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,E10C_PATH_79630f995f9bffdf,electronics_failure_secondary_diagnostic_seed,market_volatility_regime <= train_q60_65 and industry_relative_strength_vs_market_60d >= train_q30_35 and amplitude_10 >= train_q00_05,market_volatility_regime <= train_q60_65 and industry_relative_strength_vs_market_60d >= train_q30_35 and amplitude_10 >= train_q00_05,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60_65"", ""quantile_level"": 0.65}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}, {""feature_name"": ""amplitude_10"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q00_05"", ""quantile_level"": 0.05}]",feature_asof_date = signal_date,train_fold_quantile_bucket_only,993,0,785.4570242714817,0.0,1,False,False,False,False,2026-05-07T11:19:11.205754+00:00,True,False,True
