primitive_seed_id,formula_text_resolved,operator_count,feature_count,window_count,threshold_bucket_count,uses_only_asof_observable_inputs,raw_threshold_free,leaf_id_free,score_free,manual_formula_complexity_score,manualizability_pass,manual_review_notes,pass
E10C_SEED_cbf63de235d8a660,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_max_high_20 <= train_q95_100,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_fd035923866fd1e4,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_median_20 >= train_q00_05,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_2576d8f88654df29,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_ma_20 >= train_q00_05,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_10252ec52570449e,atr_like_10 <= train_q80_85 and atr_like_10 >= train_q00_05 and industry_relative_strength_vs_market_60d >= train_q30_35,2,2,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_cb5fb1523206af15,atr_like_10 <= train_q75_80 and atr_like_10 >= train_q00_05 and market_volatility_regime <= train_q60_65,2,2,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_348502511b66a9da,industry_relative_strength_vs_market_60d >= train_q30_35 and market_volatility_regime <= train_q55_60 and close_over_min_low_5 >= train_q00_05,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_ae3b660a4862e871,atr_like_10 <= train_q75_80 and atr_like_10 >= train_q00_05 and industry_relative_strength_vs_market_60d >= train_q30_35,2,2,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_dc129ba4bf693d78,market_volatility_regime <= train_q60_65 and industry_relative_strength_vs_market_60d >= train_q30_35 and volume_price_divergence_20 <= train_q90_95,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_27fd3e12ebde8180,atr_like_10 <= train_q75_80 and market_volatility_regime <= train_q60_65 and atr_like_10 <= train_q65_70,2,2,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_453d5ee94b815758,market_volatility_regime <= train_q60_65 and industry_relative_strength_vs_market_60d >= train_q30_35 and amplitude_10 >= train_q00_05,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_7400f6587f37602f,high_vol_constructive_ratio <= train_q40_45 and money_5d_market_rank <= train_q85_90 and high_vol_destructive_ratio <= train_q80_85,2,3,1,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_5875a30005613d2d,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and body_pct >= train_q05_10,2,3,1,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_a36ac1afd51d2500,atr_like_10 <= train_q80_85 and atr_like_10 >= train_q00_05 and atr20_pct_market_rank >= train_q35_40,2,2,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_01206ced30a80685,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_max_high_20 <= train_q80_85,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
E10C_SEED_d2a2c0fa932a97f4,market_volatility_regime <= train_q60_65 and volume_price_divergence_10 <= train_q80_85 and close_over_max_high_10 <= train_q80_85,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True
