artifact_key,artifact_path,required,exists,readable,file_size_bytes,sha256,row_count,column_count,authority_role,pass
explore10b_manifest,Explore10/outputs/explore10b/reports/explore10b_run_manifest.json,True,True,True,17827,8ff6df9dc34e0ce6c1266853b01996d4ad2ab089bb8ea04d0dab7ad2255415a2,1.0,21.0,report_or_reference,True
explore10b_width_gate,Explore10/outputs/explore10b/reports/explore10b_electronics_sample_width_gate.csv,True,True,True,2553,496b0ed75b52ff84f9b4f39662d43f036bdbf934b0d3aa86709ba60935370786,10.0,19.0,report_or_reference,True
explore10b_recommendation_gate,Explore10/outputs/explore10b/reports/explore10b_recommendation_gate.csv,True,True,True,746,628516c5c601f5d8ba244dc8cfa751f426a74c9fe136e21edc8d5f3f73a85d96,1.0,19.0,report_or_reference,True
explore10b_data_discipline,Explore10/outputs/explore10b/reports/explore10b_electronics_data_discipline_audit.csv,True,True,True,5916,d6fff8d1b95d5e04a182cf45ed23e94ffd87cac54e06ca19b568fc1f28b993c2,10.0,24.0,report_or_reference,True
explore10_train_eval_panel,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,True,True,True,22625804,045d7bb0c7d29649b4cee75cf2f6e4416c24a81075aa2dde425ff275c04c6c70,54029.0,411.0,row_level_cache,True
explore10_launch_event_panel,Explore10/outputs/explore10/cache/explore10_atomic_launch_event_panel.parquet,True,True,True,5870948,611bf8702d45196f9dbce3ddb6159fd13401bdb26902f5d94f079d708b35bad4,11748.0,410.0,row_level_cache,True
explore10_failure_decision_panel,Explore10/outputs/explore10/cache/explore10_atomic_failure_decision_panel.parquet,True,True,True,16125962,aa56c299448896991ad3c542819e71dc5939d4d9422a3858b36d69210d1481c6,42281.0,410.0,row_level_cache,True
explore10_model_dump,Explore10/outputs/explore10/cache/explore10_lgbm_model_dump.parquet,True,True,True,331525,6afaf27a8fc417a711932fccdf7170df8295860f27e11ac86b92d1517e5ea545,7.0,5.0,row_level_cache,True
explore10_full_path_candidate_panel,Explore10/outputs/explore10/cache/explore10_full_path_candidate_panel.parquet,True,True,True,42710,ee897d7629dbfa6a6e1b28f16c498ffd5a9d3f80b51414f112454c42baa654be,141.0,26.0,row_level_cache,True
feature_bank_v1_config,Explore10/configs/atomic_feature_bank_v1.yaml,True,True,True,4999,d9c1d97f8bfce23e41b80f5ca5fa943c83e667202d78cc1030ed17bc053b7dc8,,,report_or_reference,True
explore10_feature_dictionary,Explore10/outputs/explore10/reports/explore10_atomic_feature_dictionary.csv,True,True,True,55563,e92bf5d97f1c2094ed8e6ae74c9166a330f9ca41fdb776270192f09cd6a2b260,175.0,23.0,report_or_reference,True
explore10_feature_bank_preflight,Explore10/outputs/explore10/reports/explore10_feature_bank_preflight_audit.csv,True,True,True,1336,3dfb09292bc9b4f83f5bc6a0e3d889bd28021ef6fa1ab1482119a517c904e936,1.0,23.0,report_or_reference,True
explore10_feature_asof_leakage,Explore10/outputs/explore10/reports/explore10_feature_asof_leakage_audit.csv,True,True,True,2843,5eca0ab4f746827c53fcfcba0a897e1e873326741db3c0cfb571367362e7cc70,18.0,16.0,report_or_reference,True
explore10_observed_reference_overlap,Explore10/outputs/explore10/reports/explore10_observed_reference_overlap_audit.csv,True,True,True,1831,16ffff40cce70511afc440c4ac4ba6ace664369cdcd1cfbd8191ce8858bbc141,18.0,13.0,report_or_reference,True
explore10_walk_forward_purge,Explore10/outputs/explore10/reports/explore10_walk_forward_purge_audit.csv,True,True,True,1790,6233d7ee68c25ba0689b73287a5984c53077261b7ff6fa87949ec3e84cfd0fb2,18.0,13.0,report_or_reference,True
explore10_candidate_table,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,True,True,True,113149,77618a6d637c2d1173dcde7b2f27cc9e8196081e0edd5aac72b2fd47a7542ab3,99.0,21.0,report_or_reference,True
