primitive_seed_id,source_slice_row_count,slice_stability_carry_forward_pass,pass
E10C_SEED_3bd310d43fd4eb55,73,True,True
E10C_SEED_40178f7159342c21,78,True,True
E10C_SEED_407e18d7d05fdc98,84,True,True
E10C_SEED_40eb71b01d3d40de,94,True,True
E10C_SEED_590e25e49151d6bc,80,True,True
E10C_SEED_7a91a9802f40eb58,94,True,True
E10C_SEED_86d5dde1c52d602c,91,True,True
E10C_SEED_a802bbc1ee927370,77,True,True
E10C_SEED_bdada75fdd341add,73,True,True
E10C_SEED_c161b734a948d4e1,77,True,True
E10C_SEED_c645f9790305e9cb,76,True,True
E10C_SEED_c8cecb2b23026b7d,78,True,True
E10C_SEED_f41f0c1cf62a7319,66,True,True
E10C_SEED_fcda47e3c4b6e009,72,True,True
