,,risk
excess_return_without_cost,mean,0.0011893523380556343
excess_return_without_cost,std,0.005453472329860246
excess_return_without_cost,annualized_return,0.28306585645724097
excess_return_without_cost,information_ratio,3.3645415446853133
excess_return_without_cost,max_drawdown,-0.05890688730152438
excess_return_with_cost,mean,0.0009897434571671684
excess_return_with_cost,std,0.005454568738703175
excess_return_with_cost,annualized_return,0.2355589428057861
excess_return_with_cost,information_ratio,2.7993080875358807
excess_return_with_cost,max_drawdown,-0.06130126346703807
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0018667254932130284
strategy_return_without_cost,std,0.011653243285376707
strategy_return_without_cost,annualized_return,0.4442806673847008
strategy_return_without_cost,information_ratio,2.471280963149429
strategy_return_without_cost,max_drawdown,-0.11434091541916416
strategy_return_with_cost,mean,0.0016671166123245623
strategy_return_with_cost,std,0.011651042777360772
strategy_return_with_cost,annualized_return,0.39677375373324586
strategy_return_with_cost,information_ratio,2.2074438270659145
strategy_return_with_cost,max_drawdown,-0.12002156746735775
