,,risk
excess_return_without_cost,mean,0.0015428941884502272
excess_return_without_cost,std,0.00659909497161525
excess_return_without_cost,annualized_return,0.3672088168511541
excess_return_without_cost,information_ratio,3.606951005068526
excess_return_without_cost,max_drawdown,-0.06924447578033621
excess_return_with_cost,mean,0.0014164324913058194
excess_return_with_cost,std,0.006598269661678048
excess_return_with_cost,annualized_return,0.33711093293078503
excess_return_with_cost,information_ratio,3.3117252428314132
excess_return_with_cost,max_drawdown,-0.07088274072990702
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0022202673436076212
strategy_return_without_cost,std,0.013026025990946157
strategy_return_without_cost,annualized_return,0.5284236277786138
strategy_return_without_cost,information_ratio,2.6295522777024702
strategy_return_without_cost,max_drawdown,-0.1436091475913994
strategy_return_with_cost,mean,0.0020938056464632135
strategy_return_with_cost,std,0.013024660447175561
strategy_return_with_cost,annualized_return,0.4983257438582448
strategy_return_with_cost,information_ratio,2.480038570071618
strategy_return_with_cost,max_drawdown,-0.1470489748676779
