code,name,instrument,exchange,base_date,price_date,close,shares_date,total_shares,shares_source,market_cap,included,reason
600000,浦发银行,SH600000,SH,2025-12-31,2025-12-31,12.44,2025-10-27,33305838300.0,stock_zh_a_gbjg_em,414324628452.0,True,
600004,白云机场,SH600004,SH,2025-12-31,2025-12-31,9.46,2025-12-31,2577244598.0,stock_zh_a_gbjg_em,24380733897.08,False,below_threshold
600006,东风股份,SH600006,SH,2025-12-31,2025-12-31,7.18,2009-11-13,2000000000.0,stock_zh_a_gbjg_em,14360000000.0,False,below_threshold
600007,中国国贸,SH600007,SH,2025-12-31,2025-12-31,19.82,2009-10-30,1007282534.0,stock_zh_a_gbjg_em,19964339823.88,False,below_threshold
600008,首创环保,SH600008,SH,2025-12-31,2025-12-31,3.0,2020-09-29,7340590677.0,stock_zh_a_gbjg_em,22021772031.0,False,below_threshold
600009,上海机场,SH600009,SH,2025-12-31,2025-12-31,32.76,2025-11-04,2488313040.0,stock_zh_a_gbjg_em,81517135190.4,True,
600010,包钢股份,SH600010,SH,2025-12-31,2025-12-31,2.38,2025-03-05,45288619348.0,stock_zh_a_gbjg_em,107786914048.23999,True,
600011,华能国际,SH600011,SH,2025-12-31,2025-12-31,7.46,2019-10-15,15698093359.0,stock_zh_a_gbjg_em,117107776458.14,True,
600012,皖通高速,SH600012,SH,2025-12-31,2025-12-31,14.82,2025-06-30,1708591889.0,stock_zh_a_gbjg_em,25321331794.98,False,below_threshold
600015,华夏银行,SH600015,SH,2025-12-31,2025-12-31,6.87,2024-01-08,15914928468.0,stock_zh_a_gbjg_em,109335558575.16,True,
600016,民生银行,SH600016,SH,2025-12-31,2025-12-31,3.83,2018-07-05,43782418502.0,stock_zh_a_gbjg_em,167686662862.66,True,
600017,日照港,SH600017,SH,2025-12-31,2025-12-31,3.0,2015-04-13,3075653888.0,stock_zh_a_gbjg_em,9226961664.0,False,below_threshold
600018,上港集团,SH600018,SH,2025-12-31,2025-12-31,5.42,2025-12-24,23279960504.0,stock_zh_a_gbjg_em,126177385931.68,True,
600019,宝钢股份,SH600019,SH,2025-12-31,2025-12-31,7.45,2025-07-24,21782084749.0,stock_zh_a_gbjg_em,162276531380.05002,True,
600020,中原高速,SH600020,SH,2025-12-31,2025-12-31,4.26,2012-07-19,2247371832.0,stock_zh_a_gbjg_em,9573804004.32,False,below_threshold
600021,上海电力,SH600021,SH,2025-12-31,2025-12-31,20.02,2025-12-31,2821234945.0,stock_zh_a_gbjg_em,56481123598.9,True,
600022,山东钢铁,SH600022,SH,2025-12-31,2025-12-31,1.51,2022-12-20,10698849554.0,stock_zh_a_gbjg_em,16155262826.54,False,below_threshold
600023,浙能电力,SH600023,SH,2025-12-31,2025-12-31,4.95,2022-09-01,13408732749.0,stock_zh_a_gbjg_em,66373227107.55,True,
600025,华能水电,SH600025,SH,2025-12-31,2025-12-31,9.08,2025-12-31,18631094257.0,stock_zh_a_gbjg_em,169170335853.56,True,
600026,中远海能,SH600026,SH,2025-12-31,2025-12-31,11.68,2025-10-22,5465220839.0,stock_zh_a_gbjg_em,63833779399.52,True,
600027,华电国际,SH600027,SH,2025-12-31,2025-12-31,4.96,2025-12-31,11611774184.0,stock_zh_a_gbjg_em,57594399952.64,True,
600028,中国石化,SH600028,SH,2025-12-31,2025-12-31,6.18,2025-12-30,120925514222.0,stock_zh_a_gbjg_em,747319677891.96,True,
600029,南方航空,SH600029,SH,2025-12-31,2025-12-31,8.01,2025-12-31,18120922035.0,stock_zh_a_gbjg_em,145148585500.35,True,
600030,中信证券,SH600030,SH,2025-12-31,2025-12-31,28.71,2024-09-11,14820546829.0,stock_zh_a_gbjg_em,425497899460.59,True,
600031,三一重工,SH600031,SH,2025-12-31,2025-12-31,21.13,2025-11-26,9195004437.0,stock_zh_a_gbjg_em,194290443753.81,True,
