instrument,signal_date,order_date,deal_date,entry_type,entry_price,exit_signal_date,exit_date,exit_price,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return
SH603986,2025-03-06,2025-03-07,2025-03-07,pullback,135.9600067138672,2025-03-13,2025-03-14,123.61000061035156,125.08320617675781,125.08320617675781,10.876800537109375,stop_loss,7,-0.09083558027109152,-0.09265300040048464
SZ000988,2025-03-06,2025-03-07,2025-03-07,pullback,44.349998474121094,2025-03-17,2025-03-18,45.290000915527344,40.80199859619141,40.80199859619141,3.5479998779296835,time_stop,11,0.021195095236694446,0.01915372573097392
SH603986,2025-03-19,2025-03-20,2025-03-20,pullback,129.94000244140625,2025-03-25,2025-03-26,118.97000122070312,119.54480224609375,119.54480224609375,10.395200195312498,stop_loss,6,-0.08442358792204749,-0.0862538256273507
SZ000425,2025-03-14,2025-03-17,2025-03-17,pullback,9.0600004196167,2025-03-27,2025-03-28,8.460000038146973,8.335200386047363,8.335200386047363,0.7248000335693359,time_stop,11,-0.06622520460049942,-0.06809182088315713
SZ000338,2025-03-14,2025-03-17,2025-03-17,pullback,15.380000114440918,2025-03-27,2025-03-28,15.229999542236328,14.149600105285645,14.149600105285645,1.2304000091552734,time_stop,11,-0.009752963009652263,-0.01173246733147205
SZ000933,2025-03-17,2025-03-18,2025-03-18,pullback,19.18000030517578,2025-03-28,2025-03-31,18.079999923706055,17.64560028076172,17.64560028076172,1.5344000244140616,time_stop,13,-0.057351426692776854,-0.05923578166190677
SH600019,2025-03-17,2025-03-18,2025-03-18,pullback,7.260000228881836,2025-03-28,2025-03-31,7.070000171661377,6.679200210571289,6.679200210571289,0.5808000183105468,time_stop,13,-0.02617080595460563,-0.028117491000173633
SZ000157,2025-03-18,2025-03-19,2025-03-19,pullback,7.619999885559082,2025-03-28,2025-03-31,7.099999904632568,7.0103998947143555,7.0103998947143555,0.6095999908447265,ema60_exit,12,-0.06824146833807479,-0.07010405410851349
SZ000807,2025-03-18,2025-03-19,2025-03-19,pullback,17.360000610351562,2025-03-31,2025-04-01,16.959999084472656,15.971200561523439,15.971200561523439,1.3888000488281236,time_stop,13,-0.02304156174052149,-0.02499450214683732
SH600031,2025-03-19,2025-03-20,2025-03-20,pullback,19.6299991607666,2025-03-31,2025-04-01,18.520000457763672,18.059599227905274,18.059599227905274,1.5703999328613278,time_stop,12,-0.05654603924901958,-0.05843200418805209
