version,period,stage,sizing,risk_budget_per_trade,single_stock_max_weight,max_positions,max_daily_new_weight,max_industry_weight,rows,trades,win_rate,total_return_with_cost,total_return_without_cost,annual_return_with_cost,max_drawdown,return_drawdown_ratio,turnover_mean,cost_sum,cost_ratio,avg_positions,avg_cash_ratio,max_single_stock_weight_observed,max_industry_weight_observed,ending_account,remove_top5_trade_return_sum
fixed_weight_layered_exit,valid,frozen_replication,fixed,,0.05,20,0.2,,484,170,0.28823529411764703,-0.06666015491547572,-0.05362339248658987,-0.0352808687610876,-0.12050835525741488,-0.2927669926763586,0.029527607850061713,13647.160530710218,0.013647160530710219,3.6384297520661155,0.8302765069230535,0.083912371951293,0.48553145177718005,933339.8450845242,-2.714524479752002
fixed_weight_layered_exit,observed_test,frozen_replication,fixed,,0.05,20,0.2,,319,134,0.4253731343283582,0.4227762848745107,0.4402764220759927,0.3212138797398596,-0.08596183214043507,3.7367035083093088,0.03832348907124571,15486.70049803257,0.015486700498032569,6.495297805642633,0.6848035356012203,0.09229338444671074,0.4954262429296044,1422776.2848745107,4.442113457043119
risk_unit_rb050_sw03,valid,risk_unit_stage,risk_unit,0.005,0.03,20,0.2,,484,169,0.28994082840236685,-0.039277000129842476,-0.03084657687385728,-0.02064633618483258,-0.07580603490448323,-0.27235742129036666,0.018630914507889413,8656.008017683029,0.008656008017683028,3.6198347107438016,0.8936597075177412,0.05434909156572767,0.3055035227064058,960722.9998701576,-2.6097552771530506
risk_unit_rb050_sw03,observed_test,risk_unit_stage,risk_unit,0.005,0.03,20,0.2,,319,133,0.42857142857142855,0.2657022359547858,0.2754913662658409,0.20458850492031289,-0.05442758077982446,3.7589123379915312,0.024016453769924416,8981.753999209403,0.008981753999209403,6.492163009404389,0.7978664556029554,0.06056932145691476,0.3195664564609802,1265702.2359547857,4.524762417948894
risk_unit_rb050_sw05,valid,risk_unit_stage,risk_unit,0.005,0.05,20,0.2,,484,170,0.28823529411764703,-0.07311133609007636,-0.06016136479963763,-0.03875844619179991,-0.11875244384788308,-0.3263801984694131,0.029550014088132664,13537.340023028848,0.013537340023028848,3.6322314049586777,0.8370501163696897,0.06594113086156887,0.4793670279862819,926888.6639099236,-2.823709005239728
risk_unit_rb050_sw05,observed_test,risk_unit_stage,risk_unit,0.005,0.05,20,0.2,,319,134,0.4253731343283582,0.4211924467099428,0.43866451607218093,0.32005187483401243,-0.0826299439685616,3.8733158884360765,0.038302571926192866,15439.534996676444,0.015439534996676444,6.460815047021944,0.6981812534641298,0.0983881759272949,0.4982264355066863,1421192.4467099428,4.249525448025604
risk_unit_rb050_sw06,valid,risk_unit_stage,risk_unit,0.005,0.06,20,0.2,,484,168,0.2857142857142857,-0.08877243649980981,-0.0742797459142932,-0.04724931862162629,-0.13828679862306048,-0.3416762777943655,0.033566318456035776,15241.434025979044,0.015241434025979043,3.584710743801653,0.8182829332249091,0.0719211363657728,0.5504406257795685,911227.5635001902,-2.799091160652974
risk_unit_rb050_sw06,observed_test,risk_unit_stage,risk_unit,0.005,0.06,20,0.2,,319,135,0.4148148148148148,0.46147888183324337,0.48087402036974414,0.3495250303094326,-0.08903015827351624,3.9259172070168686,0.041315611480101856,16886.109497857095,0.016886109497857096,6.401253918495298,0.6795404230184037,0.1160993646980295,0.5879315875834621,1461478.8818332434,4.619755267859901
risk_unit_rb075_sw03,valid,risk_unit_stage,risk_unit,0.0075,0.03,20,0.2,,484,169,0.28994082840236685,-0.040079982298612316,-0.031602731185820354,-0.021072610798206104,-0.076051948313544,-0.277081800867596,0.01875337121674464,8709.990018606188,0.008709990018606189,3.6198347107438016,0.8926534744653698,0.054356666505584426,0.3055470306062532,959920.0177013876,-2.6097552771530506
risk_unit_rb075_sw03,observed_test,risk_unit_stage,risk_unit,0.0075,0.03,20,0.2,,319,133,0.42857142857142855,0.2656583608976133,0.27550469733305505,0.2045555184154757,-0.05542348896127547,3.690773032322075,0.02415838738678683,9035.62899916172,0.009035628999161719,6.492163009404389,0.7959104540324957,0.06056932145691476,0.3198180779018995,1265658.3608976132,4.524762417948893
