industry_target_key,industry_ts_code,status,source,source_rows,active_universe_rows,point_in_time,error
sw_801010,801010.SI,ok,tushare.index_member,183,4900,True,
sw_801030,801030.SI,ok,tushare.index_member,700,16241,True,
sw_801040,801040.SI,ok,tushare.index_member,79,6264,True,
sw_801050,801050.SI,ok,tushare.index_member,229,20726,True,
sw_801080,801080.SI,ok,tushare.index_member,630,31872,True,
sw_801110,801110.SI,ok,tushare.index_member,149,9279,True,
sw_801120,801120.SI,ok,tushare.index_member,172,25134,True,
sw_801130,801130.SI,ok,tushare.index_member,192,119,True,
sw_801140,801140.SI,ok,tushare.index_member,265,2949,True,
sw_801150,801150.SI,ok,tushare.index_member,582,25152,True,
sw_801160,801160.SI,ok,tushare.index_member,268,22256,True,
sw_801170,801170.SI,ok,tushare.index_member,179,28048,True,
sw_801180,801180.SI,ok,tushare.index_member,252,12764,True,
sw_801200,801200.SI,ok,tushare.index_member,199,3951,True,
sw_801210,801210.SI,ok,tushare.index_member,128,1690,True,
sw_801230,801230.SI,ok,tushare.index_member,189,421,True,
sw_801710,801710.SI,ok,tushare.index_member,121,5945,True,
sw_801720,801720.SI,ok,tushare.index_member,213,15520,True,
sw_801730,801730.SI,ok,tushare.index_member,474,20535,True,
sw_801740,801740.SI,ok,tushare.index_member,161,13185,True,
sw_801750,801750.SI,ok,tushare.index_member,394,16559,True,
sw_801760,801760.SI,ok,tushare.index_member,222,4937,True,
sw_801770,801770.SI,ok,tushare.index_member,178,7463,True,
sw_801780,801780.SI,ok,tushare.index_member,42,45513,True,
sw_801790,801790.SI,ok,tushare.index_member,110,46423,True,
sw_801880,801880.SI,ok,tushare.index_member,341,21276,True,
sw_801890,801890.SI,ok,tushare.index_member,723,10434,True,
sw_801950,801950.SI,ok,tushare.index_member,42,9433,True,
sw_801960,801960.SI,ok,tushare.index_member,54,13803,True,
sw_801970,801970.SI,ok,tushare.index_member,149,132,True,
sw_801980,801980.SI,ok,tushare.index_member,34,42,True,
