cross_year_episode_id,instrument,name,industry_name,episode_start_year,episode_end_year,overlap_year,low_date,high_date,forward_gain_intraday,forward_gain_close_confirmed,close_confirmed_peak_date,overlap_start_date,overlap_end_date,overlap_trading_days,in_year_episode_linked,truncated_by_year_boundary,observed_reference_overlap
SH600000_2022-10-31_2025-07-07,SH600000,浦发银行,银行,2022,2025,2022,2022-10-31,2025-07-07,1.4175083364219376,1.3855218753860754,2025-07-07,2022-10-31,2022-12-31,45,False,True,False
SH600000_2022-10-31_2025-07-07,SH600000,浦发银行,银行,2022,2025,2023,2022-10-31,2025-07-07,1.4175083364219376,1.3855218753860754,2025-07-07,2023-01-01,2023-12-31,242,False,True,False
SH600000_2022-10-31_2025-07-07,SH600000,浦发银行,银行,2022,2025,2024,2022-10-31,2025-07-07,1.4175083364219376,1.3855218753860754,2025-07-07,2024-01-01,2024-12-31,242,True,True,False
SH600000_2022-10-31_2025-07-07,SH600000,浦发银行,银行,2022,2025,2025,2022-10-31,2025-07-07,1.4175083364219376,1.3855218753860754,2025-07-07,2025-01-01,2025-07-07,122,False,True,True
SH600009_2017-07-17_2019-08-27,SH600009,上海机场,交通运输,2017,2019,2017,2017-07-17,2019-08-27,1.5428487784796063,1.5029549812742782,2019-08-27,2017-07-17,2017-12-31,114,False,True,False
SH600009_2017-07-17_2019-08-27,SH600009,上海机场,交通运输,2017,2019,2018,2017-07-17,2019-08-27,1.5428487784796063,1.5029549812742782,2019-08-27,2018-01-01,2018-12-31,243,True,True,False
SH600009_2017-07-17_2019-08-27,SH600009,上海机场,交通运输,2017,2019,2019,2017-07-17,2019-08-27,1.5428487784796063,1.5029549812742782,2019-08-27,2019-01-01,2019-08-27,160,True,True,False
SH600010_2020-05-27_2021-09-01,SH600010,包钢股份,钢铁,2020,2021,2020,2020-05-27,2021-09-01,2.942307745211225,2.7788463566430295,2021-09-02,2020-05-27,2020-12-31,134,False,True,False
SH600010_2020-05-27_2021-09-01,SH600010,包钢股份,钢铁,2020,2021,2021,2020-05-27,2021-09-01,2.942307745211225,2.7788463566430295,2021-09-02,2021-01-01,2021-09-01,163,True,True,False
SH600011_2021-02-09_2023-05-31,SH600011,华能国际,公用事业,2021,2023,2021,2021-02-09,2023-05-31,1.9437868261465887,1.8698223316094778,2023-05-29,2021-02-09,2021-12-31,217,True,True,False
SH600011_2021-02-09_2023-05-31,SH600011,华能国际,公用事业,2021,2023,2022,2021-02-09,2023-05-31,1.9437868261465887,1.8698223316094778,2023-05-29,2022-01-01,2022-12-31,241,True,True,False
SH600011_2021-02-09_2023-05-31,SH600011,华能国际,公用事业,2021,2023,2023,2021-02-09,2023-05-31,1.9437868261465887,1.8698223316094778,2023-05-29,2023-01-01,2023-05-31,98,True,True,False
SH600015_2022-10-28_2025-07-10,SH600015,华夏银行,银行,2022,2025,2022,2022-10-28,2025-07-10,1.1887754481417705,1.155612154286985,2025-07-10,2022-10-28,2022-12-31,46,False,True,False
SH600015_2022-10-28_2025-07-10,SH600015,华夏银行,银行,2022,2025,2023,2022-10-28,2025-07-10,1.1887754481417705,1.155612154286985,2025-07-10,2023-01-01,2023-12-31,242,False,True,False
SH600015_2022-10-28_2025-07-10,SH600015,华夏银行,银行,2022,2025,2024,2022-10-28,2025-07-10,1.1887754481417705,1.155612154286985,2025-07-10,2024-01-01,2024-12-31,242,True,True,False
SH600015_2022-10-28_2025-07-10,SH600015,华夏银行,银行,2022,2025,2025,2022-10-28,2025-07-10,1.1887754481417705,1.155612154286985,2025-07-10,2025-01-01,2025-07-10,125,False,True,True
SH600016_2022-10-31_2025-07-10,SH600016,民生银行,银行,2022,2025,2022,2022-10-31,2025-07-10,1.0148148004246678,0.966666610741322,2025-07-10,2022-10-31,2022-12-31,45,False,True,False
