artifact_name,artifact_type,exists,row_count,required_by_section_17,schema_contract_audit_pass
p0_9a_run_manifest.json,report,True,1,True,True
p0_9a_selection_lineage_audit.csv,report,True,1,True,True
p0_9a_industry_mapping_audit.csv,report,True,3,True,True
p0_9a_industry_feasibility_count_audit.csv,report,True,6,True,True
p0_9a_fold_inventory_audit.csv,report,True,30,True,True
p0_9a_fold_role_calendar.csv,report,True,5,True,True
p0_9a_t0_vs_p0_9_reconciliation_audit.csv,report,True,30,True,True
p0_9a_walk_forward_purge_audit.csv,report,True,150,True,True
p0_9a_inner_validation_purge_audit.csv,report,True,150,True,True
p0_9a_inner_validation_split_audit.csv,report,True,150,True,True
p0_9a_feature_asof_leakage_audit.csv,report,True,30,True,True
p0_9a_feature_contract_audit.csv,report,True,1,True,True
p0_9a_train_eval_eligibility_audit.csv,report,True,30,True,True
p0_9a_failure_post_target_exclusion_audit.csv,report,True,1,True,True
p0_9a_observed_reference_overlap_audit.csv,report,True,30,True,True
p0_9a_label_dictionary.csv,report,True,5,True,True
p0_9a_label_horizon_truncation_audit.csv,report,True,30,True,True
p0_9a_label_window_definition_audit.csv,report,True,2,True,True
p0_9a_label_window_end_date_audit.csv,report,True,30,True,True
p0_9a_feature_dictionary.csv,report,True,20,True,True
p0_9a_feature_availability_audit.csv,report,True,30,True,True
p0_9a_trainability_contract_matrix.csv,report,True,150,True,True
p0_9a_lgbm_fold_trainability_audit.csv,report,True,150,True,True
p0_9a_lgbm_training_status.csv,report,True,150,True,True
p0_9a_model_fit_failure_audit.csv,report,True,150,True,True
p0_9a_model_non_degenerate_sanity_audit.csv,report,True,150,True,True
p0_9a_lgbm_fixed_rounds_audit.csv,report,True,150,True,True
p0_9a_lgbm_early_stopping_audit.csv,report,True,150,True,True
p0_9a_sample_weight_group_cap_audit.csv,report,True,9709,True,True
p0_9a_failure_window_weight_normalization_audit.csv,report,True,43713,True,True
p0_9a_failure_multi_window_dedup_audit.csv,report,True,5464,True,True
p0_9a_failure_event_level_trainability_audit.csv,report,True,75,True,True
p0_9a_model_sanity_metrics_by_fold.csv,report,True,77,True,True
p0_9a_model_sanity_metrics_oof.csv,report,True,21,True,True
p0_9a_score_bucket_threshold_audit.csv,report,True,231,True,True
p0_9a_score_bucket_diagnostic_only.csv,report,True,231,True,True
p0_9a_feature_importance_diagnostic_only.csv,report,True,1216,True,True
p0_9a_industry_task_contract_summary.csv,report,True,30,True,True
p0_9a_contract_selection_audit.csv,report,True,6,True,True
p0_9a_p0_9b_null_family_recommendation.csv,report,True,1,True,True
p0_9a_outer_validation_metric_nonselection_audit.csv,report,True,1,True,True
p0_9a_bottleneck_decomposition_audit.csv,report,True,30,True,True
p0_9a_lgbm_model_identity_audit.csv,report,True,30,True,True
p0_9a_model_metric_selection_guard_audit.csv,report,True,4,True,True
p0_9a_schema_contract_audit.csv,report,True,0,True,True
p0_9a_post_validation_adjustment_audit.csv,report,True,1,True,True
p0_9a_recommendation_summary.csv,report,True,1,True,True
explore9_p0_9a_industry_trainability_probe_report.md,report,True,1,True,True
p0_9a_industry_launch_sample_panel.parquet,cache,True,33915,True,True
p0_9a_industry_failure_sample_panel.parquet,cache,True,101575,True,True
p0_9a_industry_trainability_probe_panel.parquet,cache,True,357509,True,True
p0_9a_industry_model_prediction_panel.parquet,cache,True,51139,True,True
