industry,task,fold_id,contract_id,event_count,window_sample_count,mean_valid_window_count_for_event,failure_window_normalized_weight_sum,normalization_order,failure_window_weight_normalization_pass
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,696,2073,2.978448275862069,1483.0,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,957,2843,2.9707419017763845,2036.6666666666665,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,1140,3404,2.9859649122807017,2709.0,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,1387,4144,2.9877433309300647,3442.283333333333,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,1734,5165,2.978662053056517,4237.0,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,796,2309,2.900753768844221,1480.0,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,1236,3636,2.941747572815534,2668.8199830910467,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,1644,4861,2.9568126520681264,3476.4643589423868,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,2065,6107,2.9573849878934624,4559.9800029720045,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,2635,7739,2.937001897533207,6004.0,window_normalization_then_instrument_year_group_cap_then_final_sample_weight,True
