industry,task,fold_id,contract_id,model_role,num_boost_round,early_stopping_used,inner_validation_used,feature_set_hash,label_version,sample_weight_version,trained_model_exists,prediction_panel_cache_path,locked_t1_identity_pass
汽车,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,False,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,False
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,ac41e94f0f6e1bfbe83f,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,ac41e94f0f6e1bfbe83f,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,ac41e94f0f6e1bfbe83f,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,ac41e94f0f6e1bfbe83f,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,locked_t1_probe,32,False,False,c0b57984f01de1e3b829,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,locked_t1_probe,32,False,False,c0b57984f01de1e3b829,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,locked_t1_probe,32,False,False,c0b57984f01de1e3b829,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,locked_t1_probe,32,False,False,c0b57984f01de1e3b829,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,locked_t1_probe,32,False,False,c0b57984f01de1e3b829,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
电子,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,False,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,False
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,ac41e94f0f6e1bfbe83f,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,ac41e94f0f6e1bfbe83f,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,ac41e94f0f6e1bfbe83f,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,locked_t1_probe,64,False,False,ac41e94f0f6e1bfbe83f,p0_9b_industry_label_v1,p0_9a_sample_panel_reused_for_p0_9b,True,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True
