entry_family,entry_variant_id,raw_entry_rows,first_valid_entry_rows,primary_counted_entry_rows,max_entry_rank_within_launch,max_entry_rank_within_launch_family
higher_low_reacceleration_entry,higher_low_money_quality,332,209,147,11,7
higher_low_reacceleration_entry,higher_low_reaccel_rank,1250,571,348,12,8
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2281,550,317,13,10
price_hold_after_launch,hold_10d_close_ge_launch_close,4717,200,137,9,34
price_hold_after_launch,hold_10d_low_ge_launch_low,4502,0,0,10,35
price_hold_after_launch,hold_20d_close_ge_launch_close,4701,46,32,14,36
price_hold_after_launch,hold_3d_close_above_ema20,6989,2010,1352,1,28
price_hold_after_launch,hold_3d_close_ge_launch_close,4567,85,64,2,29
price_hold_after_launch,hold_3d_low_ge_launch_low,6707,0,0,3,30
price_hold_after_launch,hold_5d_close_above_median20,6932,457,317,5,31
price_hold_after_launch,hold_5d_close_ge_launch_close,4591,14,8,6,32
price_hold_after_launch,hold_5d_low_ge_launch_low,5758,0,0,7,33
pullback_hold_entry,pullback_3_8_contraction_upper_close,1043,342,109,15,13
pullback_hold_entry,pullback_3_8_reclaim_ema20,1476,226,73,16,14
pullback_hold_entry,pullback_5_12_low_above_launch_low,661,37,6,16,15
sparse_strong_day_followthrough_entry,gap_up_hold_3d,475,116,0,1,9
sparse_strong_day_followthrough_entry,second_strong_day,508,90,0,6,9
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_3d,1606,595,0,1,10
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_5d,1461,161,0,2,11
sparse_strong_day_followthrough_entry,strong_body_pullback_hold,628,135,0,7,10
volume_confirmation_entry,volume_hold_3d,2745,1353,834,4,10
volume_confirmation_entry,volume_hold_5d,2632,353,230,8,11
volume_confirmation_entry,volume_rank_money_jump_followthrough,233,22,11,17,10
volume_confirmation_entry,volume_second_money_rank_jump,873,157,97,18,12
