filter_family,filter_variant,filtered_pending_winner_count,post_target_filter_signal_count,pending_winner_denominator_count
break_launch_low_filter,break_launch_low_3d,1616,0,5013
break_launch_low_filter,break_launch_low_5d,1936,0,4998
break_median20_or_ema20_filter,break_ema20_after_launch_5d,1469,0,4990
break_median20_or_ema20_filter,break_median20_after_launch_5d,1583,0,4994
destructive_high_vol_filter,destructive_high_vol_3d,376,0,5013
destructive_high_vol_filter,destructive_high_vol_5d,531,0,4990
gap_fade_filter,gap_fade_after_launch_5d,232,5,4990
gap_fade_filter,gap_fade_break_prior_close_5d,85,4,4991
industry_breadth_evaporation_filter,industry_breadth_evaporation_10d,3168,10,4944
industry_breadth_evaporation_filter,industry_breadth_evaporation_5d,2406,0,4991
money_distribution_filter,money_distribution_10d,2379,22,4947
money_distribution_filter,money_distribution_5d,2263,8,4991
no_followthrough_filter,no_followthrough_10d,1613,0,4888
no_followthrough_filter,no_followthrough_5d,2269,0,4990
rank_evaporation_filter,rank_evaporation_10d,936,0,4888
rank_evaporation_filter,rank_evaporation_5d,547,0,4990
upper_shadow_volume_failure_filter,upper_shadow_money_distribution_10d,2732,31,4955
upper_shadow_volume_failure_filter,upper_shadow_volume_failure_5d,1315,0,4993
wide_stop_or_unexecutable_filter,wide_stop_risk_no_add_5d,995,0,5013
wide_stop_or_unexecutable_filter,wide_stop_risk_no_new_entry_10d,1748,0,5013
