target_industry,model_task,fold_id,failure_decision_window,reject_delay_bucket,failure_opportunity_family,failure_opportunity_variant,lifecycle_pool,regime_bucket,eligible_failure_opportunity_count,failure_positive_count,industry_local_failure_baseline_precision,nonwinner_precision,winner_false_reject_from_launch_rate,big_winner_false_reject_from_launch_rate,pending_winner_coverage_loss_from_launch,median_failure_drawdown_from_decision_60d
交通运输,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,613,201,0.3278955954323002,0.9265905383360522,0.0734094616639478,0.0734094616639478,,-0.08563423006196713
交通运输,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,702,139,0.198005698005698,0.9529914529914529,0.04700854700854701,0.008547008547008548,,-0.07371011746478695
交通运输,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,905,372,0.41104972375690607,0.9668508287292817,0.03314917127071823,0.0,,-0.10773477315327684
交通运输,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,939,374,0.39829605963791265,0.9744408945686901,0.025559105431309903,0.0,,-0.09546920584775209
交通运输,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,1317,333,0.2528473804100228,0.9703872437357631,0.029612756264236904,0.01442672741078208,,-0.07880433603050829
传媒,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,189,108,0.5714285714285714,0.6455026455026455,0.3544973544973545,0.2857142857142857,,-0.13543442790343874
传媒,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,171,119,0.695906432748538,1.0,0.0,0.0,,-0.19748485825432016
传媒,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,121,77,0.6363636363636364,1.0,0.0,0.0,,-0.21694769735472585
传媒,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,6,0,0.0,1.0,0.0,0.0,,-0.08100917428935267
传媒,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,103,25,0.24271844660194175,1.0,0.0,0.0,,-0.09249567330613173
国防军工,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,290,83,0.28620689655172415,0.5344827586206896,0.46551724137931033,0.19655172413793104,,-0.09126511481690147
国防军工,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,509,266,0.5225933202357563,0.762278978388998,0.23772102161100198,0.0275049115913556,,-0.12389382223871637
国防军工,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,365,173,0.473972602739726,0.8301369863013699,0.16986301369863013,0.0,,-0.13850119830806662
国防军工,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,637,200,0.3139717425431711,0.9105180533751962,0.08948194662480377,0.018838304552590265,,-0.08915665433133013
国防军工,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,566,177,0.3127208480565371,0.8568904593639576,0.1431095406360424,0.0088339222614841,,-0.09150679162330705
基础化工,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,365,27,0.07397260273972603,0.2219178082191781,0.7780821917808219,0.684931506849315,,-0.0790629528382214
基础化工,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,739,323,0.4370771312584574,0.8700947225981055,0.12990527740189445,0.10148849797023005,,-0.11699780240878899
基础化工,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,440,275,0.625,0.925,0.075,0.006818181818181818,,-0.1357170571158146
基础化工,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,435,153,0.35172413793103446,1.0,0.0,0.0,,-0.08555731335717465
基础化工,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,619,225,0.36348949919224555,1.0,0.0,0.024232633279483037,,-0.09284520179738964
建筑材料,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,163,64,0.39263803680981596,0.44785276073619634,0.5521472392638037,0.25766871165644173,,-0.1084337492959151
建筑材料,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,318,194,0.610062893081761,0.8018867924528302,0.19811320754716982,0.1320754716981132,,-0.1416165562954831
建筑材料,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,335,165,0.4925373134328358,0.9552238805970149,0.04477611940298507,0.0,,-0.11521516747406346
建筑材料,industry_failure_reject_score_lgbm,fold_2023,ALL,ALL,ALL,ALL,ALL,ALL,162,73,0.4506172839506173,1.0,0.0,0.018518518518518517,,-0.11190403425709589
建筑材料,industry_failure_reject_score_lgbm,fold_2024,ALL,ALL,ALL,ALL,ALL,ALL,96,28,0.2916666666666667,1.0,0.0,0.0,,-0.07367994768415242
机械设备,industry_failure_reject_score_lgbm,fold_2020,ALL,ALL,ALL,ALL,ALL,ALL,156,24,0.15384615384615385,0.5,0.5,0.5576923076923077,,-0.06070620582617825
机械设备,industry_failure_reject_score_lgbm,fold_2021,ALL,ALL,ALL,ALL,ALL,ALL,440,246,0.5590909090909091,0.8431818181818181,0.15681818181818183,0.12272727272727273,,-0.14833331108093262
机械设备,industry_failure_reject_score_lgbm,fold_2022,ALL,ALL,ALL,ALL,ALL,ALL,378,166,0.43915343915343913,0.9603174603174603,0.03968253968253968,0.0,,-0.10506565680964619
