target_industry,model_task,fold_id,validation_fold_role,baseline_scope_type,baseline_scope_key,baseline_denominator_unit,baseline_join_key,eligible_event_count,positive_count,positive_rate,industry_local_all_launch_baseline_rate,industry_local_same_family_baseline_rate,false_positive_rate,median_drawdown_60d,winner_episode_coverage,failure_precision,nonwinner_precision,label_horizon_truncated_rate,observed_reference_label_measurement_rate
交通运输,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,202,15,0.07425742574257425,0.07425742574257425,,0.297029702970297,-0.08791844787679604,1.0,,,0.0,0.0
交通运输,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,242,11,0.045454545454545456,0.045454545454545456,,0.28512396694214875,-0.07526880893449261,1.0,,,0.0,0.0
交通运输,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,293,10,0.034129692832764506,0.034129692832764506,,0.3583617747440273,-0.10751104906844,1.0,,,0.0,0.0
交通运输,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,324,8,0.024691358024691357,0.024691358024691357,,0.3734567901234568,-0.09036143323751822,1.0,,,0.0,0.07407407407407407
交通运输,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,442,13,0.029411764705882353,0.029411764705882353,,0.25339366515837103,-0.07817965266223148,1.0,,,0.0,0.9457013574660633
传媒,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,77,22,0.2857142857142857,0.2857142857142857,,0.5584415584415584,-0.1454090649555453,1.0,,,0.0,0.0
传媒,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,62,0,0.0,0.0,,0.7580645161290323,-0.16963857627776735,1.0,,,0.0,0.11290322580645161
传媒,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,33,0,0.0,0.0,,0.5454545454545454,-0.2231514017627696,1.0,,,0.0,0.15151515151515152
传媒,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,4,0,0.0,0.0,,0.0,-0.11501504657643064,1.0,,,0.0,0.0
传媒,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,35,0,0.0,0.0,,0.4,-0.11573242658971505,1.0,,,0.0,0.9428571428571428
国防军工,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,96,47,0.4895833333333333,0.4895833333333333,,0.2604166666666667,-0.08882633275798557,1.0,,,0.0,0.0
国防军工,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,174,45,0.25862068965517243,0.25862068965517243,,0.4482758620689655,-0.10229479791599716,1.0,,,0.0,0.0
国防军工,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,117,16,0.13675213675213677,0.13675213675213677,,0.47863247863247865,-0.1413533900360826,1.0,,,0.0,0.0
国防军工,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,222,20,0.09009009009009009,0.09009009009009009,,0.44594594594594594,-0.10849052466035469,1.0,,,0.0,0.0
国防军工,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,182,27,0.14835164835164835,0.14835164835164835,,0.3131868131868132,-0.09186073948128182,1.0,,,0.0,1.0
基础化工,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,127,94,0.7401574803149606,0.7401574803149606,,0.18110236220472442,-0.09444899904490345,1.0,,,0.0,0.0
基础化工,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,251,32,0.12749003984063745,0.12749003984063745,,0.4581673306772908,-0.12491181709482402,1.0,,,0.0,0.12350597609561753
基础化工,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,150,11,0.07333333333333333,0.07333333333333333,,0.68,-0.15520484680141722,1.0,,,0.0,0.013333333333333334
基础化工,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,156,0,0.0,0.0,,0.5128205128205128,-0.12371796525520018,1.0,,,0.0,0.03205128205128205
基础化工,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,195,0,0.0,0.0,,0.2512820512820513,-0.07660163329348846,1.0,,,0.0,0.9897435897435898
建筑材料,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,60,36,0.6,0.6,,0.31666666666666665,-0.11833710984842993,1.0,,,0.0,0.0
建筑材料,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,103,15,0.14563106796116504,0.14563106796116504,,0.6504854368932039,-0.18906394523310888,1.0,,,0.0,0.0970873786407767
建筑材料,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,108,5,0.046296296296296294,0.046296296296296294,,0.5092592592592593,-0.12419412850256911,1.0,,,0.0,0.08333333333333333
建筑材料,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,59,0,0.0,0.0,,0.5254237288135594,-0.13314840957944019,1.0,,,0.0,0.2542372881355932
建筑材料,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,30,0,0.0,0.0,,0.4,-0.04408914119777063,1.0,,,0.0,1.0
机械设备,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,53,27,0.5094339622641509,0.5094339622641509,,0.1320754716981132,-0.049910463898945046,1.0,,,0.0,0.0
机械设备,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,146,22,0.1506849315068493,0.1506849315068493,,0.5068493150684932,-0.12727540946898058,1.0,,,0.0,0.0958904109589041
机械设备,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,126,5,0.03968253968253968,0.03968253968253968,,0.5158730158730159,-0.12184881778450252,1.0,,,0.0,0.0
机械设备,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,122,7,0.05737704918032787,0.05737704918032787,,0.32786885245901637,-0.07207208677851751,1.0,,,0.0,0.0
机械设备,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,138,15,0.10869565217391304,0.10869565217391304,,0.3695652173913043,-0.07683293416066306,1.0,,,0.0,0.9637681159420289
汽车,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,211,110,0.5213270142180095,0.5213270142180095,,0.3222748815165877,-0.09963367726626216,1.0,,,0.0,0.0
汽车,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,213,51,0.23943661971830985,0.23943661971830985,,0.39436619718309857,-0.1062675036472367,1.0,,,0.0,0.03286384976525822
汽车,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,213,40,0.18779342723004694,0.18779342723004694,,0.38497652582159625,-0.10389611413195543,1.0,,,0.0,0.0
汽车,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,260,30,0.11538461538461539,0.11538461538461539,,0.3730769230769231,-0.097749778374697,1.0,,,0.0,0.015384615384615385
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,313,43,0.13738019169329074,0.13738019169329074,,0.2971246006389776,-0.07427652817258101,1.0,,,0.0,0.9968051118210862
电力设备,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,217,64,0.29493087557603687,0.29493087557603687,,0.2119815668202765,-0.08541151876788144,1.0,,,0.0,0.0
电力设备,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,232,118,0.5086206896551724,0.5086206896551724,,0.31896551724137934,-0.08897070931066792,1.0,,,0.0,0.008620689655172414
电力设备,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,415,30,0.07228915662650602,0.07228915662650602,,0.6409638554216868,-0.16655986450859717,1.0,,,0.0,0.13493975903614458
电力设备,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,308,0,0.0,0.0,,0.5162337662337663,-0.12300098432570034,1.0,,,0.0,0.24675324675324675
电力设备,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,208,40,0.19230769230769232,0.19230769230769232,,0.4230769230769231,-0.10408309549876243,1.0,,,0.0,0.9711538461538461
电子,industry_launch_winner_score_lgbm,fold_2020,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,343,92,0.26822157434402333,0.26822157434402333,,0.32653061224489793,-0.10368399354906144,1.0,,,0.0,0.0
电子,industry_launch_winner_score_lgbm,fold_2021,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,502,57,0.11354581673306773,0.11354581673306773,,0.5199203187250996,-0.12272859604821451,1.0,,,0.0,0.17928286852589642
电子,industry_launch_winner_score_lgbm,fold_2022,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,369,10,0.02710027100271003,0.02710027100271003,,0.6016260162601627,-0.15598544127643887,1.0,,,0.0,0.03523035230352303
电子,industry_launch_winner_score_lgbm,fold_2023,p1_promotion_eligible,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,419,33,0.07875894988066826,0.07875894988066826,,0.4630071599045346,-0.11750599534094652,1.0,,,0.0,0.11217183770883055
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_audit_only,industry_local_all_launch_baseline,all_launch,launch_stratum_event_id,target_industry+fold_id,455,158,0.34725274725274724,0.34725274725274724,,0.3010989010989011,-0.10372342486024155,1.0,,,0.0,0.9912087912087912
