panel_name,target_industry,model_task,fold_id,raw_rows,decision_overlap_rows,feature_overlap_rows,label_measurement_overlap_rows,rows_entered_train,rows_entered_outer_validation,rows_entered_p1_promotion,eligible_overlap_rows,pass
launch,国防军工,industry_launch_winner_score_lgbm,fold_2020,1030,5,0,198,63,96,96,0,True
launch,国防军工,industry_launch_winner_score_lgbm,fold_2021,1030,5,0,198,105,174,174,0,True
launch,国防军工,industry_launch_winner_score_lgbm,fold_2022,1030,5,0,198,233,117,117,0,True
launch,国防军工,industry_launch_winner_score_lgbm,fold_2023,1030,5,0,198,360,222,222,0,True
launch,国防军工,industry_launch_winner_score_lgbm,fold_2024,1030,5,0,198,532,182,0,0,True
launch,基础化工,industry_launch_winner_score_lgbm,fold_2020,1451,3,0,244,136,127,127,0,True
launch,基础化工,industry_launch_winner_score_lgbm,fold_2021,1451,3,0,244,222,251,220,0,True
launch,基础化工,industry_launch_winner_score_lgbm,fold_2022,1451,3,0,244,361,150,148,0,True
launch,基础化工,industry_launch_winner_score_lgbm,fold_2023,1451,3,0,244,565,156,151,0,True
launch,基础化工,industry_launch_winner_score_lgbm,fold_2024,1451,3,0,244,709,195,0,0,True
launch,汽车,industry_launch_winner_score_lgbm,fold_2020,1877,0,0,338,306,211,211,0,True
launch,汽车,industry_launch_winner_score_lgbm,fold_2021,1877,0,0,338,488,213,206,0,True
launch,汽车,industry_launch_winner_score_lgbm,fold_2022,1877,0,0,338,699,213,213,0,True
launch,汽车,industry_launch_winner_score_lgbm,fold_2023,1877,0,0,338,907,260,256,0,True
launch,汽车,industry_launch_winner_score_lgbm,fold_2024,1877,0,0,338,1109,313,0,0,True
launch,交通运输,industry_launch_winner_score_lgbm,fold_2020,2303,4,0,454,351,202,202,0,True
launch,交通运输,industry_launch_winner_score_lgbm,fold_2021,2303,4,0,454,601,242,242,0,True
launch,交通运输,industry_launch_winner_score_lgbm,fold_2022,2303,4,0,454,803,293,293,0,True
launch,交通运输,industry_launch_winner_score_lgbm,fold_2023,2303,4,0,454,1066,324,300,0,True
launch,交通运输,industry_launch_winner_score_lgbm,fold_2024,2303,4,0,454,1358,442,0,0,True
launch,机械设备,industry_launch_winner_score_lgbm,fold_2020,842,0,0,147,97,53,53,0,True
launch,机械设备,industry_launch_winner_score_lgbm,fold_2021,842,0,0,147,135,146,132,0,True
launch,机械设备,industry_launch_winner_score_lgbm,fold_2022,842,0,0,147,222,126,126,0,True
launch,机械设备,industry_launch_winner_score_lgbm,fold_2023,842,0,0,147,329,122,122,0,True
launch,机械设备,industry_launch_winner_score_lgbm,fold_2024,842,0,0,147,475,138,0,0,True
launch,建筑材料,industry_launch_winner_score_lgbm,fold_2020,549,0,0,64,20,60,60,0,True
launch,建筑材料,industry_launch_winner_score_lgbm,fold_2021,549,0,0,64,49,103,93,0,True
launch,建筑材料,industry_launch_winner_score_lgbm,fold_2022,549,0,0,64,114,108,99,0,True
launch,建筑材料,industry_launch_winner_score_lgbm,fold_2023,549,0,0,64,185,59,44,0,True
launch,建筑材料,industry_launch_winner_score_lgbm,fold_2024,549,0,0,64,295,30,0,0,True
launch,传媒,industry_launch_winner_score_lgbm,fold_2020,462,0,0,66,39,77,77,0,True
launch,传媒,industry_launch_winner_score_lgbm,fold_2021,462,0,0,66,110,62,55,0,True
launch,传媒,industry_launch_winner_score_lgbm,fold_2022,462,0,0,66,170,33,28,0,True
launch,传媒,industry_launch_winner_score_lgbm,fold_2023,462,0,0,66,211,4,4,0,True
launch,传媒,industry_launch_winner_score_lgbm,fold_2024,462,0,0,66,267,35,0,0,True
launch,电力设备,industry_launch_winner_score_lgbm,fold_2020,1934,0,0,336,87,217,217,0,True
