feature_name,feature_family,source_column,value_type,min_history_trading_days,lookback_window,requires_benchmark_history,requires_industry_history,feature_eligible_rule,warmup_partial_year_handling,p0_enabled,direction_hint
ret3,price_state,ret3,continuous,3,3d,False,False,available_history_trading_days >= 3 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
ret5,price_state,ret5,continuous,5,5d,False,False,available_history_trading_days >= 5 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
ret10,price_state,ret10,continuous,10,10d,False,False,available_history_trading_days >= 10 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
ret20,price_state,ret20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
ret60,price_state,ret60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
ret120,price_state,ret120,continuous,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
dist_high20,price_state,dist_high20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,low
dist_high60,price_state,dist_high60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,low
dist_high120,price_state,dist_high120,continuous,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,low
dist_low20,price_state,dist_low20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
dist_low60,price_state,dist_low60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
dist_low120,price_state,dist_low120,continuous,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
gap_pct,price_state,gap_pct,continuous,1,1d,False,False,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
limit_up_like,price_state,limit_up_like,boolean,1,1d,False,False,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
relative_ret20_vs_benchmark,relative_strength,relative_ret20_vs_benchmark,continuous,20,20d,True,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
relative_ret60_vs_benchmark,relative_strength,relative_ret60_vs_benchmark,continuous,60,60d,True,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
relative_ret120_vs_benchmark,relative_strength,relative_ret120_vs_benchmark,continuous,120,120d,True,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
relative_ret20_vs_industry,relative_strength,relative_ret20_vs_industry,continuous,20,20d,False,True,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
relative_ret60_vs_industry,relative_strength,relative_ret60_vs_industry,continuous,60,60d,False,True,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
ret20_universe_pctile,relative_strength,ret20_universe_pctile,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
ret20_industry_pctile,relative_strength,ret20_industry_pctile,continuous,20,20d,False,True,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
money_ratio5,money_liquidity,money_ratio5,continuous,5,5d,False,False,available_history_trading_days >= 5 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_primitive_lift_denominator,True,high
