lead_id,lead_name,feature_family,observable_state_stage,formula_or_bin,direction,horizon,positive_label,baseline_scope,baseline_sample_count,baseline_positive_rate,lead_positive_rate,lift_vs_baseline,global_lift,industry_relative_lift,stock_day_count,unique_instrument_count,unique_instrument_year_count,unique_episode_count,positive_stock_day_count,positive_unique_instrument_count,positive_unique_instrument_year_count,positive_unique_episode_count,lead_future_50pct_precision,lead_future_100pct_precision,episode_dedup_lift,instrument_year_dedup_lift,year_positive_lift_count,distinct_year_count,distinct_industry_count,industry_concentration_top1,avg_lead_time_to_50pct,median_lead_time_to_50pct,avg_future_max_gain,avg_future_drawdown_before_gain,turnover_proxy,market_regime_dependency,industry_regime_dependency,label_horizon_truncated_rate,observed_reference_overlap_rate,duplicate_positive_risk,sparse_bin,failure_reason,recommended_next_phase,first_feature,second_feature,lead_type
pair_price_money,20日强收益 + 成交放大,price_money,observable_relative_strength_leading,"ret20 in ['p80_90', 'p90_100'] and money_ratio20 in ['p80_90', 'p90_100']",high_high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,310718,0.12462425736519932,0.16084912380681007,1.2906726764714618,1.2880701593592527,,21057,323,1605,1605,3387,211,439,1714,0.16084912380681007,0.08524481170157193,0.38903483502758884,0.5796259432954328,6,8,29,0.10343353754096025,61.84056687333924,60.0,0.2831340636700591,-0.08067885185099334,1399279488.0,market_trend_on,industry_sync_on,0.1376326793181087,0.07873914441942746,False,False,,p1_hypothesis_refine,ret20,money_ratio20,pairwise_primitive
pair_price_money,20日强收益 + 成交放大,price_money,observable_relative_strength_leading,"ret20 in ['p80_90', 'p90_100'] and money_ratio20 in ['p80_90', 'p90_100']",high_high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,274068,0.07182159172176249,0.0937782745223269,1.305711447967135,1.3018051081950157,,18789,285,1333,1333,1762,112,195,855,0.1707914205120017,0.0937782745223269,0.4905618296466009,0.7150310304848939,5,8,28,0.10846772047474586,80.29455164585698,74.0,0.4247672463512591,-0.08559645033864857,1419430016.0,market_trend_on,industry_sync_on,0.25538758443229337,0.1181087166291412,False,False,,p1_hypothesis_refine,ret20,money_ratio20,pairwise_primitive
pair_rs_market,相对强度领先 + 弱市场,relative_strength_regime,observable_relative_strength_leading,"relative_ret60_vs_benchmark in ['p80_90', 'p90_100'] and market_regime_state in ['market_drawdown', 'market_choppy']",high_regime,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312545,0.12491641203666672,0.14183745200886821,1.1354589016472445,1.1358258291266998,,36986,305,1168,1168,5246,184,344,1345,0.14183745200886821,0.06302384686097443,0.4179228446877248,0.6222364574094149,6,8,28,0.07370356351051749,62.76000762485703,63.0,0.2683809912069895,-0.07206288550370825,788539456.0,market_drawdown,industry_sync_on,0.10691440114468478,0.06746065146031478,False,False,,p1_hypothesis_refine,relative_ret60_vs_benchmark,market_regime_state,pairwise_primitive
pair_rs_market,相对强度领先 + 弱市场,relative_strength_regime,observable_relative_strength_leading,"relative_ret60_vs_benchmark in ['p80_90', 'p90_100'] and market_regime_state in ['market_drawdown', 'market_choppy']",high_regime,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275854,0.07206348285687357,0.0695798319327731,0.965535236077428,0.965888753006107,,32725,274,998,998,2277,100,148,636,0.14988540870893813,0.0695798319327731,0.4846411351699155,0.7248557721503613,6,8,28,0.07058823529411765,78.13131313131314,68.0,0.3884923906620415,-0.07642957173971082,804473664.0,market_drawdown,industry_sync_on,0.15806750273545997,0.11928709704570323,False,False,lift_not_above_baseline,drop,relative_ret60_vs_benchmark,market_regime_state,pairwise_primitive
pair_stock_lead_industry,个股强于行业 + 行业未同步,stock_industry_lead,observable_relative_strength_leading,"relative_ret20_vs_industry in ['p80_90', 'p90_100'] and industry_regime_state in ['industry_lagging', 'industry_mixed']",high_regime,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312347,0.12440650942701546,0.1387140565222757,1.1150064185640858,1.1108138649521901,,40515,319,1554,1554,5620,213,459,1715,0.1387140565222757,0.07007281253856597,0.4010412599970999,0.6236701758284493,6,8,28,0.08937430581266198,64.43790035587189,64.0,0.26918409175463864,-0.07163754323080666,653896192.0,market_drawdown,industry_lagging,0.11621661124712244,0.05716739138378339,False,False,,p1_hypothesis_refine,relative_ret20_vs_industry,industry_regime_state,pairwise_primitive
pair_stock_lead_industry,个股强于行业 + 行业未同步,stock_industry_lead,observable_relative_strength_leading,"relative_ret20_vs_industry in ['p80_90', 'p90_100'] and industry_regime_state in ['industry_lagging', 'industry_mixed']",high_regime,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275656,0.07158559944278375,0.07839382597847216,1.0951060910110841,1.0882422781774377,,34467,281,1309,1309,2702,117,198,795,0.1468361040995735,0.07839382597847216,0.46377174529430226,0.7411304947510918,7,8,27,0.0909275538921287,89.64507772020725,79.0,0.4170802763117691,-0.07644376983281008,655977792.0,market_drawdown,industry_lagging,0.1946504914678262,0.13479738371030803,False,False,,p1_hypothesis_refine,relative_ret20_vs_industry,industry_regime_state,pairwise_primitive
pair_vol_money,低波压缩 + 放量扩张,volatility_money,observable_base_building,"volatility20 in ['p0_10', 'p10_20'] and money_ratio20 in ['p80_90', 'p90_100']",low_high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,310718,0.12462425736519932,0.05564192782914655,0.4464775077141946,0.4455772288323178,,12221,215,957,957,680,104,168,273,0.05564192782914655,0.028475574830210293,0.10392102440523823,0.3720109095435873,0,8,28,0.33581539972179036,70.33970588235294,69.0,0.18268037558289796,-0.044921183722572616,450539840.0,market_trend_on,industry_lagging,0.0844438830291164,0.03372702583212278,False,False,lift_not_above_baseline,drop,volatility20,money_ratio20,pairwise_primitive
pair_vol_money,低波压缩 + 放量扩张,volatility_money,observable_base_building,"volatility20 in ['p0_10', 'p10_20'] and money_ratio20 in ['p80_90', 'p90_100']",low_high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,274068,0.07182159172176249,0.03070615034168565,0.42753369294071847,0.4262546263665105,,10975,199,826,826,337,47,64,110,0.053940774487471525,0.03070615034168565,0.10185220265505726,0.3787218431286228,1,8,28,0.3367653758542141,103.66468842729971,114.0,0.28249964949719486,-0.05495441982045157,439789472.0,market_trend_on,industry_lagging,0.18701446346238867,0.10067580370113055,False,False,lift_not_above_baseline,drop,volatility20,money_ratio20,pairwise_primitive
pair_repair_rs,回撤修复 + 相对强,repair_relative_strength,observable_repairing,"repair_from_low120 in ['p60_80', 'p80_90', 'p90_100'] and relative_ret20_vs_benchmark in ['p80_90', 'p90_100']",high_high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,300142,0.12364813988045659,0.18600886917960088,1.5043402137665383,1.4895478949215075,,45100,318,1404,1404,8389,203,405,2107,0.18600886917960088,0.09631929046563192,0.5592917263533378,0.6191544187822103,7,8,28,0.10223946784922394,63.2792943139826,63.0,0.30584497769542107,-0.08016276582796449,986684352.0,market_trend_on,industry_sync_on,0.15175422595159918,0.0638605131946978,False,False,,p1_hypothesis_refine,repair_from_low120,relative_ret20_vs_benchmark,pairwise_primitive
pair_repair_rs,回撤修复 + 相对强,repair_relative_strength,observable_repairing,"repair_from_low120 in ['p60_80', 'p80_90', 'p90_100'] and relative_ret20_vs_benchmark in ['p80_90', 'p90_100']",high_high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,263889,0.07033639143730887,0.10814653093346197,1.5375615484887855,1.501261428831606,,39391,281,1174,1174,4260,109,186,1079,0.20238125460130488,0.10814653093346197,0.7264584969753848,0.7891742470508825,6,8,28,0.09997207483943032,80.36384976525821,74.0,0.4573143530535557,-0.08152425875372665,1015204096.0,market_trend_on,industry_sync_on,0.2582542867566582,0.11437431594308646,False,False,,p1_hypothesis_refine,repair_from_low120,relative_ret20_vs_benchmark,pairwise_primitive
