gate_name,passed,observed,expected,detail
engineering_manifest_passed,True,passed,passed,
engineering_manifest_artifact_count,True,20/20,20/20,
config_hash_frozen,True,02c64d1c90fb2344247f732e7935738bae17542f67442db3758ddcc0f4c6f492,02c64d1c90fb2344247f732e7935738bae17542f67442db3758ddcc0f4c6f492,
launch_detector_config_hash_frozen,True,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0,ecf4d97efb4239181765a50b1fd161af4b93d7f5e298cbce5bb276aeda4e10d0,
pool_row_count_frozen,True,5605,5605,
episode_count_frozen,True,2464,2464,
pit_inputs_pass,True,all,all true,
feature_asof_pass,True,"uses_execution_date_intraday_any=False, violations=0","false, 0",
threshold_config_consistent,True,all,all true,
required_artifacts_exist,True,20,20,
primary_label_tie_breaker_selects_frozen_label,True,confirm_h10_u10_d06_conservative_fail,confirm_h10_u10_d06_conservative_fail,
primary_label_exists,True,1,1,
primary_label_all_freeze_gates_pass,True,all true,all true,
sensitivity_label_count_frozen,True,30,30,
original_10d_12pct_6pct_candidate_rejected,True,candidate_base_rate_out_of_range,candidate_base_rate_out_of_range and frozen_for_ep2_2=false,
only_probe_with_simple_stop_passes_all_gates,True,probe_with_simple_stop,probe_with_simple_stop,
frozen_baseline_result_exists,True,1,1,
frozen_baseline_gate_count,True,8,8,
frozen_baseline_all_gates_pass,True,all true,all true,
random_gate_interpreted_as_mean_diff,True,0.0040603264233053,> 0 mean_after_cost_diff_vs_random,source gate_name remains after_cost_lift_vs_random for backward compatibility
