split,schedule_id,gate_name,gate_value,threshold_value,comparison_id,passed,failure_reason,is_hard_stop
robustness,hazard_probe_with_simple_stop,mean_after_cost_return_diff_vs_probe_with_simple_stop,0.005209560587397926,0.0,probe_with_simple_stop,True,,True
robustness,hazard_probe_with_simple_stop,big_winner_coverage_loss_vs_probe_with_simple_stop,0.0,0.2,probe_with_simple_stop,True,,True
robustness,hazard_probe_with_simple_stop,missed_gain_to_exposure_median,0.0,0.08,self,True,,True
robustness,hazard_probe_with_simple_stop,turnover_reduction_vs_daily_baserate,0.9411170096423207,0.5,self,True,,True
robustness,hazard_probe_with_simple_stop,top1_instrument_year_exposure_share,0.020134228187919462,0.1,self,True,,True
robustness,hazard_probe_with_simple_stop,top5_instrument_exposure_share,0.0738255033557047,0.35,self,True,,True
robustness,hazard_probe_with_simple_stop,positive_pnl_year_count,2.0,2.0,self,True,,True
robustness,hazard_probe_with_simple_stop,top_year_positive_pnl_share,0.5643108019613241,0.65,self,True,,True
robustness,hazard_probe_with_simple_stop,top_instrument_year_positive_pnl_share,0.03536014256429878,0.1,self,True,,True
train,hazard_probe_with_simple_stop,mean_after_cost_return_diff_vs_probe_with_simple_stop,0.005192337694663128,0.0,probe_with_simple_stop,True,,True
train,hazard_probe_with_simple_stop,big_winner_coverage_loss_vs_probe_with_simple_stop,0.11111111111111116,0.2,probe_with_simple_stop,True,,True
train,hazard_probe_with_simple_stop,missed_gain_to_exposure_median,0.0,0.08,self,True,,True
train,hazard_probe_with_simple_stop,turnover_reduction_vs_daily_baserate,0.937115992149664,0.5,self,True,,True
train,hazard_probe_with_simple_stop,top1_instrument_year_exposure_share,0.01694915254237288,0.1,self,True,,True
train,hazard_probe_with_simple_stop,top5_instrument_exposure_share,0.05084745762711864,0.35,self,True,,True
train,hazard_probe_with_simple_stop,positive_pnl_year_count,5.0,2.0,self,True,,False
train,hazard_probe_with_simple_stop,top_year_positive_pnl_share,0.3938105981042387,0.35,self,True,,False
train,hazard_probe_with_simple_stop,top_instrument_year_positive_pnl_share,0.037787796294825586,0.1,self,True,,True
validation,hazard_probe_with_simple_stop,mean_after_cost_return_diff_vs_probe_with_simple_stop,0.005353155212193055,0.0,probe_with_simple_stop,True,,True
validation,hazard_probe_with_simple_stop,big_winner_coverage_loss_vs_probe_with_simple_stop,0.0,0.2,probe_with_simple_stop,True,,True
validation,hazard_probe_with_simple_stop,missed_gain_to_exposure_median,0.0,0.08,self,True,,True
validation,hazard_probe_with_simple_stop,turnover_reduction_vs_daily_baserate,0.9405138281798083,0.5,self,True,,True
validation,hazard_probe_with_simple_stop,top1_instrument_year_exposure_share,0.019230769230769232,0.1,self,True,,True
validation,hazard_probe_with_simple_stop,top5_instrument_exposure_share,0.09615384615384616,0.35,self,True,,True
validation,hazard_probe_with_simple_stop,positive_pnl_year_count,2.0,2.0,self,True,,True
validation,hazard_probe_with_simple_stop,top_year_positive_pnl_share,0.5870348753538591,0.65,self,True,,True
validation,hazard_probe_with_simple_stop,top_instrument_year_positive_pnl_share,0.07282318348722296,0.1,self,True,,True
