split,schedule_id,variant_id,gate_name,gate_value,gate_threshold,passed,failure_reason,is_hard_stop,failure_category
robustness,R03_original_H10,base,r03_replay_episode_count_match,770.0,770.0,True,,True,contract_or_leakage
robustness,R03_original_H10,base,r03_replay_exposed_count_match,149.0,149.0,True,,True,contract_or_leakage
robustness,R03_original_H10,base,r03_replay_probe_rate_match,0.19350649350649352,0.1935064935064935,True,,True,contract_or_leakage
robustness,R03_original_H10,base,r03_replay_confirm_add_rate_match,0.14285714285714285,0.1428571428571428,True,,True,contract_or_leakage
robustness,R03_original_H10,base,r03_replay_mean_after_cost_return_match,0.0057689560113419885,0.0057689560113419,True,,True,contract_or_leakage
robustness,R03_original_H10,base,r03_replay_p05_after_cost_return_match,-0.018225416373091,-0.018225416373091,True,,True,contract_or_leakage
robustness,R03_original_H10,base,r03_replay_strict_big_winner_capture_match,0.023622047244094488,0.0236220472440944,True,,True,contract_or_leakage
train,R03_original_H10,base,r03_replay_episode_count_match,1142.0,1142.0,True,,False,contract_or_leakage
train,R03_original_H10,base,r03_replay_exposed_count_match,236.0,236.0,True,,False,contract_or_leakage
train,R03_original_H10,base,r03_replay_probe_rate_match,0.20665499124343256,0.2066549912434325,True,,False,contract_or_leakage
train,R03_original_H10,base,r03_replay_confirm_add_rate_match,0.13572679509632224,0.1357267950963222,True,,False,contract_or_leakage
train,R03_original_H10,base,r03_replay_mean_after_cost_return_match,0.01285184640046513,0.0128518464004651,True,,False,contract_or_leakage
train,R03_original_H10,base,r03_replay_p05_after_cost_return_match,-0.0026947702231088916,-0.0026947702231088,True,,False,contract_or_leakage
train,R03_original_H10,base,r03_replay_strict_big_winner_capture_match,0.032432432432432434,0.0432432432432432,False,gate_failed,False,contract_or_leakage
validation,R03_original_H10,base,r03_replay_episode_count_match,532.0,532.0,True,,True,contract_or_leakage
validation,R03_original_H10,base,r03_replay_exposed_count_match,104.0,104.0,True,,True,contract_or_leakage
validation,R03_original_H10,base,r03_replay_probe_rate_match,0.19548872180451127,0.1954887218045112,True,,True,contract_or_leakage
validation,R03_original_H10,base,r03_replay_confirm_add_rate_match,0.13909774436090225,0.1390977443609022,True,,True,contract_or_leakage
validation,R03_original_H10,base,r03_replay_mean_after_cost_return_match,0.008591669687090502,0.0085916696870905,True,,True,contract_or_leakage
validation,R03_original_H10,base,r03_replay_p05_after_cost_return_match,-0.007542595729666961,-0.0075425957296669,True,,True,contract_or_leakage
validation,R03_original_H10,base,r03_replay_strict_big_winner_capture_match,0.046511627906976744,0.0465116279069767,True,,True,contract_or_leakage
all,R03_original_H10,base,baseline_schedule_not_promotion_eligible,False,False,True,,True,contract_or_leakage
all,diagnostic,,diagnostic_not_promotion_eligible,False,False,True,,True,contract_or_leakage
validation,R03_confirmed_H120,h120,candidate_strict_capture_diff,0.20930232558139536,> 0,True,,True,winner_capture
validation,R03_confirmed_H120,h120,candidate_captured_big_winner_count_delta,9,1,True,,True,winner_capture
validation,R03_confirmed_H120,h120,candidate_exposure_weighted_capture_diff,0.20930232558139536,0.0,True,,True,winner_capture
validation,R03_confirmed_H120,h120,candidate_mean_return_diff,-0.0015204362785553784,-0.001,False,gate_failed,True,tail_risk
validation,R03_confirmed_H120,h120,candidate_p05_return_diff,-0.05099764811319463,-0.005,False,gate_failed,True,tail_risk
validation,R03_confirmed_H120,h120,candidate_mae_mean_diff,-0.004252677765592949,-0.02,True,,True,tail_risk
validation,R03_confirmed_H120,h120,candidate_turnover_proxy_multiple,1.0,1.25,True,,True,tail_risk
validation,R03_confirmed_H120,h120,candidate_exposure_day_multiple,8.193336020421873,3.0,False,gate_failed,True,tail_risk
validation,R03_confirmed_H120,h120,candidate_blocked_exit_retry_rate,0.0018796992481203006,0.05,True,,True,tail_risk
validation,R03_confirmed_H120,h120,candidate_top1_instrument_year_exposure_share,0.019230769230769232,0.1,True,,True,tail_risk
validation,R03_confirmed_H120,h120,candidate_top5_instrument_exposure_share,0.09615384615384616,0.35,True,,True,tail_risk
validation,R03_confirmed_H20,h20,candidate_strict_capture_diff,0.023255813953488372,> 0,True,,True,winner_capture
validation,R03_confirmed_H20,h20,candidate_captured_big_winner_count_delta,1,1,True,,True,winner_capture
validation,R03_confirmed_H20,h20,candidate_exposure_weighted_capture_diff,0.023255813953488372,0.0,True,,True,winner_capture
validation,R03_confirmed_H20,h20,candidate_mean_return_diff,-0.001529032428648022,-0.001,False,gate_failed,True,tail_risk
validation,R03_confirmed_H20,h20,candidate_p05_return_diff,-0.006736137074523264,-0.005,False,gate_failed,True,tail_risk
validation,R03_confirmed_H20,h20,candidate_mae_mean_diff,-0.001376292124223257,-0.02,True,,True,tail_risk
validation,R03_confirmed_H20,h20,candidate_turnover_proxy_multiple,1.0,1.25,True,,True,tail_risk
validation,R03_confirmed_H20,h20,candidate_exposure_day_multiple,1.9686954185140402,3.0,True,,True,tail_risk
validation,R03_confirmed_H20,h20,candidate_blocked_exit_retry_rate,0.0,0.05,True,,True,tail_risk
validation,R03_confirmed_H20,h20,candidate_top1_instrument_year_exposure_share,0.019230769230769232,0.1,True,,True,tail_risk
validation,R03_confirmed_H20,h20,candidate_top5_instrument_exposure_share,0.09615384615384616,0.35,True,,True,tail_risk
validation,R03_confirmed_H60,h60,candidate_strict_capture_diff,0.11627906976744187,> 0,True,,True,winner_capture
validation,R03_confirmed_H60,h60,candidate_captured_big_winner_count_delta,5,1,True,,True,winner_capture
validation,R03_confirmed_H60,h60,candidate_exposure_weighted_capture_diff,0.11627906976744187,0.0,True,,True,winner_capture
validation,R03_confirmed_H60,h60,candidate_mean_return_diff,-0.001574853815107911,-0.001,False,gate_failed,True,tail_risk
validation,R03_confirmed_H60,h60,candidate_p05_return_diff,-0.026984911737617686,-0.005,False,gate_failed,True,tail_risk
validation,R03_confirmed_H60,h60,candidate_mae_mean_diff,-0.0028602535836139134,-0.02,True,,True,tail_risk
validation,R03_confirmed_H60,h60,candidate_turnover_proxy_multiple,1.0,1.25,True,,True,tail_risk
validation,R03_confirmed_H60,h60,candidate_exposure_day_multiple,4.7350530699986555,3.0,False,gate_failed,True,tail_risk
validation,R03_confirmed_H60,h60,candidate_blocked_exit_retry_rate,0.0018796992481203006,0.05,True,,True,tail_risk
validation,R03_confirmed_H60,h60,candidate_top1_instrument_year_exposure_share,0.019230769230769232,0.1,True,,True,tail_risk
validation,R03_confirmed_H60,h60,candidate_top5_instrument_exposure_share,0.09615384615384616,0.35,True,,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_strict_capture_diff,0.023255813953488372,> 0,True,,True,winner_capture
validation,R03_winner_state_hold_H120,winner_state_base,candidate_captured_big_winner_count_delta,1,1,True,,True,winner_capture
validation,R03_winner_state_hold_H120,winner_state_base,candidate_exposure_weighted_capture_diff,0.023255813953488372,0.0,True,,True,winner_capture
validation,R03_winner_state_hold_H120,winner_state_base,candidate_mean_return_diff,-0.0012509596731373916,-0.001,False,gate_failed,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_p05_return_diff,-0.005910534480440138,-0.005,False,gate_failed,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_mae_mean_diff,-0.001219553445412168,-0.02,True,,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_turnover_proxy_multiple,1.0,1.25,True,,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_exposure_day_multiple,1.9337632674996643,3.0,True,,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_blocked_exit_retry_rate,0.0,0.05,True,,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_top1_instrument_year_exposure_share,0.019230769230769232,0.1,True,,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_top5_instrument_exposure_share,0.09615384615384616,0.35,True,,True,tail_risk
validation,R03_winner_state_hold_H120,winner_state_base,candidate_winner_state_min_support_pass,37,5,True,,True,tail_risk
all,,,selection_materiality_guard_applied,False,reported,True,,False,selection
all,winner_state,,winner_state_asof_audit_pass,True,True,True,,True,contract_or_leakage
