split,schedule_id,variant_id,comparison_schedule_id,schedule_role,mean_after_cost_return_diff,median_after_cost_return_diff,p05_after_cost_return_diff,max_adverse_excursion_mean_diff,turnover_proxy_diff,turnover_proxy_multiple,exposure_day_multiple_vs_R03,capital_occupancy_proxy_diff,strict_big_winner_capture_rate_50h120_diff,exposure_weighted_big_winner_capture_rate_50h120_diff,partial_capture_rate_50h120_diff,captured_big_winner_count_50h120_diff,winner_hold_mode_entry_rate_diff,fast_fail_exit_rate_diff,blocked_exit_retry_rate_diff,source,replayed_by_r05,promotion_eligible
robustness,R03_all_H20,all_h20,R03_original_H10,diagnostic,0.0090064070670501,0.0,0.0086415408281206,-0.0007920789348381,0.0,1.0,1.969869079707354,1.308441558441558,0.0629921259842519,0.0574803149606299,0.0,8,0.0,0.0116883116883116,0.0012987012987012,r05_or_r04_reference,False,False
train,R03_all_H20,all_h20,R03_original_H10,diagnostic,0.0003533926352201,0.0,-0.0182999832484333,-0.0016931350539743,0.0,1.0,1.988562714449104,1.3623467600700525,0.0648648648648648,0.0459459459459459,0.0,12,0.0,0.0175131348511383,0.0035026269702276,r05_or_r04_reference,False,False
validation,R03_all_H20,all_h20,R03_original_H10,diagnostic,-0.0012084828628988,0.0,-0.0082962388442536,-0.0016698959810196,0.0,1.0,1.9790407093913744,1.3697368421052631,0.0232558139534883,0.0232558139534883,0.0,1,0.0,0.0300751879699248,0.0,r05_or_r04_reference,False,False
robustness,R03_all_H40,all_h40,R03_original_H10,diagnostic,0.0125249833722037,0.0,-0.0129085505729377,-0.0017173021694122,-0.0327272727272731,0.9959316517493896,3.7359453215248353,3.69103896103896,0.1574803149606299,0.1354330708661417,0.0,20,0.0,0.0272727272727272,0.0012987012987012,r05_or_r04_reference,False,False
train,R03_all_H40,all_h40,R03_original_H10,diagnostic,0.0037228887442692,0.0,-0.0333431646188529,-0.0033988565095807,-0.0220665499124335,0.9972345132743364,3.625301817257593,3.617950963222417,0.1567567567567567,0.1189189189189189,0.0,29,0.0,0.0516637478108581,0.0070052539404553,r05_or_r04_reference,False,False
validation,R03_all_H40,all_h40,R03_original_H10,diagnostic,0.0019498559358523,0.0,-0.0295824911982581,-0.0028872506073305,0.0,1.0,3.586591428187559,3.618796992481204,0.1162790697674418,0.1,0.0,5,0.0,0.0545112781954887,0.0,r05_or_r04_reference,False,False
robustness,R03_confirmed_H120,h120,R03_original_H10,primary,0.0147661914310158,0.0,-0.03076356020519,-0.0026673594063374,-0.0981818181818185,0.9877949552481692,9.052560646900266,10.863636363636362,0.2283464566929133,0.2283464566929134,0.0,29,0.0,0.035064935064935,0.0012987012987012,r04_frozen_report_read_only,False,False
train,R03_confirmed_H120,h120,R03_original_H10,primary,0.0029143655626434,0.0,-0.0643051727759065,-0.0051740601731765,-0.0220665499124335,0.9972345132743364,7.451899860210954,8.891418563922942,0.2,0.2,0.0,37,0.0,0.063047285464098,0.0052539404553415,r04_frozen_report_read_only,False,False
validation,R03_confirmed_H120,h120,R03_original_H10,primary,-0.0015204362785553,0.0,-0.0509976481131946,-0.0042526777655929,0.0,1.0,8.193336020421873,10.06390977443609,0.2093023255813953,0.2093023255813953,0.0,9,0.0,0.0620300751879699,0.0018796992481203,r04_frozen_report_read_only,False,False
robustness,R03_confirmed_H20,h20,R03_original_H10,primary,0.0091802838005566,0.0,0.0121408594466652,-0.0008004225279324,0.0,1.0,1.971313053523296,1.3103896103896104,0.0629921259842519,0.0629921259842519,0.0,8,0.0,0.0116883116883116,0.0,r05_or_r04_reference,True,False
train,R03_confirmed_H20,h20,R03_original_H10,primary,0.0004278395117083,0.0,-0.0114473779741853,-0.0016729061899083,0.0,1.0,1.937857415173465,1.2924693520140105,0.0378378378378378,0.0378378378378378,0.0,7,0.0,0.0166374781085814,0.0035026269702276,r05_or_r04_reference,True,False
validation,R03_confirmed_H20,h20,R03_original_H10,primary,-0.001529032428648,0.0,-0.0067361370745232,-0.0013762921242232,0.0,1.0,1.96869541851404,1.355263157894737,0.0232558139534883,0.0232558139534883,0.0,1,0.0,0.0169172932330827,0.0,r05_or_r04_reference,True,False
robustness,R03_confirmed_H40,confirmed_h40,R03_original_H10,diagnostic,0.0128673739911595,0.0,-0.0068467654179898,-0.0015200753723891,-0.0327272727272731,0.9959316517493896,3.5779745860608387,3.477922077922077,0.1259842519685039,0.1259842519685039,0.0,16,0.0,0.0181818181818181,0.0012987012987012,r05_or_r04_reference,False,False
train,R03_confirmed_H40,confirmed_h40,R03_original_H10,diagnostic,0.0037698111775176,0.0,-0.0256050119273543,-0.0029709145853579,-0.0220665499124335,0.9972345132743364,3.3408311094166976,3.225919439579684,0.1081081081081081,0.1081081081081081,0.0,20,0.0,0.0323992994746059,0.0052539404553415,r05_or_r04_reference,False,False
validation,R03_confirmed_H40,confirmed_h40,R03_original_H10,diagnostic,0.001263526714503,0.0,-0.0241206690616142,-0.0022551333012313,0.0,1.0,3.4237538626897748,3.390977443609022,0.1162790697674418,0.1162790697674418,0.0,5,0.0,0.0300751879699248,0.0018796992481203,r05_or_r04_reference,False,False
robustness,R03_confirmed_H60,h60,R03_original_H10,primary,0.0118586678386336,0.0,-0.0052283826734976,-0.0019504002007416,-0.0327272727272731,0.9959316517493896,5.057566422795532,5.474025974025974,0.1732283464566929,0.1732283464566929,0.0,22,0.0,0.0272727272727272,0.0012987012987012,r04_frozen_report_read_only,False,False
train,R03_confirmed_H60,h60,R03_original_H10,primary,-0.0024469955521202,0.0,-0.0454973601567747,-0.0042512246745782,0.0,1.0,4.509340449866564,4.836252189141856,0.1513513513513513,0.1513513513513513,0.0,28,0.0,0.0472854640980735,0.0035026269702276,r04_frozen_report_read_only,False,False
validation,R03_confirmed_H60,h60,R03_original_H10,primary,-0.0015748538151079,0.0,-0.0269849117376176,-0.0028602535836139,0.0,1.0,4.735053069998656,5.225563909774436,0.1162790697674418,0.1162790697674418,0.0,5,0.0,0.0394736842105263,0.0018796992481203,r04_frozen_report_read_only,False,False
robustness,R03_no_fast_fail,no_fast_fail,R03_original_H10,diagnostic,0.0021231818651928,0.0,0.0082853316479349,-0.0001377091220191,-0.0785454545454555,0.9902359641985352,1.2073546399691952,0.2797402597402598,0.0,0.0,0.0,0,0.0,-0.0311688311688311,0.0,r05_or_r04_reference,False,False
train,R03_no_fast_fail,no_fast_fail,R03_original_H10,diagnostic,0.0019082566657471,0.0,0.0026947702231088,-0.0001106015328956,-0.0882661996497375,0.9889380530973452,1.174482145126445,0.2404553415061294,0.0054054054054054,0.0054054054054054,0.0,1,0.0,-0.0201401050788091,0.0017513134851138,r05_or_r04_reference,False,False
validation,R03_no_fast_fail,no_fast_fail,R03_original_H10,diagnostic,0.0015362193993099,0.0,0.0048459628226779,3.463986619866395e-05,-0.0568421052631578,0.992822966507177,1.1473868063952708,0.206203007518797,0.0,0.0,0.0,0,0.0,-0.0150375939849624,0.0,r05_or_r04_reference,False,False
robustness,R03_relaxed_fast_fail,relaxed_fast_fail,R03_original_H10,diagnostic,0.0014907591240395,0.0,0.0040525906985693,-0.0001039865076396,-0.0785454545454555,0.9902359641985352,1.1793415479399303,0.2419480519480517,0.0,0.0,0.0,0,0.0,-0.022077922077922,0.0,r05_or_r04_reference,False,False
train,R03_relaxed_fast_fail,relaxed_fast_fail,R03_original_H10,diagnostic,0.0016776129962763,0.0,0.0026947702231088,-0.0001183711319214,-0.0882661996497375,0.9889380530973452,1.1581522429787774,0.2179509632224168,0.0054054054054054,0.0054054054054054,0.0,1,0.0,-0.0148861646234676,0.0017513134851138,r05_or_r04_reference,False,False
validation,R03_relaxed_fast_fail,relaxed_fast_fail,R03_original_H10,diagnostic,0.0013720917501917,0.0,0.003986428767126,2.5948874806692827e-05,-0.0568421052631578,0.992822966507177,1.1393255407765686,0.194924812030075,0.0,0.0,0.0,0,0.0,-0.0131578947368421,0.0,r05_or_r04_reference,False,False
robustness,R03_winner_state_hold_H120,winner_state_base,R03_original_H10,primary,0.0086593144195281,0.0,0.0121408594466652,-0.0005483078273049,0.0,1.0,1.8240277242972656,1.1116883116883114,0.0629921259842519,0.0629921259842519,0.0,8,0.0818181818181818,0.0077922077922077,0.0,r05_or_r04_reference,True,False
train,R03_winner_state_hold_H120,winner_state_base,R03_original_H10,primary,0.0005344743625645,0.0,-0.0147699524548763,-0.0012878081900966,0.0,1.0,1.8520777735417464,1.1742556917688267,0.0378378378378378,0.0378378378378378,0.0,7,0.0936952714535901,0.0122591943957968,0.0035026269702276,r05_or_r04_reference,True,False
validation,R03_winner_state_hold_H120,winner_state_base,R03_original_H10,primary,-0.0012509596731373,0.0,-0.0059105344804401,-0.0012195534454121,0.0,1.0,1.9337632674996643,1.306390977443609,0.0232558139534883,0.0232558139534883,0.0,1,0.0695488721804511,0.0131578947368421,0.0,r05_or_r04_reference,True,False
robustness,winner_state_gain_threshold_sensitivity,gain_10,R03_original_H10,diagnostic,0.0069439156381071,0.0,0.0125704364382905,-0.0004694359302812,0.0,1.0,1.7893723527146703,1.0649350649350648,0.0551181102362204,0.0551181102362204,0.0,7,0.0909090909090909,0.0064935064935064,0.0,r05_or_r04_reference,False,False
train,winner_state_gain_threshold_sensitivity,gain_10,R03_original_H10,diagnostic,0.0004557242565306,0.0,-0.0124115084925136,-0.001096751582847,0.0,1.0,1.8190367263947131,1.1287215411558669,0.0378378378378378,0.0378378378378378,0.0,7,0.1007005253940455,0.009632224168126,0.0035026269702276,r05_or_r04_reference,False,False
validation,winner_state_gain_threshold_sensitivity,gain_10,R03_original_H10,diagnostic,-0.000856709447405,0.0,-0.0038162745131593,-0.0009145362861502,0.0,1.0,1.8759908638989653,1.2255639097744362,0.0232558139534883,0.0232558139534883,0.0,1,0.0864661654135338,0.0093984962406015,0.0,r05_or_r04_reference,False,False
robustness,winner_state_gain_threshold_sensitivity,gain_15,R03_original_H10,diagnostic,0.0086198826744291,0.0,0.0121408594466652,-0.0006981347315854,0.0,1.0,1.873122834039276,1.177922077922078,0.0629921259842519,0.0629921259842519,0.0,8,0.0649350649350649,0.009090909090909,0.0,r05_or_r04_reference,False,False
train,winner_state_gain_threshold_sensitivity,gain_15,R03_original_H10,diagnostic,0.0007121948105247,0.0,-0.0114473779741853,-0.0014583314155444,0.0,1.0,1.8844834159359511,1.2189141856392296,0.0378378378378378,0.0378378378378378,0.0,7,0.0814360770577933,0.0148861646234676,0.0035026269702276,r05_or_r04_reference,False,False
validation,winner_state_gain_threshold_sensitivity,gain_15,R03_original_H10,diagnostic,-0.0012266264365124,0.0,-0.0067361370745232,-0.0012637977675476,0.0,1.0,1.9512293430068524,1.3308270676691734,0.0232558139534883,0.0232558139534883,0.0,1,0.0526315789473684,0.0150375939849624,0.0,r05_or_r04_reference,False,False
robustness,winner_state_gain_threshold_sensitivity,gain_20,R03_original_H10,diagnostic,0.0086159054679675,0.0,0.0121408594466652,-0.0008012609703619,0.0,1.0,1.8981517135155943,1.2116883116883117,0.0629921259842519,0.0629921259842519,0.0,8,0.048051948051948,0.0116883116883116,0.0,r05_or_r04_reference,False,False
train,winner_state_gain_threshold_sensitivity,gain_20,R03_original_H10,diagnostic,0.0006128382729041,0.0,-0.0113605823809002,-0.0015979663323541,0.0,1.0,1.911170415554708,1.2556917688266198,0.0378378378378378,0.0378378378378378,0.0,7,0.0577933450087565,0.0166374781085814,0.0035026269702276,r05_or_r04_reference,False,False
validation,winner_state_gain_threshold_sensitivity,gain_20,R03_original_H10,diagnostic,-0.0012369005544131,0.0,-0.0067361370745232,-0.0012637977675476,0.0,1.0,1.9552599758162037,1.336466165413534,0.0232558139534883,0.0232558139534883,0.0,1,0.0300751879699248,0.0150375939849624,0.0,r05_or_r04_reference,False,False
robustness,winner_state_trailing_sensitivity,trailing_10,R03_original_H10,diagnostic,0.0076576784226843,0.0,0.0121408594466652,-0.0005474693848755,0.0,1.0,1.732576049287639,0.9883116883116878,0.0551181102362204,0.0551181102362204,0.0,7,0.0818181818181818,0.0077922077922077,0.0,r05_or_r04_reference,False,False
train,winner_state_trailing_sensitivity,trailing_10,R03_original_H10,diagnostic,0.0001542745078803,0.0,-0.0097325841104294,-0.0009728480069693,0.0,1.0,1.695132799593341,0.957968476357268,0.0378378378378378,0.0378378378378378,0.0,7,0.0936952714535901,0.0113835376532399,0.0017513134851138,r05_or_r04_reference,False,False
validation,winner_state_trailing_sensitivity,trailing_10,R03_original_H10,diagnostic,-0.0009416092390611,0.0,-0.0059105344804401,-0.0011696295410419,0.0,1.0,1.900174660755072,1.2593984962406015,0.0232558139534883,0.0232558139534883,0.0,1,0.0695488721804511,0.0131578947368421,0.0,r05_or_r04_reference,False,False
robustness,winner_state_trailing_sensitivity,trailing_20,R03_original_H10,diagnostic,0.0091412995261987,0.0,0.0121408594466652,-0.0005474693848755,0.0,1.0,1.878898729303042,1.1857142857142855,0.0629921259842519,0.0629921259842519,0.0,8,0.0818181818181818,0.0077922077922077,0.0,r05_or_r04_reference,False,False
train,winner_state_trailing_sensitivity,trailing_20,R03_original_H10,diagnostic,0.0003761484896218,0.0,-0.0147699524548763,-0.0012941416785389,0.0,1.0,1.8685982971152624,1.1970227670753064,0.0378378378378378,0.0378378378378378,0.0,7,0.0936952714535901,0.0122591943957968,0.0035026269702276,r05_or_r04_reference,False,False
validation,winner_state_trailing_sensitivity,trailing_20,R03_original_H10,diagnostic,-0.0012635542736937,0.0,-0.0059105344804401,-0.0012046956997968,0.0,1.0,1.936450356039232,1.3101503759398498,0.0232558139534883,0.0232558139534883,0.0,1,0.0695488721804511,0.0131578947368421,0.0,r05_or_r04_reference,False,False
