policy_id,split,blocked_exit_count,blocked_exit_retry_count,terminal_blocked_exit_count
R03_original_H10_replay,robustness,0,0,0
R03_original_H10_replay,train,0,0,0
R03_original_H10_replay,validation,0,0,0
R04_R03_confirmed_H20_replay_diagnostic,robustness,0,0,0
R04_R03_confirmed_H20_replay_diagnostic,train,4,7,0
R04_R03_confirmed_H20_replay_diagnostic,validation,0,0,0
R04_R03_winner_state_hold_H120_replay_diagnostic,robustness,0,0,0
R04_R03_winner_state_hold_H120_replay_diagnostic,train,4,8,0
R04_R03_winner_state_hold_H120_replay_diagnostic,validation,0,0,0
partial_exit_after_profit_rule,robustness,2,11,1
partial_exit_after_profit_rule,train,7,16,0
partial_exit_after_profit_rule,validation,0,0,0
profit_lock_rule_simple,robustness,1,6,1
profit_lock_rule_simple,train,8,22,1
profit_lock_rule_simple,validation,0,0,0
trailing_stop_rule_simple,robustness,2,11,1
trailing_stop_rule_simple,train,7,16,0
trailing_stop_rule_simple,validation,0,0,0
