split,anchor_family_id,baseline_id,horizon_id,event_count,anchor_trigger_count,anchor_trigger_rate_per_launch_episode,unique_instrument_count,unique_instrument_year_count,mean_after_cost_return_H20,median_after_cost_return_H20,p05_after_cost_return_H20,max_adverse_excursion_mean_H20,winner_capture_rate_50h120,winner_capture_rate_100h240,instrument_year_positive_rate,top1_instrument_year_pnl_share,top5_instrument_exposure_share,failure_lookalike_rate,mean_after_cost_return_H10,median_after_cost_return_H10,p05_after_cost_return_H10,max_adverse_excursion_mean_H10,mean_after_cost_return_H60,median_after_cost_return_H60,p05_after_cost_return_H60,max_adverse_excursion_mean_H60
train,pullback_hold_restrengthen,anchor,H20,181,181.0,0.1569817866435386,108,149,0.0015399896763484825,-0.0003048744689258991,-0.18104892191420396,-0.09418357406638014,0.16574585635359115,0.09944751381215469,0.48322147651006714,0.04671270876548824,0.12154696132596685,0.788056206088993,,,,,,,,
train,pullback_hold_restrengthen,matched_delay_baseline,H20,180,,,108,148,-0.0004694834707515841,-0.03179720727136169,-0.1895614302069979,-0.09137094605804691,0.18888888888888888,0.1111111111111111,0.39864864864864863,0.10513590330084546,0.12222222222222222,,,,,,,,,
train,pullback_hold_restrengthen,failed_lookalike_baseline,H20,565,,,195,404,-0.0020783999543824597,-0.01833681120682572,-0.17655905460744387,-0.08974322046798941,0.19646017699115045,0.11327433628318584,0.3910891089108911,0.03654569595015848,0.06725663716814159,,,,,,,,,
train,second_breakout,anchor,H20,184,184.0,0.1595836947094536,116,158,-0.004919795568284329,-0.015181848606012505,-0.22198285104066737,-0.10141518293549771,0.22282608695652173,0.10326086956521739,0.4240506329113924,0.08016826987424333,0.09782608695652174,0.7352517985611511,,,,,,,,
train,second_breakout,matched_delay_baseline,H20,182,,,116,155,-0.0024939220802841023,-0.018724482981114943,-0.18373146744082824,-0.09918785699979707,0.22527472527472528,0.10989010989010989,0.44516129032258067,0.09184346856840613,0.09340659340659341,,,,,,,,,
train,second_breakout,failed_lookalike_baseline,H20,451,,,186,343,0.0022516797726598284,-0.01582865104116814,-0.18144587276293822,-0.0901362158956535,0.2017738359201774,0.12195121951219512,0.42565597667638483,0.05009298381443533,0.07317073170731707,,,,,,,,,
validation,pullback_hold_restrengthen,anchor,H20,77,77.0,0.14365671641791045,67,70,-0.05870214803790808,-0.08272999025401184,-0.20496350996596163,-0.12093882219466298,0.025974025974025976,0.0,0.21428571428571427,0.2055002536950017,0.12987012987012986,0.7830985915492957,,,,,,,,
validation,pullback_hold_restrengthen,matched_delay_baseline,H20,73,,,64,66,-0.03651742163653377,-0.033271694817406425,-0.18971767017865132,-0.10338980109283674,0.0136986301369863,0.0,0.3484848484848485,0.18691648747037634,0.136986301369863,,,,,,,,,
validation,pullback_hold_restrengthen,failed_lookalike_baseline,H20,235,,,158,196,-0.03506988169489453,-0.045246611773473104,-0.19112742400344623,-0.09394641332498367,0.05531914893617021,0.00425531914893617,0.27040816326530615,0.10573469989090001,0.06382978723404255,,,,,,,,,
validation,second_breakout,anchor,H20,64,64.0,0.11940298507462686,58,62,-0.02090439038466634,-0.04576831573765893,-0.17674131315596203,-0.09893781692768835,0.125,0.015625,0.3548387096774194,0.17667182636981177,0.15625,0.7575757575757576,,,,,,,,
validation,second_breakout,matched_delay_baseline,H20,63,,,57,61,-0.012152441704298966,-0.046175905586243175,-0.1359813020982339,-0.09570967078617286,0.06349206349206349,0.015873015873015872,0.32786885245901637,0.21351043119870677,0.15873015873015872,,,,,,,,,
validation,second_breakout,failed_lookalike_baseline,H20,171,,,129,146,-0.03821681219224306,-0.05053489971006086,-0.1904046001610865,-0.09849460620138431,0.05847953216374269,0.011695906432748537,0.2808219178082192,0.13233771999407032,0.08771929824561403,,,,,,,,,
robustness,pullback_hold_restrengthen,anchor,H20,57,57.0,0.07354838709677419,47,49,-0.004487058414640625,-0.030125729513607247,-0.13260778686580202,-0.0787890754350221,0.12280701754385964,0.03508771929824561,0.3877551020408163,0.1336484732963087,0.19298245614035087,0.8814968814968815,,,,,,,,
robustness,pullback_hold_restrengthen,matched_delay_baseline,H20,57,,,47,50,-0.02057202199437348,-0.03984003950464842,-0.1273795291501696,-0.083948130085986,0.10526315789473684,0.03508771929824561,0.32,0.2758527451255992,0.19298245614035087,,,,,,,,,
robustness,pullback_hold_restrengthen,failed_lookalike_baseline,H20,246,,,168,184,-0.016199563750368004,-0.030501164003107973,-0.13596421670088973,-0.07863204507930333,0.08130081300813008,0.036585365853658534,0.3423913043478261,0.0608811427231696,0.06504065040650407,,,,,,,,,
robustness,second_breakout,anchor,H20,58,58.0,0.07483870967741936,54,56,-0.0071833306601035325,-0.0365224152877565,-0.15482961403313195,-0.09461266456321604,0.06896551724137931,0.017241379310344827,0.42857142857142855,0.11783475455908765,0.15517241379310345,0.8419618528610354,,,,,,,,
robustness,second_breakout,matched_delay_baseline,H20,57,,,54,55,-0.002151255846180645,-0.0306721126942887,-0.11131782810209934,-0.06790481797697713,0.03508771929824561,0.017543859649122806,0.34545454545454546,0.2799769482513201,0.14035087719298245,,,,,,,,,
robustness,second_breakout,failed_lookalike_baseline,H20,171,,,131,140,-0.0021160720279435976,-0.01995881383518582,-0.15698523827269734,-0.07907135295504905,0.06432748538011696,0.029239766081871343,0.42857142857142855,0.08605564883790583,0.08771929824561403,,,,,,,,,
