anchor_family_id,gate_name,gate_value,threshold,comparison,gate_passed,failure_status_if_failed
pullback_hold_restrengthen,lifecycle_anchor_recall,0.34459459459459457,0.3,>=,True,
pullback_hold_restrengthen,validation_trigger_budget,0.14365671641791045,0.2..1.5,range,False,failed_trigger_budget
pullback_hold_restrengthen,validation_unique_instrument_year_count,70.0,25,>=,True,
pullback_hold_restrengthen,validation_h20_mean_diff_vs_matched_delay,-0.02218472640137431,0.0,>,False,failed_forward_lift
pullback_hold_restrengthen,validation_h20_p05_diff_vs_matched_delay,-0.015245839787310311,-0.003,>=,False,failed_tail_risk
pullback_hold_restrengthen,validation_h20_mae_worsening_vs_matched_delay,0.01754902110182624,0.005,<=,False,failed_tail_risk
pullback_hold_restrengthen,validation_instrument_year_positive_rate_diff,-0.13419913419913423,0.0,>=,False,failed_forward_lift
pullback_hold_restrengthen,validation_top1_instrument_year_pnl_share,0.2055002536950017,0.2,<=,False,failed_concentration
pullback_hold_restrengthen,validation_top5_instrument_exposure_share,0.12987012987012986,0.5,<=,True,
pullback_hold_restrengthen,failure_lookalike_rate_vs_matched_delay,0.0,0.0,<=,True,
pullback_hold_restrengthen,robustness_mean_diff_vs_matched_delay,0.016084963579732853,-0.001,>=,True,
pullback_hold_restrengthen,robustness_p05_diff_vs_matched_delay,-0.005228257715632428,-0.005,>=,False,failed_robustness
pullback_hold_restrengthen,robustness_trigger_budget,0.07354838709677419,0.2..1.5,range,False,failed_robustness
pullback_hold_restrengthen,robustness_top1_instrument_year_pnl_share,0.1336484732963087,0.25,<=,True,
pullback_hold_restrengthen,robustness_top5_instrument_exposure_share,0.19298245614035087,0.55,<=,True,
second_breakout,lifecycle_anchor_recall,0.46114864864864863,0.3,>=,True,
second_breakout,validation_trigger_budget,0.11940298507462686,0.2..1.5,range,False,failed_trigger_budget
second_breakout,validation_unique_instrument_year_count,62.0,25,>=,True,
second_breakout,validation_h20_mean_diff_vs_matched_delay,-0.008751948680367373,0.0,>,False,failed_forward_lift
second_breakout,validation_h20_p05_diff_vs_matched_delay,-0.04076001105772814,-0.003,>=,False,failed_tail_risk
second_breakout,validation_h20_mae_worsening_vs_matched_delay,0.003228146141515495,0.005,<=,True,
second_breakout,validation_instrument_year_positive_rate_diff,0.026969857218403004,0.0,>=,True,
second_breakout,validation_top1_instrument_year_pnl_share,0.17667182636981177,0.2,<=,True,
second_breakout,validation_top5_instrument_exposure_share,0.15625,0.5,<=,True,
second_breakout,failure_lookalike_rate_vs_matched_delay,0.0,0.0,<=,True,
second_breakout,robustness_mean_diff_vs_matched_delay,-0.0050320748139228875,-0.001,>=,False,failed_robustness
second_breakout,robustness_p05_diff_vs_matched_delay,-0.04351178593103261,-0.005,>=,False,failed_robustness
second_breakout,robustness_trigger_budget,0.07483870967741936,0.2..1.5,range,False,failed_robustness
second_breakout,robustness_top1_instrument_year_pnl_share,0.11783475455908765,0.25,<=,True,
second_breakout,robustness_top5_instrument_exposure_share,0.15517241379310345,0.55,<=,True,
