winner_episode_id,instrument,winner_label_id,split,lifecycle_stage_id,retrospective_stage_date,observable_signal_date,observable_anchor_candidate,days_to_first_50pct_target,days_from_observable_start,stage_extraction_rule_id,stage_extraction_rule_hash,winner_start_anchor_status,anchor_family_id,anchor_window_measure,eligible_for_primary_gate
EP3_WINNER_91cfb1c7ad3a,SH600000,winner_50h120,robustness,first_acceleration,2024-04-30,2024-04-30,False,104.0,0,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,,,True
EP3_WINNER_91cfb1c7ad3a,SH600000,winner_50h120,robustness,confirmation_anchor,2024-05-20,2024-05-20,True,93.0,11,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,second_breakout,11.0,True
EP3_WINNER_91cfb1c7ad3a,SH600000,winner_50h120,robustness,failure_lookalike,2024-05-10,2024-05-10,False,104.0,0,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,failed_lookalike_avoidance,5.0,True
EP3_WINNER_a0e2b53592da,SH600000,winner_50h120,robustness,first_acceleration,,,False,,0,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,no_observable_launch_like_acceleration,,,True
EP3_WINNER_55b870bde613,SH600009,winner_50h120,train,first_acceleration,2019-02-25,2019-02-25,False,28.0,0,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,,,True
EP3_WINNER_55b870bde613,SH600009,winner_50h120,train,confirmation_anchor,2019-03-22,2019-03-22,True,9.0,19,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,pullback_hold_restrengthen,19.0,True
EP3_WINNER_55b870bde613,SH600009,winner_50h120,train,failure_lookalike,2019-02-27,2019-02-27,False,28.0,0,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,failed_lookalike_avoidance,2.0,True
EP3_WINNER_20fc6b045cfb,SH600010,winner_50h120,train,first_acceleration,2020-09-09,2020-09-09,False,112.0,0,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,,,True
EP3_WINNER_20fc6b045cfb,SH600010,winner_50h120,train,failure_lookalike,2020-11-09,2020-11-09,False,112.0,0,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,failed_lookalike_avoidance,37.0,True
EP3_WINNER_f1329d7ea10b,SH600010,winner_50h120,validation,first_acceleration,2022-06-24,2022-06-24,False,0.0,0,ep3_p0_v1,3f52d086b6a2efb5c77c5a55c5e055ff79a9de90899b1f49438cb331fec9e176,found,,,True
