freeze_id,freeze_type,lookalike_source_family,diagnostic_axis,bin_edges,train_source_row_count,train_source_instrument_year_count,freeze_status,parameter_hash,row_hash
DF_FREEZE_2bb2f9752a65,failure_margin_quantile,A-like,failure_margin_bucket,"[-Infinity, -0.28340831736586103, -0.09768133727467873, -0.033333348916247285, Infinity]",14409,0,derived,ff6112abc1dd182e2d85e609274a0a41f5a56874019febc51a6f510ee5bdc994,c50a58cc167b682e4867cd1c1e041b9fa8b23a8617764e740320c46b1ccd2b95
DF_FREEZE_ac4c24140118,reference_age_days,A-like,reference_age_days,"[0, 5, 10, 20, 40, 60]",14409,0,derived,563fb67408a37fc19c6a2cfbb1d6c18a358e6706d3bdf3344170226a8ff375c0,5f3f6604790ed4c3792a404e37a958ba6dfbbb8807d419dcc84ee34bbfefcf38
DF_FREEZE_64b3f184cbce,train_median_recovery_delay_days,A-like,recovery_delay_days,[10.0],20,0,derived,1a8b14122c1cd0573777ca590a02de5094c7af04bf80bea99c890857e2c2208a,a90d6e0fc5b16c7d3225fa8802834f4877e4f03022af0ce5a7189a3b1a429df4
DF_FREEZE_495aaa70c17a,failure_margin_quantile,C-like,failure_margin_bucket,"[-Infinity, -0.2970555604220766, -0.10380335999360607, -0.040191264020056794, Infinity]",2802,0,derived,bea2aa2d0810b188c684712a1b9f253f38dbcc83b331484b1ef341791b17e27a,fdffb1bebda5e7eb6477e23aa95412ccc7a167af767a06b07fee4abaec3f62a3
DF_FREEZE_6836972e317f,reference_age_days,C-like,reference_age_days,"[0, 5, 10, 20, 40, 60]",2802,0,derived,b8cfb2ef0a9cafd66f76324778d6f35b62ecac385afb44ed0108896aba7fc8c4,3b8d7fe2411174e8e63bf596a5f4045cbe892a4b8994ff9fba642a0071a7a519
DF_FREEZE_43494e9992ab,train_median_recovery_delay_days,C-like,recovery_delay_days,[3.0],233,0,derived,344378b3cc7e75080a962c3dd22fecc6d692f5efebb93cd8bddec8208fd32177,5c2604e681c628f290b7941b40d4a754174d01a8b43e766ba7be7a9744eeea23
DF_FREEZE_5053e231a26a,money_bucket_copy_from_p0,all,money_bucket,"[NaN, 202797808.0]",0,0,copied_from_p0,fe29aa4936f1b3486cdfbccb838b96a7b8d5d87c964b4d0d54bd41de19a11bfb,029357b8d3e42ae37adf4b4d88f908c0200479f480c4d75780467da1c8d2aeec
DF_FREEZE_62929e96e17b,money_bucket_copy_from_p0,all,money_bucket,"[202797808.0, 395612313.6]",0,0,copied_from_p0,81c100135b897f49dee75ead605428bf2a07ca58f1fe70691759cb4a94d751d3,92b9b9b42801d06043704a8f6ba1bf96406712b4e20a207b8dffa1a5e93dbdc2
DF_FREEZE_4497d4dc0497,money_bucket_copy_from_p0,all,money_bucket,"[395612313.6, 703307571.1999999]",0,0,copied_from_p0,58669b8b72e60edcef2464133eb9610b3cc8de07dc945f6e97c04f082a859dc8,44a888cd164df954ef42bed68eb7e541f50bcd01ccc566c7bec422a11b6b05c4
DF_FREEZE_4a310a290e0d,money_bucket_copy_from_p0,all,money_bucket,"[703307571.1999999, 1409583001.6000004]",0,0,copied_from_p0,cbc4acc80bdd51daa068e18bf1af5cfc2a9a30eb1835d7bab8010d8d16890e83,f9af2ca2f903c8be490be35ec9ab9fb9e879e2ae84c98ac80e9de5f92572c88e
