split,anchor_family_id,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,diagnostic_bucket_source,baseline_id,anchor_event_count,baseline_event_count,unique_instrument_year_count,anchor_mean_after_cost_return_H20,baseline_mean_after_cost_return_H20,mean_diff_vs_baseline,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_instrument_year_positive_rate,baseline_instrument_year_positive_rate,interpretation_status
train,pullback_hold_restrengthen,all,all,not_applicable,linked_anchor,matched_delay_baseline,179,179,147,0.0014689442094877562,-0.0004694834707515841,0.0019384276802393403,-0.18310034165443245,-0.1895614302069979,0.006461088552565442,0.48299319727891155,0.39864864864864863,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,0.139535_0.372093,P05_PART_b0ed159c4c63,linked_anchor,matched_delay_baseline,43,43,42,0.0008565049226498514,0.0029337002728025406,-0.0020771953501526894,-0.17649893199484049,-0.16247467494991946,-0.014024257044921024,0.5476190476190477,0.40476190476190477,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,0.372093_0.627907,P05_PART_a9a24906fcf7,linked_anchor,matched_delay_baseline,46,46,44,-0.010563484442566025,-0.0246158504061477,0.014052365963581675,-0.23247749605475576,-0.1916674122137976,-0.04081008384095816,0.4090909090909091,0.3111111111111111,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,ge_0.627907,P05_PART_c6515f897e07,linked_anchor,matched_delay_baseline,47,47,43,0.0050614073975969315,0.021857300886403738,-0.016795893488806807,-0.14910043473882245,-0.14032257698509798,-0.008777857753724472,0.5116279069767442,0.4883720930232558,interpretable
train,pullback_hold_restrengthen,anchor_window_position_bucket,lt_0.139535,P05_PART_3389866e685a,linked_anchor,matched_delay_baseline,43,43,41,0.01102663810454293,-0.0024453645575168454,0.013472002662059775,-0.20080603448363368,-0.1896868908050532,-0.011119143678580495,0.4878048780487805,0.4146341463414634,interpretable
train,pullback_hold_restrengthen,reference_age_bucket,0_5,P05_PART_64df811e6d73,linked_anchor,matched_delay_baseline,5,5,5,0.09756342747501175,0.08183905950666799,0.015724367968343755,-0.11652023847038599,-0.11268724692273574,-0.0038329915476502524,0.6,0.6,too_sparse
train,pullback_hold_restrengthen,reference_age_bucket,10_20,P05_PART_8c8ff8202cff,linked_anchor,matched_delay_baseline,40,40,39,0.002704716622287492,0.006724204131201075,-0.0040194875089135836,-0.17951658900278497,-0.16520117118983843,-0.01431541781294654,0.5384615384615384,0.4358974358974359,interpretable
train,pullback_hold_restrengthen,reference_age_bucket,20_40,P05_PART_4b5d754918f1,linked_anchor,matched_delay_baseline,73,73,68,0.0019452669440369972,-0.010446314237532332,0.01239158118156933,-0.21805078691023125,-0.1859153916001528,-0.032135395310078446,0.4852941176470588,0.391304347826087,interpretable
train,pullback_hold_restrengthen,reference_age_bucket,40_60,P05_PART_c0d118e3f8d7,linked_anchor,matched_delay_baseline,16,16,15,-0.02532803605652894,0.023060552896888905,-0.04838858895341784,-0.1314554936341257,-0.08930142536148761,-0.042154068272638096,0.4,0.3333333333333333,too_sparse
train,pullback_hold_restrengthen,reference_age_bucket,5_10,P05_PART_dcad40adc80e,linked_anchor,matched_delay_baseline,45,45,43,-0.0015515710839664012,-0.008190864690139528,0.0066392936061731266,-0.19711329904017066,-0.1896712082302963,-0.007442090809874374,0.46511627906976744,0.4186046511627907,interpretable
