split,state_family_id,state_variant_id,action,horizon_id,mae_mean,mae_improvement_vs_no_action,drawdown_avoided_mean
robustness,trend_hold_state,trend_hold_ema20_3d,no_action,H5,0.03113553073230345,0.0,0.0
robustness,trend_hold_state,trend_hold_ema20_3d,no_action,H10,0.03852996218780091,0.0,0.0
robustness,trend_hold_state,trend_hold_ema20_3d,no_action,H20,0.04403667924843886,0.0,0.0
robustness,trend_hold_state,trend_hold_ema20_3d,no_action,H60,0.06444573362277685,0.0,0.0
robustness,trend_hold_state,trend_hold_ema20_3d,continue,H5,0.03113553073230345,-0.0006558445682355758,-0.0006558445682355758
robustness,trend_hold_state,trend_hold_ema20_3d,continue,H10,0.03852996218780091,-0.00085277035633953,-0.00085277035633953
robustness,trend_hold_state,trend_hold_ema20_3d,continue,H20,0.04403667924843886,-0.0009453586458312568,-0.0009453586458312568
robustness,trend_hold_state,trend_hold_ema20_3d,continue,H60,0.06444573362277685,-0.0007775052208732064,-0.0007775052208732064
robustness,trend_hold_state,trend_hold_ema20_3d,exit,H5,0.0,0.03113553073230345,0.03113553073230345
robustness,trend_hold_state,trend_hold_ema20_3d,exit,H10,0.0,0.03852996218780091,0.03852996218780091
robustness,trend_hold_state,trend_hold_ema20_3d,exit,H20,0.0,0.04403667924843886,0.04403667924843886
robustness,trend_hold_state,trend_hold_ema20_3d,exit,H60,0.0,0.06444573362277685,0.06444573362277685
robustness,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_50,H5,0.01733810061003046,0.01379743012227299,0.01379743012227299
robustness,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_50,H10,0.02140840252169426,0.017121559666106647,0.017121559666106647
robustness,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_50,H20,0.02462862380427461,0.01940805544416425,0.01940805544416425
robustness,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_50,H60,0.036510351568327125,0.027935382054449724,0.027935382054449724
robustness,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_30,H5,0.011819128561121262,0.019316402171182186,0.019316402171182186
robustness,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_30,H10,0.014559778655251604,0.023970183532549302,0.023970183532549302
robustness,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_30,H20,0.016865401626608913,0.02717127762182995,0.02717127762182995
robustness,trend_hold_state,trend_hold_ema20_3d,reduce_to_0_30,H60,0.025336198746547238,0.03910953487622961,0.03910953487622961
robustness,volume_support_state,volume_support_money20_floor,no_action,H5,0.031827753840872455,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,no_action,H10,0.03939646975476551,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,no_action,H20,0.045131808443844325,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,no_action,H60,0.06588523404887166,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,continue,H5,0.031827753840872455,-0.0013480676768045825,-0.0013480676768045825
robustness,volume_support_state,volume_support_money20_floor,continue,H10,0.03939646975476551,-0.0017192779233041328,-0.0017192779233041328
robustness,volume_support_state,volume_support_money20_floor,continue,H20,0.045131808443844325,-0.0020404878412367197,-0.0020404878412367197
robustness,volume_support_state,volume_support_money20_floor,continue,H60,0.06588523404887166,-0.002217005646968015,-0.002217005646968015
robustness,volume_support_state,volume_support_money20_floor,exit,H5,0.0,0.031827753840872455,0.031827753840872455
robustness,volume_support_state,volume_support_money20_floor,exit,H10,0.0,0.03939646975476551,0.03939646975476551
robustness,volume_support_state,volume_support_money20_floor,exit,H20,0.0,0.045131808443844325,0.045131808443844325
robustness,volume_support_state,volume_support_money20_floor,exit,H60,0.0,0.06588523404887166,0.06588523404887166
robustness,volume_support_state,volume_support_money20_floor,reduce_to_0_50,H5,0.017674417898922504,0.014153335941949952,0.014153335941949952
robustness,volume_support_state,volume_support_money20_floor,reduce_to_0_50,H10,0.021831681023991602,0.017564788730773908,0.017564788730773908
robustness,volume_support_state,volume_support_money20_floor,reduce_to_0_50,H20,0.0251692090330118,0.019962599410832525,0.019962599410832525
robustness,volume_support_state,volume_support_money20_floor,reduce_to_0_50,H60,0.03711984187582655,0.028765392173045107,0.028765392173045107
robustness,volume_support_state,volume_support_money20_floor,reduce_to_0_30,H5,0.012013083522142524,0.01981467031872993,0.01981467031872993
robustness,volume_support_state,volume_support_money20_floor,reduce_to_0_30,H10,0.014805765531682039,0.024590704223083473,0.024590704223083473
robustness,volume_support_state,volume_support_money20_floor,reduce_to_0_30,H20,0.01718416926867879,0.027947639175165535,0.027947639175165535
robustness,volume_support_state,volume_support_money20_floor,reduce_to_0_30,H60,0.025613685006608516,0.04027154904226314,0.04027154904226314
robustness,relative_strength_hold_state,relative_strength_hold_20d,no_action,H5,0.036143488091812045,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,no_action,H10,0.04490733643849801,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,no_action,H20,0.050104355451425456,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,no_action,H60,0.07510548991165555,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,continue,H5,0.036143488091812045,-0.005663801927744173,-0.005663801927744173
robustness,relative_strength_hold_state,relative_strength_hold_20d,continue,H10,0.04490733643849801,-0.00723014460703663,-0.00723014460703663
robustness,relative_strength_hold_state,relative_strength_hold_20d,continue,H20,0.050104355451425456,-0.007013034848817851,-0.007013034848817851
robustness,relative_strength_hold_state,relative_strength_hold_20d,continue,H60,0.07510548991165555,-0.011437261509751911,-0.011437261509751911
robustness,relative_strength_hold_state,relative_strength_hold_20d,exit,H5,0.0,0.036143488091812045,0.036143488091812045
robustness,relative_strength_hold_state,relative_strength_hold_20d,exit,H10,0.0,0.04490733643849801,0.04490733643849801
robustness,relative_strength_hold_state,relative_strength_hold_20d,exit,H20,0.0,0.050104355451425456,0.050104355451425456
robustness,relative_strength_hold_state,relative_strength_hold_20d,exit,H60,0.0,0.07510548991165555,0.07510548991165555
robustness,relative_strength_hold_state,relative_strength_hold_20d,reduce_to_0_50,H5,0.019561567353087006,0.01658192073872504,0.01658192073872504
robustness,relative_strength_hold_state,relative_strength_hold_20d,reduce_to_0_50,H10,0.024171164106595488,0.02073617233190252,0.02073617233190252
robustness,relative_strength_hold_state,relative_strength_hold_20d,reduce_to_0_50,H20,0.02698188462630213,0.023122470825123326,0.023122470825123326
robustness,relative_strength_hold_state,relative_strength_hold_20d,reduce_to_0_50,H60,0.04048719472874846,0.03461829518290709,0.03461829518290709
robustness,relative_strength_hold_state,relative_strength_hold_20d,reduce_to_0_30,H5,0.012928799057596991,0.023214689034215055,0.023214689034215055
robustness,relative_strength_hold_state,relative_strength_hold_20d,reduce_to_0_30,H10,0.015876695173834478,0.02903064126466353,0.02903064126466353
robustness,relative_strength_hold_state,relative_strength_hold_20d,reduce_to_0_30,H20,0.017732896296252798,0.03237145915517266,0.03237145915517266
robustness,relative_strength_hold_state,relative_strength_hold_20d,reduce_to_0_30,H60,0.02663987665558561,0.04846561325606995,0.04846561325606995
robustness,profit_buffer_state,profit_buffer_6pct,no_action,H5,0.046939231771327944,0.0,0.0
robustness,profit_buffer_state,profit_buffer_6pct,no_action,H10,0.05948536401723451,0.0,0.0
robustness,profit_buffer_state,profit_buffer_6pct,no_action,H20,0.06599157689807189,0.0,0.0
robustness,profit_buffer_state,profit_buffer_6pct,no_action,H60,0.08860540867542459,0.0,0.0
robustness,profit_buffer_state,profit_buffer_6pct,continue,H5,0.046939231771327944,-0.01645954560726007,-0.01645954560726007
robustness,profit_buffer_state,profit_buffer_6pct,continue,H10,0.05948536401723451,-0.021808172185773134,-0.021808172185773134
robustness,profit_buffer_state,profit_buffer_6pct,continue,H20,0.06599157689807189,-0.022900256295464286,-0.022900256295464286
robustness,profit_buffer_state,profit_buffer_6pct,continue,H60,0.08860540867542459,-0.024937180273520945,-0.024937180273520945
robustness,profit_buffer_state,profit_buffer_6pct,exit,H5,0.0,0.046939231771327944,0.046939231771327944
robustness,profit_buffer_state,profit_buffer_6pct,exit,H10,0.0,0.05948536401723451,0.05948536401723451
robustness,profit_buffer_state,profit_buffer_6pct,exit,H20,0.0,0.06599157689807189,0.06599157689807189
robustness,profit_buffer_state,profit_buffer_6pct,exit,H60,0.0,0.08860540867542459,0.08860540867542459
robustness,profit_buffer_state,profit_buffer_6pct,reduce_to_0_50,H5,0.026622111093737244,0.0203171206775907,0.0203171206775907
robustness,profit_buffer_state,profit_buffer_6pct,reduce_to_0_50,H10,0.03354864790528797,0.02593671611194654,0.02593671611194654
robustness,profit_buffer_state,profit_buffer_6pct,reduce_to_0_50,H20,0.03767396516094746,0.02831761173712443,0.02831761173712443
robustness,profit_buffer_state,profit_buffer_6pct,reduce_to_0_50,H60,0.05091399435410345,0.037691414321321136,0.037691414321321136
robustness,profit_buffer_state,profit_buffer_6pct,reduce_to_0_30,H5,0.018495262822700965,0.02844396894862698,0.02844396894862698
robustness,profit_buffer_state,profit_buffer_6pct,reduce_to_0_30,H10,0.023173961460509356,0.03631140255672516,0.03631140255672516
robustness,profit_buffer_state,profit_buffer_6pct,reduce_to_0_30,H20,0.026346920466097677,0.039644656431974214,0.039644656431974214
robustness,profit_buffer_state,profit_buffer_6pct,reduce_to_0_30,H60,0.035837428625575006,0.05276798004984958,0.05276798004984958
robustness,range_expansion_down_state,range_expansion_downside,no_action,H5,0.030493235148148924,0.0,0.0
robustness,range_expansion_down_state,range_expansion_downside,no_action,H10,0.0386177589042738,0.0,0.0
robustness,range_expansion_down_state,range_expansion_downside,no_action,H20,0.0424175819129683,0.0,0.0
robustness,range_expansion_down_state,range_expansion_downside,no_action,H60,0.06501509392581582,0.0,0.0
robustness,range_expansion_down_state,range_expansion_downside,continue,H5,0.030493235148148924,-1.3548984081051402e-05,-1.3548984081051402e-05
robustness,range_expansion_down_state,range_expansion_downside,continue,H10,0.0386177589042738,-0.0009405670728124191,-0.0009405670728124191
robustness,range_expansion_down_state,range_expansion_downside,continue,H20,0.0424175819129683,0.0006737386896393041,0.0006737386896393041
robustness,range_expansion_down_state,range_expansion_downside,continue,H60,0.06501509392581582,-0.0013468655239121802,-0.0013468655239121802
robustness,range_expansion_down_state,range_expansion_downside,exit,H5,0.0,0.030493235148148924,0.030493235148148924
robustness,range_expansion_down_state,range_expansion_downside,exit,H10,0.0,0.0386177589042738,0.0386177589042738
robustness,range_expansion_down_state,range_expansion_downside,exit,H20,0.0,0.0424175819129683,0.0424175819129683
robustness,range_expansion_down_state,range_expansion_downside,exit,H60,0.0,0.06501509392581582,0.06501509392581582
robustness,range_expansion_down_state,range_expansion_downside,reduce_to_0_50,H5,0.017816000859103714,0.01267723428904521,0.01267723428904521
robustness,range_expansion_down_state,range_expansion_downside,reduce_to_0_50,H10,0.02235580314339251,0.016261955760881287,0.016261955760881287
robustness,range_expansion_down_state,range_expansion_downside,reduce_to_0_50,H20,0.024550000401033324,0.017867581511934977,0.017867581511934977
robustness,range_expansion_down_state,range_expansion_downside,reduce_to_0_50,H60,0.038431125879486105,0.026583968046329717,0.026583968046329717
robustness,range_expansion_down_state,range_expansion_downside,reduce_to_0_30,H5,0.012745107143485625,0.0177481280046633,0.0177481280046633
robustness,range_expansion_down_state,range_expansion_downside,reduce_to_0_30,H10,0.01585102083904,0.022766738065233796,0.022766738065233796
robustness,range_expansion_down_state,range_expansion_downside,reduce_to_0_30,H20,0.01740296779625934,0.02501461411670896,0.02501461411670896
robustness,range_expansion_down_state,range_expansion_downside,reduce_to_0_30,H60,0.027797538660954205,0.03721755526486162,0.03721755526486162
robustness,profit_giveback_state,profit_giveback_10_6,no_action,H5,0.035270408775292174,0.0,0.0
robustness,profit_giveback_state,profit_giveback_10_6,no_action,H10,0.03919351882595127,0.0,0.0
robustness,profit_giveback_state,profit_giveback_10_6,no_action,H20,0.04313236441172475,0.0,0.0
robustness,profit_giveback_state,profit_giveback_10_6,no_action,H60,0.07308758964276776,0.0,0.0
robustness,profit_giveback_state,profit_giveback_10_6,continue,H5,0.035270408775292174,-0.004790722611224301,-0.004790722611224301
robustness,profit_giveback_state,profit_giveback_10_6,continue,H10,0.03919351882595127,-0.0015163269944898916,-0.0015163269944898916
robustness,profit_giveback_state,profit_giveback_10_6,continue,H20,0.04313236441172475,-4.1043809117145835e-05,-4.1043809117145835e-05
robustness,profit_giveback_state,profit_giveback_10_6,continue,H60,0.07308758964276776,-0.009419361240864121,-0.009419361240864121
robustness,profit_giveback_state,profit_giveback_10_6,exit,H5,0.0,0.035270408775292174,0.035270408775292174
robustness,profit_giveback_state,profit_giveback_10_6,exit,H10,0.0,0.03919351882595127,0.03919351882595127
robustness,profit_giveback_state,profit_giveback_10_6,exit,H20,0.0,0.04313236441172475,0.04313236441172475
robustness,profit_giveback_state,profit_giveback_10_6,exit,H60,0.0,0.07308758964276776,0.07308758964276776
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H5,0.020296224225906625,0.014974184549385549,0.014974184549385549
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H10,0.022482533580180486,0.016710985245770783,0.016710985245770783
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H20,0.025198107708895072,0.01793425670282968,0.01793425670282968
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_50,H60,0.04429721312078588,0.02879037652198188,0.02879037652198188
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H5,0.014306550406152406,0.02096385836913977,0.02096385836913977
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H10,0.015798139481872166,0.023395379344079103,0.023395379344079103
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H20,0.0180244050277632,0.025107959383961553,0.025107959383961553
robustness,profit_giveback_state,profit_giveback_10_6,reduce_to_0_30,H60,0.03278106251199313,0.040306527130774636,0.040306527130774636
robustness,range_compression_hold_state,range_compression_above_support,no_action,H5,0.02864195160659294,0.0,0.0
robustness,range_compression_hold_state,range_compression_above_support,no_action,H10,0.036348396077581176,0.0,0.0
robustness,range_compression_hold_state,range_compression_above_support,no_action,H20,0.04210190909422953,0.0,0.0
