split,baseline_id,baseline_role,metric_name,candidate_value,baseline_value,diff_value,random_replicate_stat,comparison,threshold,status
train,r01_v2_raw_seed_t1_open_bridge,audit,mean_return_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,-0.04930100963180446,-0.0160391448370943,-0.03326186479471016,not_random,,,report_only
train,r01_v2_raw_seed_t1_open_bridge,audit,p05_return_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,-0.6182811747913628,-0.627358066746889,0.00907689195552619,not_random,,,report_only
train,r01_v2_raw_seed_t1_open_bridge,audit,failed_seed_average_loss_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,0.23273949706347644,0.2334895962114665,-0.0007500991479900687,not_random,,,report_only
train,r01_v2_raw_seed_t1_open_bridge,audit,failed_seed_median_holding_days_diff_vs_r01_v2_raw_seed_t1_open_bridge,11.0,11.0,0.0,not_random,,,report_only
train,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,mean_return_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,-0.04930100963180446,0.028390755648657836,-0.0776917652804623,not_random,,,report_only
train,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,p05_return_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,-0.6182811747913628,-0.997478870664557,0.3791976958731942,not_random,,,report_only
train,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,0.23273949706347644,0.25281634112920826,-0.02007684406573182,not_random,,,report_only
train,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,11.0,22.0,-11.0,not_random,,,report_only
train,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,gate,mean_return_r_diff_vs_same_cooling_qualified_seed_t1_open_same_fail_fast_h20,-0.04930100963180446,0.015764187874713967,-0.06506519750651843,not_random,,,report_only
train,same_cooling_qualified_seed_t1_open_same_fail_fast_h20,gate,p05_return_r_diff_vs_same_cooling_qualified_seed_t1_open_same_fail_fast_h20,-0.6182811747913628,-0.5950853251587557,-0.023195849632607124,not_random,,,report_only
