split,delay_days,delay_period_return_bucket,candidate_row_count,matched_delay_ineligible_count,matched_delay_ineligible_rate,all_delay_ineligible_rate,top_quintile_ineligible_rate,matched_delay_reliability_status,audit_only_status
robustness,1,delay_return_q1,308,144,0.4675324675324675,0.2526595744680851,0.25,passed,report_only
robustness,1,delay_return_q2,308,118,0.38311688311688313,0.2526595744680851,0.25,passed,report_only
robustness,1,delay_return_q3,290,28,0.09655172413793103,0.2526595744680851,0.25,passed,report_only
robustness,1,delay_return_q4,286,12,0.04195804195804196,0.2526595744680851,0.25,passed,report_only
robustness,1,delay_return_q5,312,78,0.25,0.2526595744680851,0.25,passed,report_only
train,1,delay_return_q1,566,214,0.37809187279151946,0.17711267605633804,0.2080536912751678,passed,report_only
train,1,delay_return_q2,544,110,0.20220588235294118,0.17711267605633804,0.2080536912751678,passed,report_only
train,1,delay_return_q3,566,41,0.07243816254416961,0.17711267605633804,0.2080536912751678,passed,report_only
train,1,delay_return_q4,568,14,0.02464788732394366,0.17711267605633804,0.2080536912751678,passed,report_only
train,1,delay_return_q5,596,124,0.2080536912751678,0.17711267605633804,0.2080536912751678,passed,report_only
validation,1,delay_return_q1,272,114,0.41911764705882354,0.20057720057720058,0.17647058823529413,passed,report_only
validation,1,delay_return_q2,294,92,0.3129251700680272,0.20057720057720058,0.17647058823529413,passed,report_only
validation,1,delay_return_q3,290,24,0.08275862068965517,0.20057720057720058,0.17647058823529413,passed,report_only
validation,1,delay_return_q4,292,6,0.02054794520547945,0.20057720057720058,0.17647058823529413,passed,report_only
validation,1,delay_return_q5,238,42,0.17647058823529413,0.20057720057720058,0.17647058823529413,passed,report_only
