reference_event_id,instrument,split,reference_date,obs_day_count,max_ret_from_entry_first30,min_ret_from_entry_first30,day30_ret_from_entry,all_30_close_above_ma20,all_30_close_above_ma60,any_close_below_ma20,any_close_below_ma60,pct_days_close_above_ma20,pct_days_close_above_ma60,pct_days_ma_bull_stack,median_rsi14_first30,max_rsi14_first30,pct_days_rsi14_gt_70,max_volume_ratio_ma20_first30,median_volume_ratio_ma20_first30,pct_days_volume_ratio_gt_1_5,median_rps120_pct_first30,pct_days_rps120_gt_90,pct_days_above_boll_mid,pct_days_above_boll_upper,pct_days_below_boll_lower
big_winner_50h120_close_confirmed_SH600000_20240410_000001,SH600000,robustness,2024-04-10,30,0.1802067641992351,-0.014771034699306296,0.1802067641992351,False,True,True,False,0.9666666666666667,1.0,1.0,74.4400964195109,86.59708282095136,0.5666666666666667,2.7632225162941926,1.1520954286666614,0.13333333333333333,0.7026515151515151,0.0,0.9666666666666667,0.13333333333333333,0.0
big_winner_50h120_close_confirmed_SH600009_20181029_000002,SH600009,train,2018-10-29,30,0.2318978570986907,0.08637012945689304,0.12754385751121222,False,False,True,True,0.3333333333333333,0.0,0.0,45.82407855466272,55.56293942541457,0.0,1.8655732300802104,0.6607454408233495,0.1,0.8138386731101963,0.03333333333333333,0.3333333333333333,0.03333333333333333,0.0
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,30,0.11206896463132221,-0.017241363363798556,0.008620681681899223,False,False,True,True,0.4,0.4666666666666667,0.06666666666666667,47.88391706341896,76.04888869403558,0.03333333333333333,4.868783740523236,0.5807606729394688,0.1,0.2000007842399147,0.0,0.4,0.03333333333333333,0.0
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,30,0.11052627451201835,-0.19473684705855776,-0.17368417255105684,False,True,True,False,0.36666666666666664,1.0,0.7333333333333333,51.60490225898607,91.18133830788764,0.1,2.480626934848844,0.6547477286898058,0.13333333333333333,0.8544937819485771,0.26666666666666666,0.36666666666666664,0.06666666666666667,0.0
big_winner_50h120_close_confirmed_SH600010_20220426_000005,SH600010,validation,2022-04-26,30,0.22988511102015874,0.022988483697581552,0.22988511102015874,False,False,True,True,0.5333333333333333,0.16666666666666666,0.0,46.985547089713904,62.485678621663226,0.0,2.7610894602979617,1.0005479628401523,0.1,0.2464167384292032,0.0,0.5333333333333333,0.06666666666666667,0.0
big_winner_50h120_close_confirmed_SH600010_20240605_000006,SH600010,robustness,2024-06-05,30,0.0,-0.05479454851034116,-0.01369861671503625,False,False,True,True,0.3333333333333333,0.0,0.0,35.649763376666826,51.41449252296576,0.0,2.1251599223518287,0.8179507051625488,0.1,0.4773156899810964,0.0,0.3333333333333333,0.0,0.03333333333333333
big_winner_50h120_close_confirmed_SH600010_20250205_000007,SH600010,robustness,2025-02-05,30,0.05524863370343103,-0.016574570352582918,0.03314920656665388,False,False,True,True,0.7666666666666667,0.26666666666666666,0.06666666666666667,52.370192685002834,60.774943933730185,0.0,2.2267277627040034,1.0213164674793067,0.13333333333333333,0.6732954545454546,0.0,0.7666666666666667,0.13333333333333333,0.0
big_winner_50h120_close_confirmed_SH600011_20200415_000008,SH600011,train,2020-04-15,30,0.05149052961359013,-0.018970235928425838,0.04065036710645531,False,False,True,True,0.5666666666666667,0.0,0.0,47.57604183628784,56.77425678386509,0.0,1.980086154192581,0.9479537297400819,0.06666666666666667,0.055219090091652115,0.0,0.5666666666666667,0.03333333333333333,0.0
big_winner_50h120_close_confirmed_SH600011_20210311_000009,SH600011,train,2021-03-11,30,0.09137059093556776,-0.06598984433687505,-0.06598984433687505,False,False,True,True,0.36666666666666664,0.5333333333333333,0.3333333333333333,48.02574304780749,68.70823427073681,0.0,2.1418718645521073,0.7551042491747535,0.06666666666666667,0.16081735793133584,0.0,0.36666666666666664,0.06666666666666667,0.0
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,30,0.26205790505190585,-0.04823146688377322,0.0659164530673777,False,True,True,False,0.5666666666666667,1.0,0.9,56.49159533160292,77.79050455963377,0.16666666666666666,1.6950873584762067,0.8415181897384882,0.1,0.886409223901306,0.2,0.5666666666666667,0.0,0.0
