condition,kind,n_terms,atom_indices,covered_events_t0_t30,coverage_t0_t30,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset,robustness_covered_events,robustness_coverage_t0_t30,train_covered_events,train_coverage_t0_t30,validation_covered_events,validation_coverage_t0_t30
vol_ratio3_gt_1_2 AND ret3_gt_0pct,and2,2,"51,183",845,1.0,0.16309631600511904,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct,and2,2,"51,107",845,1.0,0.1642622652294214,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct,and2,2,"51,142",845,1.0,0.16534475171098623,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_0pct,and2,2,"51,100",845,1.0,0.1670645900461827,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND ret3_gt_0pct,and2,2,"3,183",845,1.0,0.17116438113640847,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma5_gt_0pct,and2,2,"3,107",845,1.0,0.17246690575791757,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND rps5_gt_40,and2,2,"51,215",845,1.0,0.1730132073467447,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ema3_gt_0pct,and2,2,"3,142",845,1.0,0.1733192374034488,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma3_gt_0pct,and2,2,"3,100",845,1.0,0.17473810402998588,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND rps3_gt_40,and2,2,"51,190",845,1.0,0.17730774483669123,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND rps5_gt_40,and2,2,"3,215",845,1.0,0.1786229153283121,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1_2 AND vol_ratio3_gt_1_2,and2,2,"19,51",845,1.0,0.1796927559397652,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND vol_ratio3_gt_1_2,and2,2,"67,51",845,1.0,0.18089917194842509,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND money_ratio3_gt_1_2,and2,2,"67,3",845,1.0,0.18267718128613558,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1_2 AND money_ratio3_gt_1_2,and2,2,"19,3",845,1.0,0.1827682315509401,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND rps3_gt_40,and2,2,"3,190",845,1.0,0.18374955107161103,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_near_high3_gt_m2pct,and2,2,"51,198",845,1.0,0.18900770386407206,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND rps5_gt_30,and2,2,"51,214",845,1.0,0.19419251060988502,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND rps3_gt_30,and2,2,"51,189",845,1.0,0.19549503523139414,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_near_high3_gt_m2pct,and2,2,"3,198",845,1.0,0.19614250378111517,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND money_ratio10_gt_1_2,and2,2,"59,19",845,1.0,0.19904093721072572,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND rps5_gt_30,and2,2,"3,214",845,1.0,0.19936720065960858,3.0,3.0,241,1.0,446,1.0,158,1.0
close_near_high3_gt_0pct AND vol_ratio5_gt_1,and2,2,"199,58",845,1.0,0.19998937746910614,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high3 AND vol_ratio5_gt_1,and2,2,"200,58",845,1.0,0.19998937746910614,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma10_gt_m2pct,and2,2,"51,113",845,1.0,0.20036622439843596,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND vol_ratio5_gt_1_2,and2,2,"67,59",845,1.0,0.20081641737441386,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND rps3_gt_30,and2,2,"3,189",845,1.0,0.20146641509815724,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND money_ratio5_gt_1_2,and2,2,"67,11",845,1.0,0.20255143075374443,2.0,2.0,241,1.0,446,1.0,158,1.0
close_near_high3_gt_0pct AND vol_ratio3_gt_1,and2,2,"199,50",845,1.0,0.2031634908671526,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high3 AND vol_ratio3_gt_1,and2,2,"200,50",845,1.0,0.2031634908671526,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1_2 AND money_ratio5_gt_1_2,and2,2,"19,11",845,1.0,0.20335317891882868,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND boll20_pct_b_gt_0_2,and2,2,"51,341",845,1.0,0.20545239335737736,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema10_gt_m2pct,and2,2,"51,155",845,1.0,0.2055029768378243,4.0,4.0,241,1.0,446,1.0,158,1.0
close_near_high3_gt_0pct AND money_ratio5_gt_1,and2,2,"199,10",845,1.0,0.20642106700793655,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high3 AND money_ratio5_gt_1,and2,2,"200,10",845,1.0,0.20642106700793655,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma10_gt_m2pct,and2,2,"3,113",845,1.0,0.20677768054508758,4.0,4.0,241,1.0,446,1.0,158,1.0
