condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
money_ratio20_gt_1_5 AND vol_ratio20_gt_2_0,and2,2,0.8650887573964497,731,0.8733727810650888,738,0.049566752489971826,-16.0,-42.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_5 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.049566752489971826,-16.0,-42.0
money_ratio20_gt_1_2 AND money_ratio20_gt_1_5 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.049566752489971826,-16.0,-42.0
money_ratio20_gt_1_5 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.049566752489971826,-16.0,-42.0
money_ratio20_gt_1_5 AND vol_ratio20_gt_1_2 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.049566752489971826,-16.0,-42.0
money_ratio20_gt_1_5 AND vol_ratio20_gt_1_5 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.049566752489971826,-16.0,-42.0
money_ratio20_gt_1_2 AND vol_ratio20_gt_2_0,and2,2,0.8650887573964497,731,0.8733727810650888,738,0.04960974844835174,-16.0,-42.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.04960974844835174,-16.0,-42.0
money_ratio20_gt_1_2 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.04960974844835174,-16.0,-42.0
money_ratio20_gt_1_2 AND vol_ratio20_gt_1_2 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.04960974844835174,-16.0,-42.0
money_ratio20_gt_1_2 AND vol_ratio20_gt_1_5 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.04960974844835174,-16.0,-42.0
money_ratio20_gt_1_0 AND vol_ratio20_gt_2_0,and2,2,0.8650887573964497,731,0.8733727810650888,738,0.04961480679639643,-16.0,-42.0
money_ratio20_gt_1_0 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.04961480679639643,-16.0,-42.0
money_ratio20_gt_1_0 AND vol_ratio20_gt_1_2 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.04961480679639643,-16.0,-42.0
money_ratio20_gt_1_0 AND vol_ratio20_gt_1_5 AND vol_ratio20_gt_2_0,and3,3,0.8650887573964497,731,0.8733727810650888,738,0.04961480679639643,-16.0,-42.0
vol_ratio20_gt_2_0,single,1,0.8650887573964497,731,0.8733727810650888,738,0.04961733597041878,-16.0,-42.0
vol_ratio20_gt_1_0 AND vol_ratio20_gt_2_0,and2,2,0.8650887573964497,731,0.8733727810650888,738,0.04961733597041878,-16.0,-42.0
vol_ratio20_gt_1_2 AND vol_ratio20_gt_2_0,and2,2,0.8650887573964497,731,0.8733727810650888,738,0.04961733597041878,-16.0,-42.0
