split,delay_days,delay_period_return_bucket,candidate_row_count,matched_delay_ineligible_count,matched_delay_ineligible_rate,all_delay_ineligible_rate,top_quintile_ineligible_rate,matched_delay_reliability_status,audit_only_status
robustness,1,delay_return_q1,250,116,0.464,0.3333333333333333,0.4418604651162791,passed,report_only
robustness,1,delay_return_q2,218,94,0.43119266055045874,0.3333333333333333,0.4418604651162791,passed,report_only
robustness,1,delay_return_q3,230,20,0.08695652173913043,0.3333333333333333,0.4418604651162791,passed,report_only
robustness,1,delay_return_q4,178,34,0.19101123595505617,0.3333333333333333,0.4418604651162791,passed,report_only
robustness,1,delay_return_q5,258,114,0.4418604651162791,0.3333333333333333,0.4418604651162791,passed,report_only
robustness,3,delay_return_q1,268,144,0.5373134328358209,0.42328042328042326,0.5446428571428571,passed,report_only
robustness,3,delay_return_q2,224,138,0.6160714285714286,0.42328042328042326,0.5446428571428571,passed,report_only
robustness,3,delay_return_q3,212,58,0.27358490566037735,0.42328042328042326,0.5446428571428571,passed,report_only
robustness,3,delay_return_q4,206,18,0.08737864077669903,0.42328042328042326,0.5446428571428571,passed,report_only
robustness,3,delay_return_q5,224,122,0.5446428571428571,0.42328042328042326,0.5446428571428571,passed,report_only
train,1,delay_return_missing,4,4,1.0,0.3161764705882353,0.2909090909090909,passed,report_only
train,1,delay_return_q1,418,188,0.44976076555023925,0.3161764705882353,0.2909090909090909,passed,report_only
train,1,delay_return_q2,428,226,0.5280373831775701,0.3161764705882353,0.2909090909090909,passed,report_only
train,1,delay_return_q3,416,44,0.10576923076923077,0.3161764705882353,0.2909090909090909,passed,report_only
train,1,delay_return_q4,470,98,0.20851063829787234,0.3161764705882353,0.2909090909090909,passed,report_only
train,1,delay_return_q5,440,128,0.2909090909090909,0.3161764705882353,0.2909090909090909,passed,report_only
train,3,delay_return_missing,2,2,1.0,0.34375,0.36796536796536794,passed,report_only
train,3,delay_return_q1,400,180,0.45,0.34375,0.36796536796536794,passed,report_only
train,3,delay_return_q2,438,238,0.54337899543379,0.34375,0.36796536796536794,passed,report_only
train,3,delay_return_q3,420,92,0.21904761904761905,0.34375,0.36796536796536794,passed,report_only
train,3,delay_return_q4,454,66,0.14537444933920704,0.34375,0.36796536796536794,passed,report_only
train,3,delay_return_q5,462,170,0.36796536796536794,0.34375,0.36796536796536794,passed,report_only
validation,1,delay_return_q1,160,70,0.4375,0.2644230769230769,0.12307692307692308,passed,report_only
validation,1,delay_return_q2,182,82,0.45054945054945056,0.2644230769230769,0.12307692307692308,passed,report_only
validation,1,delay_return_q3,180,28,0.15555555555555556,0.2644230769230769,0.12307692307692308,passed,report_only
validation,1,delay_return_q4,180,24,0.13333333333333333,0.2644230769230769,0.12307692307692308,passed,report_only
validation,1,delay_return_q5,130,16,0.12307692307692308,0.2644230769230769,0.12307692307692308,passed,report_only
validation,3,delay_return_q1,160,46,0.2875,0.28365384615384615,0.2535211267605634,passed,report_only
validation,3,delay_return_q2,166,74,0.4457831325301205,0.28365384615384615,0.2535211267605634,passed,report_only
validation,3,delay_return_q3,196,56,0.2857142857142857,0.28365384615384615,0.2535211267605634,passed,report_only
validation,3,delay_return_q4,168,24,0.14285714285714285,0.28365384615384615,0.2535211267605634,passed,report_only
validation,3,delay_return_q5,142,36,0.2535211267605634,0.28365384615384615,0.2535211267605634,passed,report_only
