split,delay_days,delay_period_return_bucket,candidate_row_count,matched_delay_ineligible_count,matched_delay_ineligible_rate,all_delay_ineligible_rate,top_quintile_ineligible_rate,matched_delay_reliability_status,audit_only_status
robustness,1,delay_return_q1,482,228,0.4730290456431535,0.27248201438848924,0.25,passed,report_only
robustness,1,delay_return_q2,436,202,0.463302752293578,0.27248201438848924,0.25,passed,report_only
robustness,1,delay_return_q3,428,54,0.1261682242990654,0.27248201438848924,0.25,passed,report_only
robustness,1,delay_return_q4,406,4,0.009852216748768473,0.27248201438848924,0.25,passed,report_only
robustness,1,delay_return_q5,472,118,0.25,0.27248201438848924,0.25,passed,report_only
robustness,3,delay_return_missing,2,2,1.0,0.35431654676258995,0.4344262295081967,passed,report_only
robustness,3,delay_return_q1,436,226,0.518348623853211,0.35431654676258995,0.4344262295081967,passed,report_only
robustness,3,delay_return_q2,412,244,0.5922330097087378,0.35431654676258995,0.4344262295081967,passed,report_only
robustness,3,delay_return_q3,478,94,0.19665271966527198,0.35431654676258995,0.4344262295081967,passed,report_only
robustness,3,delay_return_q4,408,10,0.024509803921568627,0.35431654676258995,0.4344262295081967,passed,report_only
robustness,3,delay_return_q5,488,212,0.4344262295081967,0.35431654676258995,0.4344262295081967,passed,report_only
train,1,delay_return_missing,8,8,1.0,0.2178452776459421,0.18949771689497716,passed,report_only
train,1,delay_return_q1,812,350,0.43103448275862066,0.2178452776459421,0.18949771689497716,passed,report_only
train,1,delay_return_q2,792,316,0.398989898989899,0.2178452776459421,0.18949771689497716,passed,report_only
train,1,delay_return_q3,858,60,0.06993006993006994,0.2178452776459421,0.18949771689497716,passed,report_only
train,1,delay_return_q4,868,18,0.020737327188940093,0.2178452776459421,0.18949771689497716,passed,report_only
train,1,delay_return_q5,876,166,0.18949771689497716,0.2178452776459421,0.18949771689497716,passed,report_only
train,3,delay_return_missing,2,2,1.0,0.2952064546748932,0.361244019138756,passed,report_only
train,3,delay_return_q1,808,348,0.4306930693069307,0.2952064546748932,0.361244019138756,passed,report_only
train,3,delay_return_q2,864,450,0.5208333333333334,0.2952064546748932,0.361244019138756,passed,report_only
train,3,delay_return_q3,788,104,0.1319796954314721,0.2952064546748932,0.361244019138756,passed,report_only
train,3,delay_return_q4,916,38,0.04148471615720524,0.2952064546748932,0.361244019138756,passed,report_only
train,3,delay_return_q5,836,302,0.361244019138756,0.2952064546748932,0.361244019138756,passed,report_only
validation,1,delay_return_q1,370,180,0.4864864864864865,0.2341101694915254,0.0949367088607595,passed,report_only
validation,1,delay_return_q2,436,200,0.45871559633027525,0.2341101694915254,0.0949367088607595,passed,report_only
validation,1,delay_return_q3,376,30,0.0797872340425532,0.2341101694915254,0.0949367088607595,passed,report_only
validation,1,delay_return_q4,390,2,0.005128205128205128,0.2341101694915254,0.0949367088607595,passed,report_only
validation,1,delay_return_q5,316,30,0.0949367088607595,0.2341101694915254,0.0949367088607595,passed,report_only
validation,3,delay_return_missing,2,2,1.0,0.2944915254237288,0.21764705882352942,passed,report_only
validation,3,delay_return_q1,420,198,0.4714285714285714,0.2944915254237288,0.21764705882352942,passed,report_only
validation,3,delay_return_q2,388,208,0.5360824742268041,0.2944915254237288,0.21764705882352942,passed,report_only
validation,3,delay_return_q3,398,66,0.1658291457286432,0.2944915254237288,0.21764705882352942,passed,report_only
validation,3,delay_return_q4,340,8,0.023529411764705882,0.2944915254237288,0.21764705882352942,passed,report_only
validation,3,delay_return_q5,340,74,0.21764705882352942,0.2944915254237288,0.21764705882352942,passed,report_only
