split,baseline_id,replicate_stat,industry,liquidity_bucket,volatility_bucket,sampled_random_event_count,eligible_random_event_count,bucket_random_eligible_rate,random_replicate_count,random_excluded_candidate_seed_day_count,random_capacity_shortfall,random_sampling_replacement_policy,random_baseline_reliability_status,failed_seed_average_loss_r,p05_return_r,p50_return_r,p95_return_r,audit_only_status
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q1,atr20_pct_asof_q1,1000,92,0.092,100,0,False,without_replacement_within_replicate,failed,0.0,-0.8139018200627148,-0.16906330137430117,0.6135489823035158,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q1,atr20_pct_asof_q2,1000,219,0.219,100,0,False,without_replacement_within_replicate,failed,0.0,-0.9195427490236999,-0.05543526159947893,0.8647468368198925,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q1,atr20_pct_asof_q3,100,26,0.26,100,0,False,without_replacement_within_replicate,failed,0.0,-0.7098723631393105,-0.1544120835819895,0.4065981923028436,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q2,atr20_pct_asof_q1,1400,175,0.125,100,0,False,without_replacement_within_replicate,failed,0.0,-0.8682624277384087,-0.13720384872134125,1.1051694635271814,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q2,atr20_pct_asof_q2,1000,199,0.199,100,0,False,without_replacement_within_replicate,failed,0.0,-0.9891772741093234,-0.11348046783233931,1.0030203293470434,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q2,atr20_pct_asof_q3,200,87,0.435,100,0,False,without_replacement_within_replicate,failed,0.0,-1.1215066656430106,0.15296758092136395,1.3507300643556104,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q2,atr20_pct_asof_q4,100,37,0.37,100,0,False,without_replacement_within_replicate,failed,0.0,-0.8713323018764518,-0.10869676480794353,0.9927202473708772,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q3,atr20_pct_asof_q1,600,41,0.06833333333333333,100,0,False,without_replacement_within_replicate,failed,0.0,-0.5862793080977869,-0.1232801020917958,1.8290656669313072,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q3,atr20_pct_asof_q2,700,161,0.23,100,0,False,without_replacement_within_replicate,failed,0.0,-0.6747546813608926,-0.02483740112564306,0.9129414011688083,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q3,atr20_pct_asof_q3,200,72,0.36,100,0,False,without_replacement_within_replicate,failed,0.0,-1.1331669871077976,-0.02827664562495899,1.287499120409866,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q3,atr20_pct_asof_q4,200,77,0.385,100,0,False,without_replacement_within_replicate,failed,0.0,-1.1372427279595714,-0.33646031071858823,2.053981506179114,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q4,atr20_pct_asof_q1,400,42,0.105,100,0,False,without_replacement_within_replicate,failed,0.0,-0.9741199198421531,-0.023676760566396615,0.850005392870316,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q4,atr20_pct_asof_q2,200,59,0.295,100,0,False,without_replacement_within_replicate,failed,0.0,-0.8519939517056133,0.028326297879354166,1.3751187687345034,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q5,atr20_pct_asof_q1,100,0,0.0,100,0,False,without_replacement_within_replicate,failed,0.0,,,,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,交通运输,money_20d_median_asof_q5,atr20_pct_asof_q4,100,42,0.42,100,0,False,without_replacement_within_replicate,failed,0.0,-1.9858801550157958,-0.8305466438694049,-0.009309111795566049,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,传媒,money_20d_median_asof_q3,atr20_pct_asof_q1,100,22,0.22,100,0,False,without_replacement_within_replicate,failed,0.0,-0.07939497111542021,0.14939086433391685,0.5823190529564308,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,传媒,money_20d_median_asof_q3,atr20_pct_asof_q2,100,0,0.0,100,0,False,without_replacement_within_replicate,failed,0.0,,,,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,传媒,money_20d_median_asof_q3,atr20_pct_asof_q3,100,49,0.49,100,0,False,without_replacement_within_replicate,failed,0.0,-0.452601634098251,0.1419687428798785,0.837445522816171,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,传媒,money_20d_median_asof_q4,atr20_pct_asof_q1,100,22,0.22,100,0,False,without_replacement_within_replicate,failed,0.0,-0.5941633205987812,-0.0020234542588388215,0.23122250377483286,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,传媒,money_20d_median_asof_q4,atr20_pct_asof_q2,100,1,0.01,100,0,False,without_replacement_within_replicate,failed,0.0,-0.7181720660744536,-0.7181720660744536,-0.7181720660744536,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,传媒,money_20d_median_asof_q4,atr20_pct_asof_q4,100,52,0.52,100,0,False,without_replacement_within_replicate,failed,0.0,-0.4097187130313537,1.4612085988887136,2.9977404128330702,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,传媒,money_20d_median_asof_q5,atr20_pct_asof_q4,100,66,0.66,100,0,False,without_replacement_within_replicate,passed,0.0,-1.0288440789497608,1.0014770052652455,6.925731239142354,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q1,atr20_pct_asof_q1,1300,191,0.14692307692307693,100,0,False,without_replacement_within_replicate,failed,0.0,-1.5096295027041713,-0.16747735915916392,1.1800473789468338,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q1,atr20_pct_asof_q2,700,154,0.22,100,0,False,without_replacement_within_replicate,failed,0.0,-0.9742790325171701,-0.1685257181697173,1.1680125852504735,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q2,atr20_pct_asof_q1,1300,183,0.14076923076923076,100,0,False,without_replacement_within_replicate,failed,0.0,-0.9005721451891362,0.09269737080355328,1.1312042790001018,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q2,atr20_pct_asof_q2,600,139,0.23166666666666666,100,0,False,without_replacement_within_replicate,failed,0.0,-1.300142836556412,-0.12937905405285496,0.9868336617512036,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q2,atr20_pct_asof_q3,100,34,0.34,100,0,False,without_replacement_within_replicate,failed,0.0,-1.1786336779072406,-0.17739063921831594,0.7803542352655727,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q3,atr20_pct_asof_q1,1000,96,0.096,100,0,False,without_replacement_within_replicate,failed,0.0,-0.8290457937666351,-0.18540851184676965,0.43288788571202225,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q3,atr20_pct_asof_q2,500,121,0.242,100,0,False,without_replacement_within_replicate,failed,0.0,-1.2410763863472425,0.06459663550920544,1.360167074857318,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q3,atr20_pct_asof_q3,300,113,0.37666666666666665,100,0,False,without_replacement_within_replicate,failed,0.0,-1.3103865583715517,0.11627072627889914,0.9229951254939678,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q4,atr20_pct_asof_q1,500,60,0.12,100,0,False,without_replacement_within_replicate,failed,0.0,-0.5610213991167865,0.249073596660465,0.4901549295956576,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q4,atr20_pct_asof_q2,100,25,0.25,100,0,False,without_replacement_within_replicate,failed,0.0,-0.5021767390913757,-0.06239628752167177,0.95408387111955,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q5,atr20_pct_asof_q1,100,5,0.05,100,0,False,without_replacement_within_replicate,failed,0.0,-0.25856090342211085,-0.22424520743736015,0.3132590015686437,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q5,atr20_pct_asof_q3,100,82,0.82,100,0,False,without_replacement_within_replicate,passed,0.0,0.2259732006724327,0.42522340927113483,0.7706581374346196,report_only
robustness,matched_random_same_density_no_fail_fast_h20,p50,公用事业,money_20d_median_asof_q5,atr20_pct_asof_q4,100,43,0.43,100,0,False,without_replacement_within_replicate,failed,0.0,0.4227568913076603,1.6086645980217673,1.972506607038546,report_only
