split,seed_episode_id,instrument,exit_trigger_type,exit_signal_date,exit_execution_date,holding_days,return_r,loss_r,audit_only_status
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20170825_960ab753b6,SH600000,natural_exit_h20,2017-09-25,2017-09-26,22,-0.07101144991467143,0.07101144991467143,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20180720_92a1a92927,SH600000,t10_close_below_entry_price,2018-08-03,2018-08-06,11,-0.030063902211861466,0.030063902211861466,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20181130_663f369f08,SH600000,close_below_breakout_reference|t10_close_below_entry_price,2018-12-14,2018-12-17,11,-0.32106481708467327,0.32106481708467327,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20190416_74b72f6314,SH600000,close_below_seed_day_low|close_below_breakout_reference,2019-04-26,2019-04-29,9,-0.43160278436917904,0.43160278436917904,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20200427_404b5d9a07,SH600000,t10_close_below_entry_price,2020-05-14,2020-05-15,11,-0.13606069903324394,0.13606069903324394,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20200702_961f62ac3c,SH600000,natural_exit_h20,2020-07-31,2020-08-03,22,-0.17511886268348775,0.17511886268348775,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20200817_bfbb90dd89,SH600000,close_below_seed_day_low|close_below_breakout_reference,2020-08-20,2020-08-21,4,-0.3851783168484933,0.3851783168484933,report_only
validation,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20221111_0feaea2ac0,SH600000,natural_exit_h20,2022-12-12,2022-12-13,22,0.3627004764966386,0.0,report_only
robustness,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20240430_705bd3cfab,SH600000,natural_exit_h20,2024-06-03,2024-06-04,22,0.359379642649071,0.0,report_only
robustness,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20240924_b68dbb777b,SH600000,natural_exit_h20,2024-10-30,2024-10-31,22,0.2599152144317064,0.0,report_only
robustness,ep4_post30_profile_high5_volume_rps_seed_v0_SH600000_20250314_5b42db01f2,SH600000,t10_close_below_entry_price,2025-03-28,2025-03-31,11,-0.15952126929920302,0.15952126929920302,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20171030_f8c4fa323f,SH600009,natural_exit_h20,2017-11-28,2017-11-29,22,-0.07267781565724193,0.07267781565724193,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20180115_eda947aa0c,SH600009,t10_close_below_entry_price,2018-01-29,2018-01-30,11,-0.13078916827099515,0.13078916827099515,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20180226_3eec03a0eb,SH600009,natural_exit_h20,2018-03-27,2018-03-28,22,-0.2261149702051085,0.2261149702051085,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20180427_4205c13080,SH600009,natural_exit_h20,2018-05-30,2018-05-31,22,0.20395713922324826,0.0,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20180926_e8c5f9d8a8,SH600009,close_below_seed_day_low|close_below_breakout_reference,2018-10-08,2018-10-09,4,-0.6231385765773071,0.6231385765773071,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20181102_04b5b36c10,SH600009,close_below_seed_day_low,2018-11-07,2018-11-08,4,-0.2743099253953304,0.2743099253953304,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20190610_f535f3f33e,SH600009,natural_exit_h20,2019-07-09,2019-07-10,22,0.3747702339711852,0.0,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20190816_149cf03262,SH600009,t10_close_below_entry_price,2019-08-30,2019-09-02,11,-0.10878642220711893,0.10878642220711893,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20200417_ef622b8578,SH600009,natural_exit_h20,2020-05-21,2020-05-22,22,-0.18492479307493104,0.18492479307493104,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20200529_2d6c8ec7ea,SH600009,natural_exit_h20,2020-07-01,2020-07-02,22,-0.04498827827266605,0.04498827827266605,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20200702_c9343988cf,SH600009,close_below_seed_day_low|close_below_breakout_reference,2020-07-14,2020-07-15,9,-0.22969443186205782,0.22969443186205782,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20200811_fedd99c46c,SH600009,natural_exit_h20,2020-09-09,2020-09-10,22,0.5341936864722225,0.0,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20201231_cac36f7ce2,SH600009,close_below_seed_day_low|close_below_breakout_reference|t10_close_below_entry_price,2021-01-15,2021-01-18,11,-0.5101154954924403,0.5101154954924403,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20210525_01cfd5554f,SH600009,t10_close_below_entry_price,2021-06-08,2021-06-09,11,-0.2720971143094291,0.2720971143094291,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20211008_43351de93d,SH600009,natural_exit_h20,2021-11-08,2021-11-09,22,0.8721495598683264,0.0,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20211227_764827e43f,SH600009,natural_exit_h20,2022-01-26,2022-01-27,22,0.6730080402500037,0.0,report_only
validation,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20220525_8f51251bc0,SH600009,natural_exit_h20,2022-06-24,2022-06-27,22,0.2567985867321461,0.0,report_only
validation,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20230116_331fe1dd8b,SH600009,close_below_seed_day_low,2023-01-31,2023-02-01,7,-0.33139016331485394,0.33139016331485394,report_only
validation,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20230728_9cec325de7,SH600009,natural_exit_h20,2023-08-28,2023-08-29,22,-0.9697987504838439,0.9697987504838439,report_only
validation,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20231025_59b99aa0c0,SH600009,natural_exit_h20,2023-11-23,2023-11-24,22,0.27067258085527657,0.0,report_only
robustness,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20240115_ff726ef5a9,SH600009,natural_exit_h20,2024-02-21,2024-02-22,22,0.7407438567220963,0.0,report_only
robustness,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20240703_a8ff6ba975,SH600009,close_below_seed_day_low|close_below_breakout_reference,2024-07-08,2024-07-09,4,-0.34534613688577337,0.34534613688577337,report_only
robustness,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20240927_068ce05472,SH600009,close_below_seed_day_low,2024-10-17,2024-10-18,10,-0.3045137916975231,0.3045137916975231,report_only
robustness,ep4_post30_profile_high5_volume_rps_seed_v0_SH600009_20251218_94800458c8,SH600009,t10_close_below_entry_price,2026-01-05,2026-01-06,11,-0.16635617126972446,0.16635617126972446,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600010_20190226_a1f341ee79,SH600010,natural_exit_h20,2019-03-27,2019-03-28,22,-0.02906905675300485,0.02906905675300485,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600010_20190516_9f0ecf907f,SH600010,close_below_breakout_reference,2019-05-17,2019-05-20,2,-0.3985853252222067,0.3985853252222067,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600010_20191125_0e97caaaff,SH600010,close_below_seed_day_low|close_below_breakout_reference,2019-11-28,2019-11-29,4,-0.5238651678218696,0.5238651678218696,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600010_20200226_219dc9da1b,SH600010,close_below_breakout_reference,2020-02-27,2020-02-28,2,-0.26769693007136874,0.26769693007136874,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600010_20200518_78ed2fb324,SH600010,close_below_breakout_reference,2020-05-19,2020-05-20,2,-0.26628457794724963,0.26628457794724963,report_only
train,ep4_post30_profile_high5_volume_rps_seed_v0_SH600010_20210120_974f735524,SH600010,close_below_breakout_reference,2021-01-28,2021-01-29,7,-0.3551014606325252,0.3551014606325252,report_only
