same_day_family_count,split,year,row_count,label_denominator_count,good_count,bad_count,neutral_count,censored_or_invalid_count,censored_or_invalid_rate,P_good,P_bad,P_neutral,P_good_plus_P_bad_plus_P_neutral,EV_R_diagnostic,sample_sufficiency_status
1,robustness,2024,4061,4057,1533,2413,111,4,0.0009849790691947797,0.37786541779640126,0.5947744638895736,0.027360118314025142,1.0,,sufficient
1,robustness,2025,4417,2191,1010,1068,113,2226,0.5039619651347068,0.46097672295755365,0.4874486535828389,0.051574623459607484,1.0,,sufficient
1,train,2017,565,565,261,289,15,0,0.0,0.46194690265486726,0.511504424778761,0.02654867256637168,1.0,,sufficient
1,train,2018,2341,2340,437,1850,53,1,0.00042716787697565144,0.18675213675213675,0.7905982905982906,0.02264957264957265,1.0,,sufficient
1,train,2019,3142,3142,1229,1793,120,0,0.0,0.3911521323997454,0.5706556333545513,0.03819223424570337,1.0,,sufficient
1,train,2020,3483,3481,1359,2015,107,2,0.0005742176284811944,0.39040505601838554,0.5788566503878196,0.030738293593794888,1.0,,sufficient
1,train,2021,4292,2086,566,1447,73,2206,0.5139794967381174,0.2713326941514861,0.6936720997123682,0.034995206136145734,1.0,,sufficient
1,validation,2022,3685,3685,1117,2400,168,0,0.0,0.30312075983717773,0.6512890094979648,0.04559023066485753,1.0,,sufficient
1,validation,2023,3922,2145,964,1111,70,1777,0.45308516063233045,0.4494172494172494,0.517948717948718,0.03263403263403263,1.0,,sufficient
2,robustness,2024,2883,2880,1117,1709,54,3,0.001040582726326743,0.38784722222222223,0.5934027777777777,0.01875,1.0,,sufficient
2,robustness,2025,3607,1587,690,828,69,2020,0.5600221790962018,0.43478260869565216,0.5217391304347826,0.043478260869565216,1.0,,sufficient
2,train,2017,579,578,265,303,10,1,0.0017271157167530224,0.458477508650519,0.5242214532871973,0.01730103806228374,1.0,,sufficient
2,train,2018,1736,1735,391,1309,35,1,0.000576036866359447,0.22536023054755044,0.7544668587896254,0.020172910662824207,1.0,,sufficient
2,train,2019,2325,2325,928,1325,72,0,0.0,0.3991397849462366,0.5698924731182796,0.03096774193548387,1.0,,sufficient
2,train,2020,2851,2850,1126,1647,77,1,0.00035075412136092597,0.3950877192982456,0.5778947368421052,0.027017543859649124,1.0,,sufficient
2,train,2021,3564,1705,483,1172,50,1859,0.5216049382716049,0.28328445747800585,0.6873900293255132,0.02932551319648094,1.0,,sufficient
2,validation,2022,3162,3161,925,2120,116,1,0.00031625553447185326,0.292628914900348,0.6706738373932299,0.03669724770642202,1.0,,sufficient
2,validation,2023,2970,1704,652,992,60,1266,0.4262626262626263,0.3826291079812207,0.5821596244131455,0.035211267605633804,1.0,,sufficient
3,robustness,2024,1857,1855,705,1110,40,2,0.0010770059235325794,0.38005390835579517,0.5983827493261455,0.0215633423180593,1.0,,sufficient
3,robustness,2025,1974,810,360,415,35,1164,0.5896656534954408,0.4444444444444444,0.5123456790123457,0.043209876543209874,1.0,,sufficient
3,train,2017,357,357,151,197,9,0,0.0,0.42296918767507,0.5518207282913166,0.025210084033613446,1.0,,sufficient
3,train,2018,1059,1058,235,808,15,1,0.0009442870632672333,0.222117202268431,0.7637051039697542,0.014177693761814745,1.0,,sufficient
3,train,2019,1421,1421,569,827,25,0,0.0,0.4004222378606615,0.5819845179451091,0.017593244194229415,1.0,,sufficient
3,train,2020,1941,1938,728,1171,39,3,0.0015455950540958269,0.37564499484004127,0.6042311661506707,0.020123839009287926,1.0,,sufficient
3,train,2021,2439,1173,292,862,19,1266,0.5190651906519065,0.24893435635123615,0.7348678601875532,0.01619778346121057,1.0,,sufficient
3,validation,2022,1909,1907,601,1259,47,2,0.0010476689366160294,0.31515469323544837,0.6601992658626115,0.02464604090194022,1.0,,sufficient
3,validation,2023,1630,988,368,590,30,642,0.39386503067484663,0.3724696356275304,0.597165991902834,0.030364372469635626,1.0,,sufficient
4,robustness,2024,1198,1197,443,723,31,1,0.0008347245409015025,0.37009189640768586,0.6040100250626567,0.025898078529657476,1.0,,sufficient
4,robustness,2025,1280,487,171,300,16,793,0.61953125,0.351129363449692,0.6160164271047228,0.03285420944558522,1.0,,sufficient
4,train,2017,235,235,109,122,4,0,0.0,0.46382978723404256,0.5191489361702127,0.01702127659574468,1.0,,sufficient
4,train,2018,655,654,131,513,10,1,0.0015267175572519084,0.20030581039755352,0.7844036697247706,0.01529051987767584,1.0,,sufficient
4,train,2019,962,962,379,574,9,0,0.0,0.39397089397089397,0.5966735966735967,0.009355509355509356,1.0,,sufficient
4,train,2020,1534,1533,583,930,20,1,0.000651890482398957,0.38030006523157206,0.6066536203522505,0.01304631441617743,1.0,,sufficient
4,train,2021,1938,888,246,628,14,1050,0.541795665634675,0.27702702702702703,0.7072072072072072,0.015765765765765764,1.0,,sufficient
4,validation,2022,1329,1328,404,902,22,1,0.0007524454477050414,0.3042168674698795,0.6792168674698795,0.016566265060240965,1.0,,sufficient
4,validation,2023,1117,701,257,430,14,416,0.37242614145031333,0.3666191155492154,0.6134094151212554,0.019971469329529243,1.0,,sufficient
5,robustness,2024,1099,1096,380,698,18,3,0.00272975432211101,0.3467153284671533,0.6368613138686131,0.016423357664233577,1.0,,sufficient
5,robustness,2025,1122,376,160,210,6,746,0.6648841354723708,0.425531914893617,0.5585106382978723,0.015957446808510637,1.0,,sufficient
5,train,2017,199,199,84,111,4,0,0.0,0.4221105527638191,0.5577889447236181,0.020100502512562814,1.0,,thin_bucket_report_only
5,train,2018,487,486,101,374,11,1,0.002053388090349076,0.20781893004115226,0.7695473251028807,0.02263374485596708,1.0,,sufficient
5,train,2019,806,806,309,489,8,0,0.0,0.38337468982630274,0.6066997518610422,0.009925558312655087,1.0,,sufficient
5,train,2020,1303,1299,465,827,7,4,0.0030698388334612432,0.3579676674364896,0.636643571978445,0.005388760585065435,1.0,,sufficient
5,train,2021,1712,873,241,629,3,839,0.49007009345794394,0.27605956471935855,0.720504009163803,0.003436426116838488,1.0,,sufficient
5,validation,2022,1036,1034,299,728,7,2,0.0019305019305019305,0.28916827852998067,0.7040618955512572,0.006769825918762089,1.0,,sufficient
5,validation,2023,860,577,174,394,9,283,0.32906976744186045,0.30155979202772965,0.682842287694974,0.01559792027729636,1.0,,sufficient
6,robustness,2024,1016,1014,331,666,17,2,0.001968503937007874,0.3264299802761341,0.6568047337278107,0.016765285996055226,1.0,,sufficient
6,robustness,2025,1025,320,117,193,10,705,0.6878048780487804,0.365625,0.603125,0.03125,1.0,,sufficient
6,train,2017,156,156,59,95,2,0,0.0,0.3782051282051282,0.6089743589743589,0.01282051282051282,1.0,,thin_bucket_report_only
6,train,2018,401,401,80,312,9,0,0.0,0.19950124688279303,0.7780548628428927,0.022443890274314215,1.0,,sufficient
6,train,2019,680,679,257,413,9,1,0.0014705882352941176,0.3784977908689249,0.6082474226804123,0.013254786450662739,1.0,,sufficient
6,train,2020,1135,1134,410,713,11,1,0.000881057268722467,0.36155202821869487,0.6287477954144621,0.009700176366843033,1.0,,sufficient
6,train,2021,1248,611,158,449,4,637,0.5104166666666666,0.25859247135842883,0.734860883797054,0.006546644844517185,1.0,,sufficient
6,validation,2022,812,810,217,577,16,2,0.0024630541871921183,0.2679012345679012,0.7123456790123457,0.019753086419753086,1.0,,sufficient
6,validation,2023,714,491,126,358,7,223,0.3123249299719888,0.25661914460285135,0.7291242362525459,0.014256619144602852,1.0,,sufficient
