condition_group_id,family_id,kind,n_terms,condition_text,coverage_t0_t30,covered_events_t0_t30,uncovered_events_t0_t30,eligible_day_density,eligible_day_trigger_count,eligible_day_denominator,global_eligible_day_denominator,feature_eligible_day_denominator,feature_eligible_day_density,feature_eligible_ratio,low_feature_coverage_warning,median_earliest_hit_offset,median_closest_hit_offset,offset_bucket_first_hit_distribution,market_context_decomposition_status,coverage_by_split_train,coverage_by_split_validation,coverage_by_split_robustness,coverage_by_year_min,coverage_by_year_max,rank_score,worker_id,chunk_id,chunk_sequence,result_hash
momentum_rps__and3__1e2c36731626,momentum_rps,same_family_and3,3,market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.5 AND rps5_r02 >= 0.6,0.9928994082840237,839,6,0.39530231217089123,156297,395386,395386,395386,0.39530231217089123,1.0,False,3.0,3.0,"{""D0-D5"": 564, ""D11-D20"": 98, ""D21-D30"": 13, ""D6-D10"": 164}",decomposition_only,0.9955156950672646,0.9873417721518988,0.991701244813278,0.9565217391304348,1.0,0.5975970961131325,258548,0,231,52669903365d0aa6
momentum_rps__and3__54fe18a5430b,momentum_rps,same_family_and3,3,ret5_r02 >= 0.0 AND roc5_r02 >= 0.0 AND rps5_r02 >= 0.5,0.9928994082840237,839,6,0.41567733809492496,164353,395386,395386,395386,0.41567733809492496,1.0,False,3.0,3.0,"{""D0-D5"": 584, ""D11-D20"": 75, ""D21-D30"": 6, ""D6-D10"": 174}",decomposition_only,0.9932735426008968,0.9936708860759493,0.991701244813278,0.9782608695652174,1.0,0.5772220701890987,258549,1,168,e51b9c32cadd4c3c
momentum_rps__and3__6d45c059ade8,momentum_rps,same_family_and3,3,ret5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.5,0.991715976331361,838,7,0.3743936305281421,148030,395386,395386,395386,0.3743936305281421,1.0,False,4.0,4.0,"{""D0-D5"": 554, ""D11-D20"": 94, ""D21-D30"": 10, ""D6-D10"": 180}",decomposition_only,0.9932735426008968,0.9873417721518988,0.991701244813278,0.9565217391304348,1.0,0.6173223458032189,258549,1,365,825df8a7f9fd7826
momentum_rps__and3__ac34cbdda386,momentum_rps,same_family_and3,3,roc5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.5,0.991715976331361,838,7,0.3743936305281421,148030,395386,395386,395386,0.3743936305281421,1.0,False,4.0,4.0,"{""D0-D5"": 554, ""D11-D20"": 94, ""D21-D30"": 10, ""D6-D10"": 180}",decomposition_only,0.9932735426008968,0.9873417721518988,0.991701244813278,0.9565217391304348,1.0,0.6173223458032189,258550,2,372,79e5aa307b72dbd4
momentum_rps__and4__81e56b56d8c6,momentum_rps,same_family_and4,4,ret5_r02 >= 0.0 AND roc5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.5,0.991715976331361,838,7,0.3743936305281421,148030,395386,395386,395386,0.3743936305281421,1.0,False,4.0,4.0,"{""D0-D5"": 554, ""D11-D20"": 94, ""D21-D30"": 10, ""D6-D10"": 180}",decomposition_only,0.9932735426008968,0.9873417721518988,0.991701244813278,0.9565217391304348,1.0,0.6173223458032189,258550,15,39,b3d78f1dc62f8803
momentum_rps__and3__577dc6c4aa1e,momentum_rps,same_family_and3,3,ret5_r02 >= 0.0 AND roc5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0,0.991715976331361,838,7,0.37571385936780766,148552,395386,395386,395386,0.37571385936780766,1.0,False,4.0,4.0,"{""D0-D5"": 555, ""D11-D20"": 92, ""D21-D30"": 10, ""D6-D10"": 181}",decomposition_only,0.9932735426008968,0.9873417721518988,0.991701244813278,0.9565217391304348,1.0,0.6160021169635533,258549,1,190,f44d16d6b297f452
momentum_rps__and3__23accf222317,momentum_rps,same_family_and3,3,roc5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.6,0.9893491124260355,836,9,0.3517094687217049,139061,395386,395386,395386,0.3517094687217049,1.0,False,4.0,4.0,"{""D0-D5"": 538, ""D11-D20"": 107, ""D21-D30"": 13, ""D6-D10"": 178}",decomposition_only,0.9910313901345291,0.9873417721518988,0.9875518672199171,0.9565217391304348,1.0,0.6376396437043306,258548,0,281,6f56962e401f9f46
momentum_rps__and3__377e79723c50,momentum_rps,same_family_and3,3,ret5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.6,0.9893491124260355,836,9,0.3517094687217049,139061,395386,395386,395386,0.3517094687217049,1.0,False,4.0,4.0,"{""D0-D5"": 538, ""D11-D20"": 107, ""D21-D30"": 13, ""D6-D10"": 178}",decomposition_only,0.9910313901345291,0.9873417721518988,0.9875518672199171,0.9565217391304348,1.0,0.6376396437043306,258548,0,447,fe2e8f9534bf0ee1
momentum_rps__and4__3e2cea8a55bf,momentum_rps,same_family_and4,4,ret5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.5 AND rps5_r02 >= 0.6,0.9893491124260355,836,9,0.3517094687217049,139061,395386,395386,395386,0.3517094687217049,1.0,False,4.0,4.0,"{""D0-D5"": 538, ""D11-D20"": 107, ""D21-D30"": 13, ""D6-D10"": 178}",decomposition_only,0.9910313901345291,0.9873417721518988,0.9875518672199171,0.9565217391304348,1.0,0.6376396437043306,258557,9,173,9ecd7c47ca5d75cd
momentum_rps__and4__ab635d8c1569,momentum_rps,same_family_and4,4,roc5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.5 AND rps5_r02 >= 0.6,0.9893491124260355,836,9,0.3517094687217049,139061,395386,395386,395386,0.3517094687217049,1.0,False,4.0,4.0,"{""D0-D5"": 538, ""D11-D20"": 107, ""D21-D30"": 13, ""D6-D10"": 178}",decomposition_only,0.9910313901345291,0.9873417721518988,0.9875518672199171,0.9565217391304348,1.0,0.6376396437043306,258549,18,216,9b2ce963a71a06f3
momentum_rps__and4__e0bc1724d6f6,momentum_rps,same_family_and4,4,ret5_r02 >= 0.0 AND roc5_r02 >= 0.0 AND market_relative_ret5_r02 >= 0.0 AND rps5_r02 >= 0.6,0.9893491124260355,836,9,0.3517094687217049,139061,395386,395386,395386,0.3517094687217049,1.0,False,4.0,4.0,"{""D0-D5"": 538, ""D11-D20"": 107, ""D21-D30"": 13, ""D6-D10"": 178}",decomposition_only,0.9910313901345291,0.9873417721518988,0.9875518672199171,0.9565217391304348,1.0,0.6376396437043306,258552,22,394,0ed945f8d6c239cb
momentum_rps__and3__0c555e99a554,momentum_rps,same_family_and3,3,ret5_r02 >= 0.0 AND rps5_r02 >= 0.5 AND rps5_r02 >= 0.6,0.9893491124260355,836,9,0.3571396053476856,141208,395386,395386,395386,0.3571396053476856,1.0,False,4.0,4.0,"{""D0-D5"": 543, ""D11-D20"": 99, ""D21-D30"": 11, ""D6-D10"": 183}",decomposition_only,0.9910313901345291,0.9873417721518988,0.9875518672199171,0.9565217391304348,1.0,0.63220950707835,258548,0,104,3eca94eff95c8225
momentum_rps__and3__42a84eb892fb,momentum_rps,same_family_and3,3,roc5_r02 >= 0.0 AND rps5_r02 >= 0.5 AND rps5_r02 >= 0.6,0.9893491124260355,836,9,0.3571396053476856,141208,395386,395386,395386,0.3571396053476856,1.0,False,4.0,4.0,"{""D0-D5"": 543, ""D11-D20"": 99, ""D21-D30"": 11, ""D6-D10"": 183}",decomposition_only,0.9910313901345291,0.9873417721518988,0.9875518672199171,0.9565217391304348,1.0,0.63220950707835,258549,1,32,dbcfed33821d468b
momentum_rps__and3__be484032df60,momentum_rps,same_family_and3,3,ret5_r02 >= 0.0 AND roc5_r02 >= 0.0 AND rps5_r02 >= 0.6,0.9893491124260355,836,9,0.3571396053476856,141208,395386,395386,395386,0.3571396053476856,1.0,False,4.0,4.0,"{""D0-D5"": 543, ""D11-D20"": 99, ""D21-D30"": 11, ""D6-D10"": 183}",decomposition_only,0.9910313901345291,0.9873417721518988,0.9875518672199171,0.9565217391304348,1.0,0.63220950707835,258551,3,11,bb0d80c95ab8a23c
