split,label_id,raw_action_time_rows,complete_forward_rows,incomplete_forward_rows,entry_execution_unavailable_rows,effective_label_end,complete_forward_rate
train,continuation_h20,181227,174010,5205,2092,2021-12-03,0.9601770155661132
train,continuation_h60,181227,164172,15153,2092,2021-10-08,0.905891506232515
train,big_winner_forward,181227,149755,29762,2092,2021-07-07,0.8263393423717217
train,failed_seed_forward,181227,176603,2566,2092,2021-12-17,0.9744850381013866
train,executable_entry_available,181227,180962,265,2092,2021-12-30,0.9985377454794263
validation,continuation_h20,108970,103712,4159,1125,2023-12-01,0.9517481875745618
validation,continuation_h60,108970,95144,12785,1125,2023-09-28,0.8731210424887583
validation,big_winner_forward,108970,81744,26277,1125,2023-07-06,0.7501514178214187
validation,failed_seed_forward,108970,105803,2053,1125,2023-12-15,0.9709369551252638
validation,executable_entry_available,108970,108763,207,1125,2023-12-28,0.9981003946040194
robustness,continuation_h20,109510,103094,5337,1104,2025-12-03,0.9414117432197973
robustness,continuation_h60,109510,92504,16007,1104,2025-09-30,0.8447082458222993
robustness,big_winner_forward,109510,77866,30782,1104,2025-07-08,0.7110400876632271
robustness,failed_seed_forward,109510,105730,2690,1104,2025-12-17,0.9654826043283719
robustness,executable_entry_available,109510,109238,272,1104,2025-12-30,0.9975162085654278
