candidate_id,candidate_type,year,trigger_count,primary_LR,EV_R,positive_LR_year,non_negative_EV_R_year,positive_LR_year_share,non_negative_EV_R_year_share,train_years_with_trigger_count_30
price_momentum__close_near_high5_pct__ge_0p0,single_primitive,2017,2226,0.8623792591763024,0.21724306916889305,False,True,0.4,0.6,5
price_momentum__close_near_high5_pct__ge_0p0,single_primitive,2018,7391,0.79219570777046,-1.1894743330978952,False,False,0.4,0.6,5
price_momentum__close_near_high5_pct__ge_0p0,single_primitive,2019,9726,1.0766019638670998,0.19856126143466887,True,True,0.4,0.6,5
price_momentum__close_near_high5_pct__ge_0p0,single_primitive,2020,12104,1.123780730188945,0.31008033411924674,True,True,0.4,0.6,5
price_momentum__close_near_high5_pct__ge_0p0,single_primitive,2021,14298,0.9766745130945119,-0.3831400793080705,False,False,0.4,0.6,5
price_momentum__close_near_high5_pct__ge_m0p02,single_primitive,2017,5399,0.8715383540589633,0.12968571700092932,False,True,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p02,single_primitive,2018,17008,0.7937130239391329,-1.213809166510976,False,False,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p02,single_primitive,2019,21773,0.8949572975096989,0.20001196795072737,False,True,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p02,single_primitive,2020,25723,0.9518082724493221,0.27659554265572317,False,True,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p02,single_primitive,2021,29440,0.8935226018164971,-0.3831539390855831,False,False,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p05,single_primitive,2017,7899,0.9765058406909481,0.10078954691531679,False,True,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p05,single_primitive,2018,26474,0.9251016456268779,-1.1989498815987996,False,False,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p05,single_primitive,2019,31255,0.9438329603371604,0.24413828515869418,False,True,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p05,single_primitive,2020,38490,0.9587284343406576,0.26956980325211183,False,True,0.0,0.6,5
price_momentum__close_near_high5_pct__ge_m0p05,single_primitive,2021,44866,0.9077812746916605,-0.3870205051018082,False,False,0.0,0.6,5
price_momentum__close_near_high20_pct__ge_0p0,single_primitive,2017,1177,0.7131932773109244,0.2261239697985894,False,True,0.6,0.6,5
price_momentum__close_near_high20_pct__ge_0p0,single_primitive,2018,3106,0.7077786290701049,-1.3801900879732378,False,False,0.6,0.6,5
price_momentum__close_near_high20_pct__ge_0p0,single_primitive,2019,5421,1.1092573802075563,0.23278065864540015,True,True,0.6,0.6,5
price_momentum__close_near_high20_pct__ge_0p0,single_primitive,2020,6519,1.3547726609205548,0.3134419955129352,True,True,0.6,0.6,5
price_momentum__close_near_high20_pct__ge_0p0,single_primitive,2021,7316,1.0102710308224474,-0.3220215904913941,True,False,0.6,0.6,5
price_momentum__close_near_high20_pct__ge_m0p02,single_primitive,2017,2788,0.7864848361489924,0.10938833061424576,False,True,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p02,single_primitive,2018,7837,0.7633098249659729,-1.3546866459393607,False,False,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p02,single_primitive,2019,12465,0.8859954190003143,0.17049571564972688,False,True,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p02,single_primitive,2020,13659,1.1388434199913884,0.30962568637717347,True,True,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p02,single_primitive,2021,15345,0.8949707255509368,-0.330622148957222,False,False,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p05,single_primitive,2017,5393,0.7111750777659129,0.027092144767197276,False,True,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p05,single_primitive,2018,15773,0.8280323259388614,-1.3281006809382234,False,False,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p05,single_primitive,2019,22015,0.875351261267064,0.23162564759278403,False,True,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p05,single_primitive,2020,24787,1.0366028689818032,0.3218756474998242,True,True,0.2,0.6,5
price_momentum__close_near_high20_pct__ge_m0p05,single_primitive,2021,27870,0.8404046618062853,-0.311593619184827,False,False,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_0p0,single_primitive,2017,820,0.5453075886843287,0.17041619902604438,False,True,0.4,0.4,5
price_momentum__close_near_high60_pct__ge_0p0,single_primitive,2018,1399,0.6001130813463899,-1.2708401965144074,False,False,0.4,0.4,5
price_momentum__close_near_high60_pct__ge_0p0,single_primitive,2019,3065,1.2377087292596995,-0.007696213834021834,True,False,0.4,0.4,5
price_momentum__close_near_high60_pct__ge_0p0,single_primitive,2020,4299,1.495489671293429,0.3696475901861489,True,True,0.4,0.4,5
price_momentum__close_near_high60_pct__ge_0p0,single_primitive,2021,4009,0.9677893056664006,-0.46150174962148016,False,False,0.4,0.4,5
price_momentum__close_near_high60_pct__ge_m0p03,single_primitive,2017,2302,0.5650958726031848,0.15356427727657243,False,True,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p03,single_primitive,2018,4715,0.6798511973359168,-1.3162207905196277,False,False,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p03,single_primitive,2019,9068,0.9271033534241906,0.050962204316581085,False,True,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p03,single_primitive,2020,10217,1.363258577600782,0.3825565889467545,True,True,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p03,single_primitive,2021,9893,0.7816099425297767,-0.4741682777892887,False,False,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p05,single_primitive,2017,3537,0.523406496927129,0.1438594751638225,False,True,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p05,single_primitive,2018,7373,0.739488634881389,-1.3037692089492485,False,False,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p05,single_primitive,2019,13499,0.9103374651991794,0.1176247227220617,False,True,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p05,single_primitive,2020,14756,1.2714534054030622,0.3984306222138245,True,True,0.2,0.6,5
price_momentum__close_near_high60_pct__ge_m0p05,single_primitive,2021,14828,0.7052894854923292,-0.4556983662800956,False,False,0.2,0.6,5
volume_money__vol_ratio3__gt_1p1,single_primitive,2017,3044,0.9615021927566967,0.08221856007784778,False,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p1,single_primitive,2018,10820,1.0113775562682925,-1.0998643763481044,True,False,0.4,0.6,5
volume_money__vol_ratio3__gt_1p1,single_primitive,2019,12036,0.9959383052994559,0.22156963950740152,False,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p1,single_primitive,2020,15691,1.0258885685962318,0.3161933588395541,True,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p1,single_primitive,2021,19067,0.9929476645494466,-0.30937621240582486,False,False,0.4,0.6,5
volume_money__vol_ratio3__gt_1p2,single_primitive,2017,2396,0.944651454888005,0.08096394077694452,False,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p2,single_primitive,2018,8485,1.043567144675822,-1.0932967051697562,True,False,0.4,0.6,5
volume_money__vol_ratio3__gt_1p2,single_primitive,2019,9466,0.9724642247424499,0.20621008836200294,False,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p2,single_primitive,2020,11904,1.0125535424432495,0.28823231271652283,True,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p2,single_primitive,2021,14529,0.9949730625935727,-0.2829505922384883,False,False,0.4,0.6,5
volume_money__vol_ratio3__gt_1p5,single_primitive,2017,1212,0.8018131245492944,0.058590706316990565,False,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p5,single_primitive,2018,4236,1.07553447439472,-1.055546686489257,True,False,0.4,0.6,5
volume_money__vol_ratio3__gt_1p5,single_primitive,2019,4747,0.9066111341685454,0.14755749447586886,False,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p5,single_primitive,2020,5510,0.9634715304098064,0.19266374635698025,False,True,0.4,0.6,5
volume_money__vol_ratio3__gt_1p5,single_primitive,2021,6720,1.0578427690178076,-0.1970577584646671,True,False,0.4,0.6,5
volume_money__vol_ratio3__gt_2p0,single_primitive,2017,468,0.70048909451421,-0.11488349665073178,False,False,0.4,0.4,5
volume_money__vol_ratio3__gt_2p0,single_primitive,2018,1429,1.1263346880508092,-0.9889368364866725,True,False,0.4,0.4,5
volume_money__vol_ratio3__gt_2p0,single_primitive,2019,1692,0.9500423877077997,0.22858408139937733,False,True,0.4,0.4,5
volume_money__vol_ratio3__gt_2p0,single_primitive,2020,1898,0.780345501808279,0.11371097906796679,False,True,0.4,0.4,5
volume_money__vol_ratio3__gt_2p0,single_primitive,2021,2225,1.2059314975759523,-0.06008388376620259,True,False,0.4,0.4,5
volume_money__vol_ratio10__gt_1p1,single_primitive,2017,2892,0.7904024767801858,0.007983258615244704,False,True,0.4,0.6,5
volume_money__vol_ratio10__gt_1p1,single_primitive,2018,9995,1.0530348257675164,-1.0897397762496854,True,False,0.4,0.6,5
volume_money__vol_ratio10__gt_1p1,single_primitive,2019,11476,1.02645991805932,0.21878934095752015,True,True,0.4,0.6,5
volume_money__vol_ratio10__gt_1p1,single_primitive,2020,15238,0.9865914158374581,0.31283152458612196,False,True,0.4,0.6,5
volume_money__vol_ratio10__gt_1p1,single_primitive,2021,18196,0.9637366709197563,-0.31746169027758997,False,False,0.4,0.6,5
volume_money__vol_ratio10__gt_1p2,single_primitive,2017,2274,0.770232558139535,0.03438067866927669,False,True,0.2,0.6,5
volume_money__vol_ratio10__gt_1p2,single_primitive,2018,7859,1.0497915786162473,-1.0934202655317307,True,False,0.2,0.6,5
volume_money__vol_ratio10__gt_1p2,single_primitive,2019,9127,0.9877924615419739,0.27346492177961107,False,True,0.2,0.6,5
volume_money__vol_ratio10__gt_1p2,single_primitive,2020,11922,0.9874983371448774,0.2992502567398817,False,True,0.2,0.6,5
volume_money__vol_ratio10__gt_1p2,single_primitive,2021,14038,0.9830268870022532,-0.27189348063854746,False,False,0.2,0.6,5
volume_money__vol_ratio10__gt_1p5,single_primitive,2017,1171,0.8110300771892467,0.04368512563769509,False,True,0.2,0.6,5
volume_money__vol_ratio10__gt_1p5,single_primitive,2018,3867,1.0937976376782972,-1.0752859927096237,True,False,0.2,0.6,5
volume_money__vol_ratio10__gt_1p5,single_primitive,2019,4585,0.9639898790683356,0.2530160595607739,False,True,0.2,0.6,5
volume_money__vol_ratio10__gt_1p5,single_primitive,2020,5889,0.8978172790400497,0.2304817109906306,False,True,0.2,0.6,5
volume_money__vol_ratio10__gt_1p5,single_primitive,2021,6775,0.9972917535228883,-0.14918116872473117,False,False,0.2,0.6,5
volume_money__vol_ratio10__gt_2p0,single_primitive,2017,427,0.971688425993839,-0.27793647446694614,False,False,0.4,0.4,5
volume_money__vol_ratio10__gt_2p0,single_primitive,2018,1377,1.0224806072371875,-0.9803548978548183,True,False,0.4,0.4,5
volume_money__vol_ratio10__gt_2p0,single_primitive,2019,1714,0.9537002168351072,0.24258794259639774,False,True,0.4,0.4,5
volume_money__vol_ratio10__gt_2p0,single_primitive,2020,2190,0.7864909574678455,0.21779790320364442,False,True,0.4,0.4,5
volume_money__vol_ratio10__gt_2p0,single_primitive,2021,2432,1.2089468149129794,-0.054481586427430846,True,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p0,single_primitive,2017,3545,0.707184486409857,-0.13303459306381157,False,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p0,single_primitive,2018,12312,0.9965536376455841,-1.1650663758111282,False,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p0,single_primitive,2019,14811,1.1062059228676522,0.2486375755767706,True,True,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p0,single_primitive,2020,19513,1.0337027680519995,0.2762254842342823,True,True,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p0,single_primitive,2021,23459,0.9237846336175154,-0.3440177666411604,False,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p2,single_primitive,2017,2447,0.6362951540736622,-0.17199578777201807,False,False,0.6,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p2,single_primitive,2018,7815,1.0206865653739914,-1.201267885955405,True,False,0.6,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p2,single_primitive,2019,9929,1.0787196608607807,0.25233881985603746,True,True,0.6,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p2,single_primitive,2020,12895,1.010409559476338,0.206891953837874,True,True,0.6,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p2,single_primitive,2021,15226,0.9640224889747694,-0.328697518848424,False,False,0.6,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p5,single_primitive,2017,1373,0.565136955545577,-0.29022866402812436,False,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p5,single_primitive,2018,4143,1.0156894493214512,-1.2524035617830092,True,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p5,single_primitive,2019,5537,1.0435908914418286,0.2566541746954374,True,True,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p5,single_primitive,2020,7055,0.9456261863288385,0.12163593348820824,False,True,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_1p5,single_primitive,2021,8065,0.9738165029845243,-0.20081359489859935,False,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_2p0,single_primitive,2017,544,0.7173734610123119,-0.3488929144608249,False,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_2p0,single_primitive,2018,1545,0.9613811563169165,-1.1650772387174357,False,False,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_2p0,single_primitive,2019,2318,1.0033237632905614,0.2618388784457958,True,True,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_2p0,single_primitive,2020,2977,0.8268314470877033,0.05572193307785642,False,True,0.4,0.4,5
volume_money__money_ratio20_mean_asof__gt_2p0,single_primitive,2021,3287,1.0514326905748785,-0.1247083242434441,True,False,0.4,0.4,5
