condition_group_id,family_id,split,grain,signal_count,complete_h120_count,positive_h120_count,precision_h120_close_anchor,background_prior_global_h120_close_anchor,background_prior_feature_matched_h120_close_anchor,precision_lift_feature_matched_h120_close_anchor,precision_h120_next_open_anchor,incomplete_h120_count,feature_complete_ratio,positive_h120_count_min_gate_pass,bootstrap_precision_lift_ci90_lower,bootstrap_precision_lift_ci90_upper
momentum_rps__and3__68b32373ce93,momentum_rps,all,episode,11879,9138,1281,0.14018384766907419,0.10650372317706695,0.10650372317706695,1.3162342450320972,0.13985554826001312,2741,1.0,True,,
momentum_rps__and3__68b32373ce93,momentum_rps,robustness,episode,3078,2142,239,0.111577964519141,0.09666945957268538,0.09666945957268538,1.154221457452609,0.11017740429505135,936,1.0,True,1.045516641798713,1.2590566817021227
momentum_rps__and3__68b32373ce93,momentum_rps,train,episode,5780,4511,890,0.19729549988915984,0.14272082973206568,0.14272082973206568,1.3823875622048227,0.1968521392152516,1269,1.0,True,1.3199107406334707,1.4474603021848904
momentum_rps__and3__68b32373ce93,momentum_rps,validation,episode,3021,2485,152,0.06116700201207243,0.05112444148213977,0.05112444148213977,1.1964336477581081,0.061971830985915494,536,1.0,True,1.0476839814007064,1.3396745393256009
oscillator__and4__95dbd99ae828,oscillator,all,episode,13515,10392,1199,0.11537721324095458,0.10650372317706695,0.10650407580804301,1.083312656023644,0.11508852963818322,3123,0.9999924124779329,True,,
oscillator__and4__95dbd99ae828,oscillator,robustness,episode,3906,2674,233,0.08713537771129394,0.09666945957268538,0.09666945957268538,0.9013744164544253,0.0856394913986537,1232,1.0,True,0.829415777755902,0.9686406717062964
oscillator__and4__95dbd99ae828,oscillator,train,episode,6368,5142,829,0.16122131466355505,0.14272082973206568,0.14272181657262972,1.129619272898696,0.161610268378063,1226,0.9999888352359952,True,1.079992291709519,1.1797868619773957
oscillator__and4__95dbd99ae828,oscillator,validation,episode,3241,2576,137,0.0531832298136646,0.05112444148213977,0.05112444148213977,1.0402701383494637,0.052795031055900624,665,0.9999907274328897,True,0.9277245217402246,1.1568122460238977
price_trend__and3__6030760ed19f,price_trend,all,episode,12573,9705,1348,0.13889747552807832,0.10650372317706695,0.10650372317706695,1.3041560556259182,0.1377640391550747,2868,1.0,True,,
price_trend__and3__6030760ed19f,price_trend,robustness,episode,3156,2163,236,0.1091077207582062,0.09666945957268538,0.09666945957268538,1.1286679499451275,0.10540915395284327,993,1.0,True,1.0359630731861809,1.2294322572173184
