condition_group_id,family_id,grain,split,horizon,signal_count,complete_horizon_count,incomplete_horizon_count,endpoint_return_max,endpoint_return_min,endpoint_return_mean,endpoint_return_median,endpoint_return_p25,endpoint_return_p75,endpoint_return_positive_rate,path_max_return_mean,path_max_return_median,path_min_return_mean,path_min_return_median
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,robustness,1,10929,10889,40,0.10273819211266044,-0.1021938979151854,0.0003446127721402033,-0.0021017773362199677,-0.01663803272804465,0.013440847293478164,0.4499954082101203,0.0003446127721402033,-0.0021017773362199677,0.0003446127721402033,-0.0021017773362199677
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,robustness,3,10929,10814,115,0.3330357642350157,-0.24259523695510765,0.0006531956726459589,-0.0040858119001333515,-0.029681348761582904,0.02405603478688989,0.45468836693175513,0.019820789589283756,0.010071755849895614,-0.018151320554123593,-0.015479368385519887
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,robustness,5,10929,10710,219,0.5490533715383037,-0.31768028626957123,0.0009952912763570724,-0.0058276443282799795,-0.03760360395996551,0.03024295372173108,0.45144724556489263,0.032128042436962705,0.017278698412994897,-0.0288257572865793,-0.02353867786453212
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,robustness,10,10929,10519,410,0.9248826991759671,-0.3137507894440996,0.003734162638719597,-0.007032375498725707,-0.0498136358552535,0.04366360705124828,0.4547010172069588,0.054553336974109315,0.03166130278792756,-0.04569280269343647,-0.037545519131040095
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,robustness,20,10929,10214,715,0.8433179075419375,-0.41609881612656174,0.010718747725750166,-0.005316834358010669,-0.0669065170576271,0.06815974058602864,0.4747405521832779,0.08693174652513028,0.05409544662615129,-0.06570084672746572,-0.05403897608664965
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,train,1,22272,22242,30,0.14385968405270777,-0.13220342325431333,0.0005113589912063982,-0.001395564427493834,-0.017354057140826717,0.015539477292300652,0.4656505709918173,0.0005113589912063982,-0.001395564427493834,0.0005113589912063982,-0.001395564427493834
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,train,3,22272,22179,93,0.4051383821970489,-0.297123733834436,0.00020710423822275852,-0.0031582609193729905,-0.032285205602287925,0.02927552663134081,0.468190630776861,0.020826867150004855,0.012740678562502827,-0.020087662242495197,-0.01699021766228026
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,train,5,22272,22077,195,0.5846268261048508,-0.3909426674253754,0.001053987367683041,-0.003028978493097245,-0.042982161611407,0.0392156997829185,0.4776917153598768,0.03498586111936944,0.023197856795958982,-0.03255505300677678,-0.02586364496524729
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,train,10,22272,21940,332,1.084241089967291,-0.444796181136183,0.003719511861391298,-0.0038924369445171303,-0.05850233765269919,0.05789623632129087,0.4804922515952598,0.0614119701181936,0.042366114314043246,-0.053690990702710044,-0.04228939682845406
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,train,20,22272,21527,745,1.3083110716990105,-0.5113122169993092,0.007172377984791683,-0.007035145343323279,-0.08685126391801706,0.08663220138427485,0.4784688995215311,0.09970919893814109,0.07148587022816588,-0.0816119648860017,-0.06732544231391036
