family_a,family_b,pair_denominator_count,pair_feature_incomplete_count,signal_count_a,signal_count_b,joint_signal_count,union_signal_count,p_b_given_a,p_a_given_b,phi_correlation,jaccard_overlap,joint_precision_h120_close_anchor,joint_complete_h120_count,joint_positive_h120_count,phi_null_reason
momentum_rps,momentum_rps,395386,0,44120,44120,44120,44120,1.0,1.0,1.0,1.0,0.15397605621060884,33161,5106,
momentum_rps,oscillator,395383,3,44120,23132,12397,54855,0.2809836808703536,0.5359242607643092,0.335956333636887,0.2259958071278826,0.14809666381522668,9352,1385,
momentum_rps,price_trend,395386,0,44120,34592,25197,53515,0.5711015412511333,0.7284054116558741,0.6065978663403903,0.470839951415491,0.16255264701178226,18757,3049,
momentum_rps,pullback_drawdown,395386,0,44120,56446,38507,62059,0.8727787851314597,0.6821918293590334,0.7395643599204739,0.6204901787009136,0.15228356249568162,28946,4408,
momentum_rps,range_breakout,395273,113,44120,68679,27795,85004,0.6299864007252947,0.4047088629712139,0.4268151226150401,0.32698461248882404,0.15284467547331776,20969,3205,
momentum_rps,volatility_band,395272,114,44120,28211,16382,55949,0.3713055303717135,0.5806954733969019,0.41296588951395086,0.292802373590234,0.1403708523096942,12296,1726,
momentum_rps,volume_money,395386,0,44120,22806,8785,58141,0.19911604714415232,0.3852056476365869,0.21500358939551525,0.1510981923255534,0.14796380090497738,6630,981,
oscillator,momentum_rps,395383,3,23132,44120,12397,54855,0.5359242607643092,0.2809836808703536,0.33595633363688693,0.2259958071278826,0.14809666381522668,9352,1385,
oscillator,oscillator,395383,3,23132,23132,23132,23132,1.0,1.0,1.0,1.0,0.11230245155525773,17907,2011,
oscillator,price_trend,395383,3,23132,34592,15000,42724,0.6484523603665917,0.43362627197039777,0.4949083718952927,0.3510907218425241,0.13913645409708403,11557,1608,
oscillator,pullback_drawdown,395383,3,23132,56446,15071,64507,0.6515217015389936,0.26699854728413,0.3625288372277767,0.23363355914861952,0.1327136586625355,11619,1542,
oscillator,range_breakout,395271,115,23126,68679,21831,69974,0.9440024215169074,0.3178700912942821,0.5067648592049906,0.3119873095721268,0.11215008581404984,16897,1895,
oscillator,volatility_band,395270,116,23132,28211,13911,37432,0.6013747190039772,0.49310552621317927,0.513274620748172,0.37163389613165204,0.11260504201680673,10710,1206,
oscillator,volume_money,395383,3,23132,22806,10347,35591,0.447302438180875,0.453696395685346,0.4165979770671186,0.2907195639347026,0.11554230339172568,8049,930,
price_trend,momentum_rps,395386,0,34592,44120,25197,53515,0.7284054116558741,0.5711015412511333,0.6065978663403903,0.470839951415491,0.16255264701178226,18757,3049,
price_trend,oscillator,395383,3,34592,23132,15000,42724,0.43362627197039777,0.6484523603665917,0.49490837189529274,0.3510907218425241,0.13913645409708403,11557,1608,
