structure_candidate_id,split,bucket_type,bucket_id,action_time_denominator_n,signal_n,signal_rate,winner_base_rate,winner_given_signal,primary_LR,primary_LR_ci90_lower,posterior_stability_flag
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,calendar_year,2017,8918,2,0.00022426553038797938,0.048822515795519814,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,calendar_year,2018,32151,44,0.0013685421915337003,0.05874398565992641,0.045454545454545456,0.7630009177118385,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,calendar_year,2019,35369,53,0.0014984873759506913,0.09557335461619589,0.14,1.540515609069282,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,calendar_year,2020,46773,155,0.0033138776644645413,0.25170303410393374,0.40559440559440557,2.028591500179417,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,calendar_year,2021,58016,164,0.0028268063982349696,0.16023919504422243,0.15789473684210525,0.9826256983240224,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,UNKNOWN,291,2,0.006872852233676976,0.6494464944649446,1.0,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,交通运输,10877,14,0.0012871196101866323,0.07414104882459313,0.3333333333333333,6.2439024390243905,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,传媒,3074,4,0.0013012361743656475,0.18161434977578475,0.5,4.506172839506173,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,公用事业,7347,4,0.0005444399074452157,0.04852459016393443,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,农林牧渔,2387,8,0.0033514872224549644,0.2973245835436648,0.375,1.4179966044142616,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,医药生物,11970,18,0.0015037593984962407,0.1686527974146637,0.1875,1.13754030400737,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,商贸零售,1068,3,0.0028089887640449437,0.013618677042801557,0.0,0.0,,False
