structure_candidate_id,train_winner_event_count,complete_profile_event_count,winner_coverage,winner_coverage_ci90_lower,winner_coverage_by_year,min_year_coverage,median_first_trigger_offset,p25_first_trigger_offset,p75_first_trigger_offset,triggered_event_count,trigger_days_per_event_mean,trigger_days_per_event_p90,stage_bucket_distribution,group,observable_action_time_flag,non_observable_reason,years_present,matched_background_coverage,matched_background_coverage_ci90_upper,action_time_background_signal_rate,winner_vs_background_coverage_lift,winner_vs_background_coverage_lift_ci90_lower,generic_strength_proxy_flag,generic_strength_proxy_reason,background_control_policy,non_default_background_policy_reason,formula_hash,profile_definition,action_time_definition,raw_feature_list,shared_feature_family,pattern_type,profile_window_bucket,lookback_days,required_days,dedup_gap_days,stage_a_rank_score
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_4e0740_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,91016f0c008ef9d3,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,return1d,acceleration,persistence,build_window,3,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_ef2d12_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,23f4cff2f1a377f6,return1d >= 0.05; rolling_days=5; required_days=3; window=build_window,return1d >= 0.05; rolling_days=5; required_days=3; window=build_window,return1d,acceleration,persistence,build_window,5,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_23e5f3_4e0740_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,d75740a4c4533eb6,return1d >= 0.05; rolling_days=3; required_days=3; window=continuation_window,return1d >= 0.05; rolling_days=3; required_days=3; window=continuation_window,return1d,acceleration,persistence,continuation_window,3,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_23e5f3_ef2d12_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,c7502f4dd0f54cf2,return1d >= 0.05; rolling_days=5; required_days=3; window=continuation_window,return1d >= 0.05; rolling_days=5; required_days=3; window=continuation_window,return1d,acceleration,persistence,continuation_window,5,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_60f76f_4e0740_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,8ef2a2c787cad3da,return1d >= 0.05; rolling_days=3; required_days=3; window=full_window,return1d >= 0.05; rolling_days=3; required_days=3; window=full_window,return1d,acceleration,persistence,full_window,3,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_60f76f_ef2d12_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,93f89151ea6c47ab,return1d >= 0.05; rolling_days=5; required_days=3; window=full_window,return1d >= 0.05; rolling_days=5; required_days=3; window=full_window,return1d,acceleration,persistence,full_window,5,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_a96cae_4e0740_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,d5571cbff6b43cc6,return1d >= 0.05; rolling_days=3; required_days=3; window=early_window,return1d >= 0.05; rolling_days=3; required_days=3; window=early_window,return1d,acceleration,persistence,early_window,3,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_a96cae_ef2d12_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,d3c337c4603bf2b1,return1d >= 0.05; rolling_days=5; required_days=3; window=early_window,return1d >= 0.05; rolling_days=5; required_days=3; window=early_window,return1d,acceleration,persistence,early_window,5,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_156070_4e0740_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,00deab558ad60f6d,return1d >= 0.03; rolling_days=3; required_days=3; window=build_window,return1d >= 0.03; rolling_days=3; required_days=3; window=build_window,return1d,acceleration,persistence,build_window,3,3,20,0.0
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_156070_ef2d12_f5ca38,448,448,0.0,0.0,"{""2017"": 0.0, ""2018"": 0.0, ""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0}",0.0,,,,0,0.0,0.0,{},acceleration_and_gap,True,,0,0.0,0.0,0.0,,,False,,both,,ed5212ad2299301b,return1d >= 0.03; rolling_days=5; required_days=3; window=build_window,return1d >= 0.03; rolling_days=5; required_days=3; window=build_window,return1d,acceleration,persistence,build_window,5,3,20,0.0
