grouping,grouping_key,label_denominator_count,good_count,bad_count,neutral_count,P_good,P_bad,P_neutral,P_good_lower,P_good_upper,P_bad_lower,P_bad_upper,credible_interval_width_good,credible_interval_width_bad,sample_sufficiency_status,split_stability_status,prior_source,fallback_level,split,year,seed_primary_family_id,seed_same_day_family_count
all,all,8609,3068,5277,264,0.35637123940062726,0.6129631780694622,0.03066558252991056,0.3478971781114302,0.3648752101353325,0.6042659186016596,0.6215331883266026,0.016978032023902245,0.01726726972494308,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,all,,,,
split,robustness,2123,879,1183,61,0.41403674046161093,0.557230334432407,0.0287329251059821,0.3964524581018111,0.4315991606857646,0.5393188879012869,0.5747645112905262,0.03514670258395347,0.03544562338923929,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,split,robustness,,,
split,train,4270,1460,2688,122,0.34192037470725994,0.6295081967213115,0.02857142857142857,0.3300226118052968,0.3538962767605071,0.6172161307756099,0.6415233497910682,0.023873664955210316,0.024307219015458292,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,split,train,,,
split,validation,2216,729,1406,81,0.328971119133574,0.6344765342960289,0.03655234657039711,0.31265399677035427,0.3454695714522818,0.6173841457462723,0.6510237838044342,0.03281557468192753,0.033639638058161836,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,split,validation,,,
year,2017,280,116,154,10,0.4142857142857143,0.55,0.03571428571428571,0.3659934308639072,0.4624125025607336,0.49993876397065123,0.5973568343345017,0.0964190716968264,0.09741807036385047,thin_bucket_report_only,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2017.0,,
year,2018,851,200,633,18,0.23501762632197415,0.7438307873090482,0.021151586368977675,0.21166838063698054,0.2594196113060328,0.7181867193114322,0.7673814342656118,0.047751230669052264,0.0491947149541796,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2018.0,,
year,2019,1027,415,582,30,0.4040895813047712,0.5666991236611489,0.029211295034079845,0.3789361754142574,0.4292490003959602,0.5408784304657093,0.5916923208118825,0.05031282498170281,0.05081389034617323,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2019.0,,
year,2020,1328,521,768,39,0.39231927710843373,0.5783132530120482,0.029367469879518073,0.37032677097768985,0.4143630530733622,0.5556983122265249,0.6002418670449248,0.04403628209567234,0.04454355481839989,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2020.0,,
year,2021,784,208,551,25,0.2653061224489796,0.7028061224489796,0.03188775510204082,0.23987941983270747,0.2916721228201692,0.6749852194793686,0.7286304657717559,0.05179270298746172,0.053645246292387316,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2021.0,,
year,2022,1419,430,934,55,0.30303030303030304,0.6582100070472163,0.03875968992248062,0.28317008701407403,0.32326990268051414,0.6370426226728704,0.678438455159453,0.04009981566644011,0.04139583248658263,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2022.0,,
year,2023,797,299,472,26,0.3751568381430364,0.5922208281053952,0.03262233375156838,0.3470909822627536,0.4034215613206908,0.5630092255049867,0.6201983530130545,0.0563305790579372,0.057189127508067816,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2023.0,,
year,2024,1373,530,813,30,0.3860160233066278,0.5921340131099782,0.021849963583394028,0.3644614950826421,0.40764431540120133,0.5699768849511507,0.6135742560465485,0.043182820318559245,0.04359737109539774,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2024.0,,
year,2025,750,349,370,31,0.4653333333333333,0.49333333333333335,0.04133333333333333,0.4352123322415872,0.49503316353422766,0.46304371463795,0.5230053845460301,0.059820831292640486,0.05996166990808005,sufficient,same_grain_recomputed_r03a,r03a_episode_first_trigger_t0,year,,2025.0,,
