split,kth_fresh_step_bucket,kth_fresh_offset_bucket,wait_return_bucket,fresh_step_count,unique_seed_episode_count,unique_instrument_count,unique_step_signal_date_count,seed_anchor_big_winner_rate,fresh_anchor_big_winner_rate,seed_P_good,seed_P_bad,fresh_P_good,fresh_P_bad,seed_to_fresh_big_winner_rate_gap,seed_to_fresh_P_good_gap,seed_to_fresh_P_bad_gap,interpretation_note_code
train,1,t11_t20,down_or_flat,65,65,39,52,0.03636363636363636,0.034482758620689655,0.3157894736842105,0.5614035087719298,0.35,0.5333333333333333,0.0018808777429467072,-0.03421052631578947,0.028070175438596467,path_only_not_big_winner
train,1,t11_t20,up_0_5pct,157,157,92,112,0.04918032786885246,0.03937007874015748,0.5118110236220472,0.4094488188976378,0.39849624060150374,0.5263157894736842,0.009810249128694978,0.11331478302054349,-0.11686697057604639,seed_anchor_only_stronger
train,1,t11_t20,up_10_20pct,27,27,27,26,0.375,0.21739130434782608,1.0,0.0,0.30434782608695654,0.6956521739130435,0.15760869565217392,0.6956521739130435,-0.6956521739130435,price_cost_high_confirmation_only
train,1,t11_t20,up_5_10pct,35,35,33,33,0.20689655172413793,0.1724137931034483,0.8064516129032258,0.1935483870967742,0.3225806451612903,0.6774193548387096,0.03448275862068964,0.48387096774193544,-0.48387096774193544,seed_anchor_only_stronger
train,1,t11_t20,up_gt_20pct,6,6,6,6,0.6666666666666666,0.25,1.0,0.0,0.4,0.6,0.41666666666666663,0.6,-0.6,insufficient_denominator
train,1,t21_t30,down_or_flat,26,26,20,23,0.0,0.0,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.42857142857142855,0.0,-0.047619047619047616,0.0,fresh_anchor_remaining_opportunity_stronger
train,1,t21_t30,up_0_5pct,25,25,24,22,0.14285714285714285,0.13043478260869565,0.6363636363636364,0.3181818181818182,0.4166666666666667,0.4166666666666667,0.0124223602484472,0.21969696969696967,-0.09848484848484851,seed_anchor_only_stronger
train,1,t21_t30,up_10_20pct,4,4,4,4,0.25,0.25,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,insufficient_denominator
train,1,t21_t30,up_5_10pct,6,6,6,6,0.4,0.16666666666666666,0.8,0.2,0.3333333333333333,0.6666666666666666,0.23333333333333336,0.46666666666666673,-0.4666666666666666,insufficient_denominator
train,1,t21_t30,up_gt_20pct,3,3,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,insufficient_denominator
