artifact_role,artifact_path,exists,validation_status,row_count,readiness_status,failure_reason
r03b_validation,ep4/outputs/r03b_signal_sequence_big_winner_path_diagnostic_v1/manifests/r03b_signal_sequence_big_winner_path_validation.json,True,passed,,ready,
r03c_validation,ep4/outputs/r03c_price_aware_kth_fresh_family_set_pooling_diagnostic_v1/manifests/r03c_price_aware_kth_fresh_family_set_pooling_validation.json,True,passed,,ready,
r03b_manifest,ep4/outputs/r03b_signal_sequence_big_winner_path_diagnostic_v1/manifests/r03b_signal_sequence_big_winner_path_manifest.json,True,exists_only,,ready,
r03b_seed_episode_panel,ep4/outputs/r03b_signal_sequence_big_winner_path_diagnostic_v1/cache/r03b_seed_episode_panel.parquet,True,exists_only,0.0,ready,
r03b_sequence_step_panel,ep4/outputs/r03b_signal_sequence_big_winner_path_diagnostic_v1/cache/r03b_sequence_step_panel.parquet,True,exists_only,0.0,ready,
r03b_signal_timeline_panel,ep4/outputs/r03b_signal_sequence_big_winner_path_diagnostic_v1/cache/r03b_signal_timeline_panel.parquet,True,exists_only,0.0,ready,
r03c_manifest,ep4/outputs/r03c_price_aware_kth_fresh_family_set_pooling_diagnostic_v1/manifests/r03c_price_aware_kth_fresh_family_set_pooling_manifest.json,True,exists_only,,ready,
r03c_fresh_step_price_panel,ep4/outputs/r03c_price_aware_kth_fresh_family_set_pooling_diagnostic_v1/cache/r03c_fresh_step_price_panel.parquet,True,exists_only,0.0,ready,
r03c_checkpoint_price_state_panel,ep4/outputs/r03c_price_aware_kth_fresh_family_set_pooling_diagnostic_v1/cache/r03c_checkpoint_price_state_panel.parquet,True,exists_only,0.0,ready,
r03c_grouping_explanatory_power_comparison,ep4/outputs/r03c_price_aware_kth_fresh_family_set_pooling_diagnostic_v1/reports/r03c_grouping_explanatory_power_comparison.csv,True,exists_only,112.0,ready,
r03c_survival_price_bias_audit,ep4/outputs/r03c_price_aware_kth_fresh_family_set_pooling_diagnostic_v1/reports/r03c_survival_price_bias_audit.csv,True,exists_only,4.0,ready,
