split,grouping_scheme,row_grain,outcome,bucket_count,sufficient_bucket_count,sufficient_bucket_ratio,covered_episode_count,covered_fresh_step_count,parent_grouping_scheme,weighted_abs_lift_vs_parent,weighted_signed_lift_vs_parent,max_abs_lift_vs_parent,median_abs_lift_vs_parent,sample_sufficiency_status,interpretability_status
train,fresh_step_base,fresh_step,seed_anchor_big_winner_rate,1,1,1.0,2851,5550.0,none,,,,,base,base_parent
train,fresh_step_base,fresh_step,seed_P_good_minus_P_bad,1,1,1.0,2851,5550.0,none,,,,,base,base_parent
train,fresh_step_base,fresh_step,fresh_anchor_big_winner_rate,1,1,1.0,2851,5550.0,none,,,,,base,base_parent
train,fresh_step_base,fresh_step,fresh_P_good_minus_P_bad,1,1,1.0,2851,5550.0,none,,,,,base,base_parent
train,fresh_step_base,fresh_step,fresh_max_gain_120d_p50,1,1,1.0,2851,5550.0,none,,,,,base,base_parent
train,fresh_step_base,fresh_step,fresh_max_drawdown_120d_p50,1,1,1.0,2851,5550.0,none,,,,,base,base_parent
validation,fresh_step_base,fresh_step,seed_anchor_big_winner_rate,1,1,1.0,1675,3150.0,none,,,,,base,base_parent
validation,fresh_step_base,fresh_step,seed_P_good_minus_P_bad,1,1,1.0,1675,3150.0,none,,,,,base,base_parent
validation,fresh_step_base,fresh_step,fresh_anchor_big_winner_rate,1,1,1.0,1675,3150.0,none,,,,,base,base_parent
validation,fresh_step_base,fresh_step,fresh_P_good_minus_P_bad,1,1,1.0,1675,3150.0,none,,,,,base,base_parent
validation,fresh_step_base,fresh_step,fresh_max_gain_120d_p50,1,1,1.0,1675,3150.0,none,,,,,base,base_parent
validation,fresh_step_base,fresh_step,fresh_max_drawdown_120d_p50,1,1,1.0,1675,3150.0,none,,,,,base,base_parent
robustness,fresh_step_base,fresh_step,seed_anchor_big_winner_rate,1,1,1.0,1817,3602.0,none,,,,,base,base_parent
robustness,fresh_step_base,fresh_step,seed_P_good_minus_P_bad,1,1,1.0,1817,3602.0,none,,,,,base,base_parent
robustness,fresh_step_base,fresh_step,fresh_anchor_big_winner_rate,1,1,1.0,1817,3602.0,none,,,,,base,base_parent
robustness,fresh_step_base,fresh_step,fresh_P_good_minus_P_bad,1,1,1.0,1817,3602.0,none,,,,,base,base_parent
robustness,fresh_step_base,fresh_step,fresh_max_gain_120d_p50,1,1,1.0,1817,3602.0,none,,,,,base,base_parent
robustness,fresh_step_base,fresh_step,fresh_max_drawdown_120d_p50,1,1,1.0,1817,3602.0,none,,,,,base,base_parent
all,fresh_step_base,fresh_step,seed_anchor_big_winner_rate,1,1,1.0,6343,12302.0,none,,,,,base,base_parent
all,fresh_step_base,fresh_step,seed_P_good_minus_P_bad,1,1,1.0,6343,12302.0,none,,,,,base,base_parent
all,fresh_step_base,fresh_step,fresh_anchor_big_winner_rate,1,1,1.0,6343,12302.0,none,,,,,base,base_parent
all,fresh_step_base,fresh_step,fresh_P_good_minus_P_bad,1,1,1.0,6343,12302.0,none,,,,,base,base_parent
all,fresh_step_base,fresh_step,fresh_max_gain_120d_p50,1,1,1.0,6343,12302.0,none,,,,,base,base_parent
all,fresh_step_base,fresh_step,fresh_max_drawdown_120d_p50,1,1,1.0,6343,12302.0,none,,,,,base,base_parent
train,fresh_count,fresh_step,seed_anchor_big_winner_rate,4,4,1.0,5511,5550.0,fresh_step_base,0.01477094637108778,5.825394095103576e-18,0.058738427026102186,0.017592991526640817,sufficient,comparable
train,fresh_count,fresh_step,seed_P_good_minus_P_bad,4,4,1.0,5511,5550.0,fresh_step_base,0.19085872381217747,-2.1129138276638494e-17,0.4697880001618319,0.25762799450846097,sufficient,comparable
train,fresh_count,fresh_step,fresh_anchor_big_winner_rate,4,4,1.0,5511,5550.0,fresh_step_base,0.004420130236926593,-1.7775160890235268e-17,0.015949245446743823,0.006025480182972803,sufficient,comparable
train,fresh_count,fresh_step,fresh_P_good_minus_P_bad,4,4,1.0,5511,5550.0,fresh_step_base,0.002623549559997381,1.0283826584459643e-16,0.0073482227679291245,0.0029353450277112003,sufficient,comparable
train,fresh_count,fresh_step,fresh_max_gain_120d_p50,4,4,1.0,5511,5550.0,fresh_step_base,0.003446294723091835,0.0006292774171696687,0.01359618004850685,0.007034537477629846,sufficient,comparable
train,fresh_count,fresh_step,fresh_max_drawdown_120d_p50,4,4,1.0,5511,5550.0,fresh_step_base,0.0013882201390050559,0.00011047513624449411,0.008232528332356881,0.001823412722115697,sufficient,comparable
validation,fresh_count,fresh_step,seed_anchor_big_winner_rate,4,4,1.0,3133,3150.0,fresh_step_base,0.014782873793010458,4.3011061486688875e-18,0.05324376638310943,0.020620405235789854,sufficient,comparable
validation,fresh_count,fresh_step,seed_P_good_minus_P_bad,4,4,1.0,3133,3150.0,fresh_step_base,0.2087339937975991,5.117954879424491e-17,0.4989252338103383,0.25149321266968333,sufficient,comparable
validation,fresh_count,fresh_step,fresh_anchor_big_winner_rate,4,4,1.0,3133,3150.0,fresh_step_base,0.006432893405296003,1.4869058365515489e-18,0.009893952201644511,0.006736381322957199,sufficient,comparable
validation,fresh_count,fresh_step,fresh_P_good_minus_P_bad,4,4,1.0,3133,3150.0,fresh_step_base,0.03978858220701103,-5.30683916494221e-17,0.07818597766114932,0.06334749158518993,sufficient,comparable
validation,fresh_count,fresh_step,fresh_max_gain_120d_p50,4,4,1.0,3133,3150.0,fresh_step_base,0.003921474354398169,-0.00024030434038195664,0.018116606382938605,0.005784471571187583,sufficient,comparable
validation,fresh_count,fresh_step,fresh_max_drawdown_120d_p50,4,4,1.0,3133,3150.0,fresh_step_base,0.0038849683633882122,0.0004319490596715511,0.027745952217828884,0.004862254595286844,sufficient,comparable
robustness,fresh_count,fresh_step,seed_anchor_big_winner_rate,4,4,1.0,3582,3602.0,fresh_step_base,0.004771146330094304,-3.988825238174215e-18,0.02174060968971149,0.006819555233260818,sufficient,comparable
