split,event_scope,event_stage,family_group,family_id,filter_policy,denominator_policy,baseline_event_count,baseline_weighted_event_count,passed_event_count,dropped_event_count,dropped_weighted_event_count,dropped_event_rate,signal_anchor_big_winner_weight,signal_anchor_big_winner_dropped_weight,signal_anchor_big_winner_retention_rate,dropped_p_bad,event_count,weighted_event_count,unique_instrument_count,unique_signal_date_count,p_good,p_bad,p_neutral,p_good_minus_p_bad,big_winner_rate,delta_p_bad_vs_parent,delta_p_good_vs_parent,delta_p_good_minus_p_bad_vs_parent,delta_big_winner_rate_vs_parent
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,no_badshape_filter_t10_survivor,baseline_1,1037,1037.0,1037,0,0.0,0.0,320.0,0.0,1.0,,1037,1037.0,248,407,0.052073288331726135,0.9450337512054002,0.0028929604628736743,-0.8929604628736741,0.30665380906460943,0.0,0.0,0.0,0.0
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_score_ge3,baseline_1,1037,1037.0,469,568,568.0,0.5477338476374156,320.0,149.0,0.534375,0.9383802816901409,469,469.0,171,275,0.046908315565031986,0.9530916844349681,0.0,-0.9061833688699361,0.31769722814498935,0.008057933229567826,-0.0051649727666941495,-0.013222905996261969,0.011043419080379924
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_score_ge5,baseline_1,1037,1037.0,858,179,179.0,0.1726133076181292,320.0,33.0,0.896875,0.9441340782122905,858,858.0,237,383,0.05244755244755245,0.9452214452214452,0.002331002331002331,-0.8927738927738929,0.30652680652680653,0.00018769401604501468,0.00037426411582631297,0.00018657009978129135,-0.0001270025378029005
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_score_ge7,baseline_1,1037,1037.0,968,69,69.0,0.0665380906460945,320.0,13.0,0.959375,0.9710144927536232,968,968.0,245,399,0.05371900826446281,0.9431818181818182,0.0030991735537190084,-0.8894628099173554,0.3047520661157025,-0.0018519330235819975,0.0016457199327366764,0.003497652956318764,-0.001901742948906937
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_dense_upper_shadow,component_non_null:dense_upper_shadow_flag,1037,1037.0,288,749,749.0,0.7222757955641272,320.0,231.0,0.27812499999999996,0.9492656875834445,288,288.0,152,197,0.06597222222222222,0.9340277777777778,0.0,-0.8680555555555556,0.2916666666666667,-0.01100597342762244,0.013898933890496089,0.024904907318118563,-0.014987142397942743
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_down_volume_dominance,component_non_null:down_volume_dominance_flag,1037,1037.0,784,253,253.0,0.24397299903567984,320.0,80.0,0.75,0.9407114624505929,784,784.0,228,369,0.05102040816326531,0.9464285714285714,0.002551020408163265,-0.8954081632653061,0.29591836734693877,0.001394820223171167,-0.0010528801684608277,-0.0024477003916320017,-0.010735441717670657
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_failed_breakout,component_non_null:failed_breakout_flag,1037,1037.0,169,868,868.0,0.837029893924783,320.0,249.0,0.22187500000000004,0.9470046082949308,169,169.0,100,131,0.0650887573964497,0.9349112426035503,0.0,-0.8698224852071006,0.38461538461538464,-0.010122508601849933,0.013015469064723569,0.02313797766657355,0.07796157555077521
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_gap_up_fade,component_non_null:gap_up_fade_flag,1037,1037.0,613,424,424.0,0.4088717454194793,320.0,135.0,0.578125,0.9669811320754716,613,613.0,203,327,0.06525285481239804,0.9298531810766721,0.004893964110929853,-0.8646003262642741,0.29526916802610115,-0.015180570128728088,0.013179566480671902,0.028360136609400066,-0.01138464103850828
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_large_bearish_engulf,component_non_null:large_bearish_engulf_flag,1037,1037.0,780,257,257.0,0.24783027965284474,320.0,71.0,0.778125,0.953307392996109,780,780.0,226,365,0.05512820512820513,0.9423076923076923,0.002564102564102564,-0.8871794871794871,0.3076923076923077,-0.002726058897707939,0.0030549167964789917,0.005780975694187007,0.001038498627698281
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_low_upside_efficiency,component_non_null:low_upside_efficiency_flag,1037,1037.0,832,205,205.0,0.19768563162970107,320.0,39.0,0.878125,0.9365853658536586,832,832.0,232,377,0.05048076923076923,0.9471153846153846,0.002403846153846154,-0.8966346153846153,0.3125,0.0020816334099843514,-0.0015925191009569031,-0.0036741525109411644,0.005846190935390572
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,drop_lower_low_lower_high,component_non_null:lower_low_lower_high_flag,1037,1037.0,957,80,80.0,0.07714561234329798,320.0,18.0,0.94375,0.975,957,957.0,242,397,0.054336468129571575,0.9425287356321839,0.003134796238244514,-0.8881922675026123,0.3019853709508882,-0.0025050155732163626,0.0022631797978454396,0.0047681953710618785,-0.004668438113721252
