split,event_scope,event_stage,family_group,family_id,component_id,non_null_event_count,null_event_count,weighted_non_null_event_count,component_true_rate,component_true_count
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,volume_stall_flag,5658,122,5658.0,0.15305761753269706,866
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,failed_breakout_flag,1814,3966,1814.0,0.8687982359426681,1576
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,dense_upper_shadow_flag,5675,105,5675.0,0.6946255506607929,3942
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,down_volume_dominance_flag,5675,105,5675.0,0.1896035242290749,1076
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,ma20_break_no_reclaim_flag,4621,1159,4621.0,0.2635793118372647,1218
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,large_bearish_engulf_flag,5675,105,5675.0,0.19929515418502203,1131
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,volatility_up_no_price_flag,4235,1545,4235.0,0.1461629279811098,619
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,low_upside_efficiency_flag,4235,1545,4235.0,0.171900826446281,728
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,lower_low_lower_high_flag,5675,105,5675.0,0.1386784140969163,787
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,gap_up_fade_flag,5675,105,5675.0,0.307136563876652,1743
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,6265,103,6265.0,0.13950518754988028,874
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,failed_breakout_flag,2000,4368,2000.0,0.869,1738
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,dense_upper_shadow_flag,6287,81,6287.0,0.6788611420391284,4268
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,down_volume_dominance_flag,6287,81,6287.0,0.18387148083346588,1156
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,ma20_break_no_reclaim_flag,4857,1511,4857.0,0.2203005970763846,1070
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,large_bearish_engulf_flag,6287,81,6287.0,0.1897566406871322,1193
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volatility_up_no_price_flag,4840,1528,4840.0,0.14049586776859505,680
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,low_upside_efficiency_flag,4840,1528,4840.0,0.1737603305785124,841
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,lower_low_lower_high_flag,6287,81,6287.0,0.14108477811356768,887
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,gap_up_fade_flag,6287,81,6287.0,0.2573564498170829,1618
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,volume_stall_flag,6277,119,6277.0,0.16648080293133663,1045
