ablation_id,split,matching_background_rate,matching_background_denominator,matching_background_status,lift_vs_matching_background
mask_A_all_rps,train,0.3569346611610396,148212.0,sufficient,0.02364552822720628
mask_A_all_rps,validation,0.3308908170464532,80791.0,sufficient,-0.015223281570055869
mask_A_all_rps,robustness,0.40253404966633277,76873.0,sufficient,-0.044867266571676834
mask_A_all_rps,all,0.3615157776353817,305876.0,sufficient,-0.0032769003125348584
mask_B_market_non_missing,train,0.375611918578892,112933.0,sufficient,0.027064945665849882
mask_B_market_non_missing,validation,0.2660084380361849,24329.0,sufficient,0.002705573480129897
mask_B_market_non_missing,robustness,0.3939724798108072,36720.0,sufficient,-0.017620641310446716
mask_B_market_non_missing,all,0.36385795271322574,173982.0,sufficient,0.015826079144719174
mask_B_market_constructive_no_default_rebound_penalty,train,0.37443476349028043,107341.0,sufficient,0.02968568024981466
mask_B_market_constructive_no_default_rebound_penalty,validation,0.2433977644986692,16117.0,sufficient,-0.029215420070304504
mask_B_market_constructive_no_default_rebound_penalty,robustness,0.375807348996403,31110.0,sufficient,-0.023659076039368454
mask_B_market_constructive_no_default_rebound_penalty,all,0.3606740103688908,154568.0,sufficient,0.015589345103243168
mask_C_industry_leadership,train,,12158.0,insufficient_background_denominator,
mask_C_industry_leadership,validation,,1816.0,insufficient_background_denominator,
mask_C_industry_leadership,robustness,,4817.0,insufficient_background_denominator,
mask_C_industry_leadership,all,0.3497183105155363,18791.0,sufficient,0.030490022817797002
background_all,train,,,not_applicable,
background_all,validation,,,not_applicable,
background_all,robustness,,,not_applicable,
background_all,all,,,not_applicable,
background_market_non_missing,train,,,not_applicable,
background_market_non_missing,validation,,,not_applicable,
background_market_non_missing,robustness,,,not_applicable,
background_market_non_missing,all,,,not_applicable,
background_market_constructive_no_default_rebound_penalty,train,,,not_applicable,
background_market_constructive_no_default_rebound_penalty,validation,,,not_applicable,
background_market_constructive_no_default_rebound_penalty,robustness,,,not_applicable,
background_market_constructive_no_default_rebound_penalty,all,,,not_applicable,
background_industry_leadership,train,,,not_applicable,
background_industry_leadership,validation,,,not_applicable,
background_industry_leadership,robustness,,,not_applicable,
background_industry_leadership,all,,,not_applicable,
