policy_id,split,replay_status,event_count,share_of_policy_split
baseline_hold120_no_exit_fixed_size,robustness,censored_by_missing_price,57,0.019902234636871508
baseline_hold120_no_exit_fixed_size,robustness,censored_by_split_boundary,7,0.0024441340782122905
baseline_hold120_no_exit_fixed_size,robustness,replay_complete,2800,0.9776536312849162
baseline_hold120_no_exit_fixed_size,train,censored_by_missing_price,241,0.036207932692307696
baseline_hold120_no_exit_fixed_size,train,censored_by_split_boundary,12,0.0018028846153846155
baseline_hold120_no_exit_fixed_size,train,replay_complete,6403,0.9619891826923077
baseline_hold120_no_exit_fixed_size,validation,censored_by_missing_price,33,0.009556907037358819
baseline_hold120_no_exit_fixed_size,validation,censored_by_split_boundary,6,0.0017376194613379669
baseline_hold120_no_exit_fixed_size,validation,replay_complete,3414,0.9887054735013032
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,robustness,censored_by_missing_price,57,0.019902234636871508
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,robustness,censored_by_split_boundary,3,0.001047486033519553
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,robustness,replay_complete,2804,0.979050279329609
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,train,censored_by_missing_price,241,0.036207932692307696
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,train,censored_by_split_boundary,2,0.00030048076923076925
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,train,replay_complete,6413,0.9634915865384616
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,validation,censored_by_missing_price,33,0.009556907037358819
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,validation,censored_by_split_boundary,5,0.0014480162177816392
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|fixed_size|k_atr=2.5_min_activation_gain_pct=0.1,validation,replay_complete,3415,0.9889950767448595
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,robustness,censored_by_missing_price,57,0.019902234636871508
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,robustness,censored_by_split_boundary,3,0.001047486033519553
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,robustness,replay_complete,2804,0.979050279329609
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,train,censored_by_missing_price,241,0.036207932692307696
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,train,censored_by_split_boundary,2,0.00030048076923076925
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,train,replay_complete,6413,0.9634915865384616
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,validation,censored_by_missing_price,33,0.009556907037358819
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,validation,censored_by_split_boundary,5,0.0014480162177816392
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|market_state_scaled|k_atr=2.5_min_activation_gain_pct=0.1,validation,replay_complete,3415,0.9889950767448595
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,robustness,censored_by_missing_price,57,0.019902234636871508
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,robustness,censored_by_split_boundary,3,0.001047486033519553
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,robustness,replay_complete,2804,0.979050279329609
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,train,censored_by_missing_price,241,0.036207932692307696
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,train,censored_by_split_boundary,2,0.00030048076923076925
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,train,replay_complete,6413,0.9634915865384616
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,validation,censored_by_missing_price,33,0.009556907037358819
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,validation,censored_by_split_boundary,5,0.0014480162177816392
hold_120d|ATR_trailing_k2.5_activation_0.1_sensitivity|volatility_scaled|k_atr=2.5_min_activation_gain_pct=0.1,validation,replay_complete,3415,0.9889950767448595
hold_120d|ATR_trailing_k2.5_activation_0|fixed_size|k_atr=2.5_min_activation_gain_pct=0.0,robustness,censored_by_missing_price,57,0.019902234636871508
hold_120d|ATR_trailing_k2.5_activation_0|fixed_size|k_atr=2.5_min_activation_gain_pct=0.0,robustness,replay_complete,2807,0.9800977653631285
hold_120d|ATR_trailing_k2.5_activation_0|fixed_size|k_atr=2.5_min_activation_gain_pct=0.0,train,censored_by_missing_price,241,0.036207932692307696
hold_120d|ATR_trailing_k2.5_activation_0|fixed_size|k_atr=2.5_min_activation_gain_pct=0.0,train,replay_complete,6415,0.9637920673076923
hold_120d|ATR_trailing_k2.5_activation_0|fixed_size|k_atr=2.5_min_activation_gain_pct=0.0,validation,censored_by_missing_price,33,0.009556907037358819
