policy_id,hold_rule_id,max_holding_days,exit_rule_id,exit_rule_family_id,sizing_rule_id,policy_family_id,parameter_set_id,parameter_values_json,is_baseline_policy,is_train_selectable,is_validation_selectable,is_sensitivity_policy,parameter_reference_group_id,validation_family_reference_set_id,selection_family_key,invalid_policy_reason,entry_rule_text,hold_rule_formula,exit_rule_formula,sizing_rule_formula,cost_model_id,formula_hash
hold_20d|no_exit|fixed_size|no_params,hold_20d,20,no_exit,no_exit,fixed_size,hold_20d|no_exit|fixed_size,ecaf22503df568a0,{},False,True,True,False,hold_20d|no_exit|fixed_size,primary_all_policy_families_v1,hold_20d|no_exit|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,signal=close_offset_20;execution=next_open,fixed_size,a_share_daily_replay_default_v1,624ff405e034e9ed25fd1b2a478b0471eafe8f1e41a772b362aa1d8741eb334d
hold_20d|fixed_stop_5pct|fixed_size|stop_loss_pct=-0.05,hold_20d,20,fixed_stop_5pct,fixed_stop,fixed_size,hold_20d|fixed_stop|fixed_size,184bb3b552945013,"{""stop_loss_pct"":-0.05}",False,True,True,False,hold_20d|fixed_stop|fixed_size,primary_all_policy_families_v1,hold_20d|fixed_stop|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,first close_return_from_entry <= -0.05 else max_hold,fixed_size,a_share_daily_replay_default_v1,34a96baf37f3f9f2ca0dace3fa528566c8238e8ba3e3fd6de8bb59f264eb9769
hold_20d|fixed_stop_8pct|fixed_size|stop_loss_pct=-0.08,hold_20d,20,fixed_stop_8pct,fixed_stop,fixed_size,hold_20d|fixed_stop|fixed_size,a76054f209c25cdc,"{""stop_loss_pct"":-0.08}",False,True,True,False,hold_20d|fixed_stop|fixed_size,primary_all_policy_families_v1,hold_20d|fixed_stop|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,first close_return_from_entry <= -0.08 else max_hold,fixed_size,a_share_daily_replay_default_v1,dcae408606695754b4cf947ff3f293d44649b77faf1c0fe5723ac85f4ed94db6
hold_20d|fixed_stop_10pct|fixed_size|stop_loss_pct=-0.1,hold_20d,20,fixed_stop_10pct,fixed_stop,fixed_size,hold_20d|fixed_stop|fixed_size,820234c096390337,"{""stop_loss_pct"":-0.1}",False,True,True,False,hold_20d|fixed_stop|fixed_size,primary_all_policy_families_v1,hold_20d|fixed_stop|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,first close_return_from_entry <= -0.1 else max_hold,fixed_size,a_share_daily_replay_default_v1,bbcdc892f09715511fcada7829399345480b06893fb3b241bac4d9a6cdf2bb8e
hold_20d|time_stop_10d|fixed_size|time_stop_days=10,hold_20d,20,time_stop_10d,time_stop,fixed_size,hold_20d|time_stop|fixed_size,c3ce4e135c0ca765,"{""time_stop_days"":10}",False,True,True,False,hold_20d|time_stop|fixed_size,primary_all_policy_families_v1,hold_20d|time_stop|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,signal=close_offset_10;execution=next_open,fixed_size,a_share_daily_replay_default_v1,2713d7bf4f786cb11e157fab65baeb2e21b590fec90b605b15e23fa725d81bb4
hold_20d|time_stop_20d|fixed_size|time_stop_days=20,hold_20d,20,time_stop_20d,time_stop,fixed_size,hold_20d|time_stop|fixed_size,61cd369d3febf08c,"{""time_stop_days"":20}",False,False,False,False,hold_20d|time_stop|fixed_size,primary_all_policy_families_v1,hold_20d|time_stop|fixed_size,time_stop_days_ge_max_holding_days,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,signal=close_offset_20;execution=next_open,fixed_size,a_share_daily_replay_default_v1,624ff405e034e9ed25fd1b2a478b0471eafe8f1e41a772b362aa1d8741eb334d
hold_20d|time_stop_40d|fixed_size|time_stop_days=40,hold_20d,20,time_stop_40d,time_stop,fixed_size,hold_20d|time_stop|fixed_size,9b648f491fc32746,"{""time_stop_days"":40}",False,False,False,False,hold_20d|time_stop|fixed_size,primary_all_policy_families_v1,hold_20d|time_stop|fixed_size,time_stop_days_ge_max_holding_days,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,signal=close_offset_40;execution=next_open,fixed_size,a_share_daily_replay_default_v1,e7284a0bbde9e2e094315991e7d8a58d08d5014d09cfa07c3c3adbd42e3db8ca
hold_20d|time_stop_60d|fixed_size|time_stop_days=60,hold_20d,20,time_stop_60d,time_stop,fixed_size,hold_20d|time_stop|fixed_size,ca957c223937d2da,"{""time_stop_days"":60}",False,False,False,False,hold_20d|time_stop|fixed_size,primary_all_policy_families_v1,hold_20d|time_stop|fixed_size,time_stop_days_ge_max_holding_days,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,signal=close_offset_60;execution=next_open,fixed_size,a_share_daily_replay_default_v1,8b72dc3db343e069373e79552eee6cfcd12fb8331f3528bb6b906b80bb888cf3
hold_20d|break_even_after_gain_10pct|fixed_size|activation_gain_pct=0.1,hold_20d,20,break_even_after_gain_10pct,break_even_after_gain,fixed_size,hold_20d|break_even_after_gain|fixed_size,1bf1c857136dce65,"{""activation_gain_pct"":0.1}",False,True,True,False,hold_20d|break_even_after_gain|fixed_size,primary_all_policy_families_v1,hold_20d|break_even_after_gain|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,activate close_return >= 0.1; stop_floor=0,fixed_size,a_share_daily_replay_default_v1,5ddbf935ba2213d6aa90f10393b816039fc5e0cd3d006ef178dba094c73a2b57
hold_20d|break_even_after_gain_15pct|fixed_size|activation_gain_pct=0.15,hold_20d,20,break_even_after_gain_15pct,break_even_after_gain,fixed_size,hold_20d|break_even_after_gain|fixed_size,382a2a20a8a9c935,"{""activation_gain_pct"":0.15}",False,True,True,False,hold_20d|break_even_after_gain|fixed_size,primary_all_policy_families_v1,hold_20d|break_even_after_gain|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,activate close_return >= 0.15; stop_floor=0,fixed_size,a_share_daily_replay_default_v1,3e3c5a4c18b4166328ec1829979b1f30f9a5effa8d08ddfed5cf94b89a6b8999
hold_20d|break_even_after_gain_20pct|fixed_size|activation_gain_pct=0.2,hold_20d,20,break_even_after_gain_20pct,break_even_after_gain,fixed_size,hold_20d|break_even_after_gain|fixed_size,4d94dcba7da306e7,"{""activation_gain_pct"":0.2}",False,True,True,False,hold_20d|break_even_after_gain|fixed_size,primary_all_policy_families_v1,hold_20d|break_even_after_gain|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,activate close_return >= 0.2; stop_floor=0,fixed_size,a_share_daily_replay_default_v1,1bc6e07f06ca19b32fb7d2f246bc0fd451f847fad4d7b997671c88b0749879e8
hold_20d|profit_lock_after_gain_15pct_lock_5pct|fixed_size|activation_gain_pct=0.15_locked_gain_pct=0.05,hold_20d,20,profit_lock_after_gain_15pct_lock_5pct,profit_lock_after_gain,fixed_size,hold_20d|profit_lock_after_gain|fixed_size,c7475cc21dbd08a2,"{""activation_gain_pct"":0.15,""locked_gain_pct"":0.05}",False,True,True,False,hold_20d|profit_lock_after_gain|fixed_size,primary_all_policy_families_v1,hold_20d|profit_lock_after_gain|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,activate close_return >= 0.15; stop_floor=0.05,fixed_size,a_share_daily_replay_default_v1,47f1ba56723ee150cdd22f1b9b0e8a1aef45b0401a32512797ebc69a81f2669f
hold_20d|profit_lock_after_gain_15pct_lock_10pct|fixed_size|activation_gain_pct=0.15_locked_gain_pct=0.1,hold_20d,20,profit_lock_after_gain_15pct_lock_10pct,profit_lock_after_gain,fixed_size,hold_20d|profit_lock_after_gain|fixed_size,853baf57901ae627,"{""activation_gain_pct"":0.15,""locked_gain_pct"":0.1}",False,True,True,False,hold_20d|profit_lock_after_gain|fixed_size,primary_all_policy_families_v1,hold_20d|profit_lock_after_gain|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,activate close_return >= 0.15; stop_floor=0.1,fixed_size,a_share_daily_replay_default_v1,b1f56c5aed256bcf787b6c47f3702fef8295b640796e81a6cf668779ae582030
hold_20d|profit_lock_after_gain_20pct_lock_5pct|fixed_size|activation_gain_pct=0.2_locked_gain_pct=0.05,hold_20d,20,profit_lock_after_gain_20pct_lock_5pct,profit_lock_after_gain,fixed_size,hold_20d|profit_lock_after_gain|fixed_size,73bb13ad8a7fa24a,"{""activation_gain_pct"":0.2,""locked_gain_pct"":0.05}",False,True,True,False,hold_20d|profit_lock_after_gain|fixed_size,primary_all_policy_families_v1,hold_20d|profit_lock_after_gain|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,activate close_return >= 0.2; stop_floor=0.05,fixed_size,a_share_daily_replay_default_v1,5b989fb860010f5e347e17ccd84091202f787c68e5e795737b44a01381377c66
hold_20d|profit_lock_after_gain_20pct_lock_10pct|fixed_size|activation_gain_pct=0.2_locked_gain_pct=0.1,hold_20d,20,profit_lock_after_gain_20pct_lock_10pct,profit_lock_after_gain,fixed_size,hold_20d|profit_lock_after_gain|fixed_size,8c4699fe4061a6d0,"{""activation_gain_pct"":0.2,""locked_gain_pct"":0.1}",False,True,True,False,hold_20d|profit_lock_after_gain|fixed_size,primary_all_policy_families_v1,hold_20d|profit_lock_after_gain|fixed_size,,R04 baseline_A episode-first-trigger next-open,max_holding_days=20,activate close_return >= 0.2; stop_floor=0.1,fixed_size,a_share_daily_replay_default_v1,d0764cf5c751a8ead47a2b3ba6db1d3cb5ca9d8c068d73d82a5338d1f31443ac
